ts, Backlog in Bytes, Backlog in packets
1531234983.023074792,0,0
1531234983.128725619,0,0
1531234983.234040717,0,0
1531234983.339377724,0,0
1531234983.444517488,0,0
1531234983.549666435,0,0
1531234983.654836248,0,0
1531234983.760023434,0,0
1531234983.865201268,0,0
1531234983.970346131,0,0
1531234984.075528294,0,0
1531234984.180726794,0,0
1531234984.285900121,0,0
1531234984.391085561,0,0
1531234984.496212791,0,0
1531234984.601393867,0,0
1531234984.706519715,0,0
1531234984.811689699,0,0
1531234984.916853447,0,0
1531234985.022004194,0,0
1531234985.127162180,0,0
1531234985.232309702,0,0
1531234985.337430647,0,0
1531234985.442568144,0,0
1531234985.547710009,66,1
1531234985.652909654,78,1
1531234985.758039481,668,8
1531234985.863211310,156,2
1531234985.968373104,132,2
1531234986.073509589,156,2
1531234986.178662933,78,1
1531234986.283830538,66,1
1531234986.389029282,86,1
1531234986.494170038,210,3
1531234986.599346996,78,1
1531234986.704506424,210,3
1531234986.809789900,66,1
1531234986.914898309,78,1
1531234987.020044345,66,1
1531234987.124806954,0,0
1531234987.229477054,288,4
1531234987.334330498,78,1
1531234987.439456880,144,2
1531234987.544601369,66,1
1531234987.649709434,144,2
1531234987.754786215,78,1
1531234987.859924760,132,2
1531234987.965088235,156,2
1531234988.070200245,234,3
1531234988.175341599,66,1
1531234988.280452788,156,2
1531234988.385804922,0,0
1531234988.491089910,144,2
1531234988.596293713,0,0
1531234988.701448203,66,1
1531234988.806731194,144,2
1531234988.911989824,144,2
1531234989.017231669,132,2
1531234989.122495540,78,1
1531234989.227778759,78,1
1531234989.333105601,78,1
1531234989.438405716,78,1
1531234989.543694724,66,1
1531234989.648957092,132,2
1531234989.754240032,144,2
1531234989.859543325,222,3
1531234989.964794275,222,3
1531234990.070000224,144,2
1531234990.175249981,144,2
1531234990.280503122,258,3
1531234990.385805250,210,3
1531234990.491071463,120,2
1531234990.596305287,222,3
1531234990.701486692,288,4
1531234990.806768647,66,1
1531234990.912038765,144,2
1531234991.017216838,66,1
1531234991.122509185,78,1
1531234991.227813899,144,2
1531234991.333093144,66,1
1531234991.438374507,438,5
1531234991.543688155,144,2
1531234991.648932825,736,8
1531234991.754172822,132,2
1531234991.859431832,132,2
1531234991.964709105,0,0
1531234992.070004672,288,4
1531234992.175295639,66,1
1531234992.280544180,66,1
1531234992.385850358,288,4
1531234992.491117628,1222,13
1531234992.596366359,414,5
1531234992.701655648,230,3
1531234992.806911856,210,3
1531234992.912148671,234,3
1531234993.017338210,222,3
1531234993.122604386,144,2
1531234993.227897547,78,1
1531234993.333120387,3008,32
1531234993.438348481,328,4
1531234993.543638689,180,2
1531234993.648904945,344,4
1531234993.754168066,156,2
1531234993.859455059,0,0
1531234993.964726812,66,1
1531234994.070005282,66,1
1531234994.175286638,288,4
1531234994.280521921,78,1
1531234994.385818364,132,2
1531234994.491059324,0,0
1531234994.596287942,0,0
1531234994.701490786,132,2
1531234994.806737789,132,2
1531234994.911981721,144,2
1531234995.017198362,156,2
1531234995.122526010,300,4
1531234995.227824397,144,2
1531234995.333104798,132,2
1531234995.438356022,78,1
1531234995.543641242,0,0
1531234995.648911584,132,2
1531234995.754166195,300,4
1531234995.859432662,0,0
1531234995.964713948,164,2
1531234996.069993842,66,1
1531234996.175318523,78,1
1531234996.280599950,156,2
1531234996.385880508,0,0
1531234996.491095791,144,2
1531234996.596344135,132,2
1531234996.701528678,0,0
1531234996.806777346,78,1
1531234996.912010272,0,0
1531234997.017239455,0,0
1531234997.122529011,78,1
1531234997.227810738,0,0
1531234997.333076901,242,3
1531234997.438406213,66,1
1531234997.543680513,222,3
1531234997.648948610,78,1
1531234997.754252624,156,2
1531234997.859534048,300,4
1531234997.964798917,66,1
1531234998.070074612,66,1
1531234998.175320467,144,2
1531234998.280560922,66,1
1531234998.385870984,242,3
1531234998.491139753,144,2
1531234998.596370247,144,2
1531234998.701685553,222,3
1531234998.806954319,132,2
1531234998.912214320,234,3
1531234999.017392783,78,1
1531234999.122690219,78,1
1531234999.227957518,156,2
1531234999.333209290,0,0
1531234999.438510808,144,2
1531234999.543810196,132,2
1531234999.649048014,242,3
1531234999.754342305,234,3
1531234999.859654870,172,2
1531234999.964926291,144,2
1531235000.070218690,156,2
1531235000.175416789,78,1
1531235000.280714492,156,2
1531235000.386001665,86,1
1531235000.491307667,234,3
1531235000.596559162,78,1
1531235000.701891784,366,5
1531235000.807171090,144,2
1531235000.912412835,78,1
1531235001.017749560,234,3
1531235001.122985483,250,3
1531235001.228222873,288,4
1531235001.333416240,164,2
1531235001.438759630,4700,50
1531235001.544014782,266,3
1531235001.649255528,308,4
1531235001.754549432,144,2
1531235001.859830340,86,1
1531235001.965098618,144,2
1531235002.070416326,144,2
1531235002.175715305,152,2
1531235002.280996129,0,0
1531235002.386279498,78,1
1531235002.491560640,132,2
1531235002.596857771,66,1
1531235002.702159302,156,2
1531235002.807436894,276,4
1531235002.912719196,66,1
1531235003.018002053,210,3
1531235003.123310512,144,2
1531235003.228570118,288,4
1531235003.333879938,144,2
1531235003.439165280,0,0
1531235003.544398989,308,4
1531235003.649671834,78,1
1531235003.754918601,156,2
1531235003.860170573,222,3
1531235003.965366266,132,2
1531235004.070641404,78,1
1531235004.175922630,210,3
1531235004.281150953,78,1
1531235004.386483599,66,1
1531235004.491772756,288,4
1531235004.597081081,132,2
1531235004.702382221,230,3
1531235004.807683158,66,1
1531235004.912936080,132,2
1531235005.018250666,66,1
1531235005.123565053,66,1
1531235005.228849255,66,1
1531235005.334110056,86,1
1531235005.439431208,144,2
1531235005.544701283,78,1
1531235005.649973040,210,3
1531235005.755290428,0,0
1531235005.860548986,132,2
1531235005.965878285,394,5
1531235006.071147849,78,1
1531235006.176367928,66,1
1531235006.281542820,242,3
1531235006.386852900,144,2
1531235006.492102323,66,1
1531235006.597337467,86,1
1531235006.702660133,258,3
1531235006.807928739,0,0
1531235006.913156927,78,1
1531235007.018438708,0,0
1531235007.123751822,230,3
1531235007.229043777,164,2
1531235007.334334015,0,0
1531235007.439628265,144,2
1531235007.544899501,78,1
1531235007.650205801,66,1
1531235007.755509799,144,2
1531235007.860780907,222,3
1531235007.966055341,144,2
1531235008.071378520,156,2
1531235008.176652813,276,4
1531235008.281915203,374,5
1531235008.387234228,354,5
1531235008.492453431,78,1
1531235008.597790546,78,1
1531235008.703040927,242,3
1531235008.808298837,430,5
1531235008.913485253,156,2
1531235009.018770285,336,4
1531235009.124033527,250,3
1531235009.229304008,156,2
1531235009.334593808,66,1
1531235009.439875471,78,1
1531235009.545128202,78,1
1531235009.650454681,156,2
1531235009.755750159,78,1
1531235009.861022737,508,6
1531235009.966318902,320,4
1531235010.071630031,78,1
1531235010.176894811,78,1
1531235010.282219792,296,4
1531235010.387528726,144,2
1531235010.492849410,222,3
1531235010.598167987,222,3
1531235010.703488159,144,2
1531235010.808777910,86,1
1531235010.914058177,414,5
1531235011.019356002,230,3
1531235011.124680332,0,0
1531235011.229974115,164,2
1531235011.335293173,230,3
1531235011.440527035,164,2
1531235011.545866546,274,3
1531235011.651107001,144,2
1531235011.756384865,222,3
1531235011.861662273,156,2
1531235011.966938584,132,2
1531235012.072181157,230,3
1531235012.177412627,394,5
1531235012.282709662,144,2
1531235012.387975070,66,1
1531235012.493209631,164,2
1531235012.598511700,276,4
1531235012.703832753,144,2
1531235012.809108158,210,3
1531235012.914373479,210,3
1531235013.019684551,156,2
1531235013.124935149,222,3
1531235013.230266697,210,3
1531235013.335584722,78,1
1531235013.440885826,66,1
1531235013.546189116,132,2
1531235013.651542564,198,3
1531235013.756822796,210,3
1531235013.862119967,94,1
1531235013.967426141,78,1
1531235014.072712067,78,1
1531235014.177997791,222,3
1531235014.283310263,0,0
1531235014.388624601,234,3
1531235014.493922555,156,2
1531235014.599261320,144,2
1531235014.704529381,366,5
1531235014.809851092,78,1
1531235014.915122874,230,3
1531235015.020394398,234,3
1531235015.125682808,164,2
1531235015.230941505,366,5
1531235015.336199239,0,0
1531235015.441387634,66,1
1531235015.546689576,144,2
1531235015.651978849,222,3
1531235015.757230060,78,1
1531235015.862532343,132,2
1531235015.967828686,66,1
1531235016.073119891,132,2
1531235016.178454446,0,0
1531235016.283779935,78,1
1531235016.389062726,66,1
1531235016.494365785,66,1
1531235016.599686694,66,1
1531235016.704979530,144,2
1531235016.810284712,78,1
1531235016.915588106,288,4
1531235017.020878360,556,6
1531235017.126201023,0,0
1531235017.231513451,78,1
1531235017.336833104,0,0
1531235017.442127191,156,2
1531235017.547437949,0,0
1531235017.652688931,78,1
1531235017.757974932,144,2
1531235017.863298748,156,2
1531235017.968554328,210,3
1531235018.073860742,156,2
1531235018.179126965,156,2
1531235018.284384875,0,0
1531235018.389686755,144,2
1531235018.494958876,144,2
1531235018.600213226,144,2
1531235018.705421463,144,2
1531235018.810749319,0,0
1531235018.916006268,66,1
1531235019.021270269,164,2
1531235019.126554826,242,3
1531235019.231867210,242,3
1531235019.337210736,144,2
1531235019.442511726,198,3
1531235019.547804234,78,1
1531235019.653102849,94,1
1531235019.758409370,360,4
1531235019.863731866,406,5
1531235019.969026391,156,2
1531235020.074325624,0,0
1531235020.179650211,144,2
1531235020.284937699,210,3
1531235020.390259803,156,2
1531235020.495586453,210,3
1531235020.600881962,156,2
1531235020.706190541,210,3
1531235020.811491268,0,0
1531235020.916750000,66,1
1531235021.022038410,258,3
1531235021.127360011,78,1
1531235021.232668577,78,1
1531235021.337985763,234,3
1531235021.443311303,210,3
1531235021.548599553,66,1
1531235021.653916186,276,4
1531235021.759242761,66,1
1531235021.864500050,0,0
1531235021.969828291,86,1
1531235022.075122839,250,3
1531235022.180382587,658,7
1531235022.285682946,144,2
1531235022.390933418,144,2
1531235022.496205375,222,3
1531235022.601426239,132,2
1531235022.706717626,66,1
1531235022.811980475,66,1
1531235022.917221891,78,1
1531235023.022570427,300,4
1531235023.127891416,78,1
1531235023.233157773,144,2
1531235023.338469924,86,1
1531235023.443803354,274,3
1531235023.549092765,86,1
1531235023.654399713,86,1
1531235023.759723763,198,3
1531235023.865004494,242,3
1531235023.970310263,66,1
1531235024.075624298,366,5
1531235024.180920531,66,1
1531235024.286262169,156,2
1531235024.391574521,198,3
1531235024.496862487,0,0
1531235024.602181153,0,0
1531235024.707492595,156,2
1531235024.812793318,0,0
1531235024.918066704,78,1
1531235025.023383771,250,3
1531235025.128657976,78,1
1531235025.233957523,144,2
1531235025.339266202,66,1
1531235025.444521552,164,2
1531235025.549854920,222,3
1531235025.655128995,144,2
1531235025.760359923,288,4
1531235025.865575741,0,0
1531235025.970899249,0,0
1531235026.076173600,258,3
1531235026.181424044,66,1
1531235026.286770725,156,2
1531235026.392082086,66,1
1531235026.497335123,66,1
1531235026.602641354,198,3
1531235026.707991543,66,1
1531235026.813260030,222,3
1531235026.918544688,276,4
1531235027.023857645,144,2
1531235027.129122839,198,3
1531235027.234488301,132,2
1531235027.339811471,226,3
1531235027.445094696,0,0
1531235027.550419407,210,3
1531235027.655740399,250,3
1531235027.761036101,210,3
1531235027.866364073,78,1
1531235027.971722325,230,3
1531235028.077071188,198,3
1531235028.182408433,234,3
1531235028.287703096,152,2
1531235028.393002372,78,1
1531235028.498307927,144,2
1531235028.603673968,66,1
1531235028.709012800,78,1
1531235028.814332636,66,1
1531235028.919656175,78,1
1531235029.024940375,144,2
1531235029.130258428,144,2
1531235029.235621374,66,1
1531235029.340935929,66,1
1531235029.446282948,0,0
1531235029.551576444,66,1
1531235029.656835036,66,1
1531235029.762115655,132,2
1531235029.867430158,432,6
1531235029.972755973,0,0
1531235030.078021123,276,4
1531235030.183339051,78,1
1531235030.288670132,66,1
1531235030.394008634,288,4
1531235030.499344171,78,1
1531235030.604669043,156,2
1531235030.709972393,78,1
1531235030.815295179,210,3
1531235030.920562321,210,3
1531235031.025932298,144,2
1531235031.131254433,66,1
1531235031.236546188,66,1
1531235031.341849234,222,3
1531235031.447135469,156,2
1531235031.552390984,234,3
1531235031.657715625,144,2
1531235031.762961553,222,3
1531235031.868225707,132,2
1531235031.973466512,78,1
1531235032.078792754,86,1
1531235032.184084291,156,2
1531235032.289328495,78,1
1531235032.394645833,222,3
1531235032.499931981,156,2
1531235032.605225898,132,2
1531235032.710540171,66,1
1531235032.815867281,234,3
1531235032.921147879,78,1
1531235033.026469824,172,2
1531235033.131817194,144,2
1531235033.237112007,376,4
1531235033.342411938,144,2
1531235033.447765368,210,3
1531235033.553051323,86,1
1531235033.658341106,0,0
