ts, Backlog in Bytes, Backlog in packets
1531238812.960302286,0,0
1531238813.065808362,0,0
1531238813.170929487,0,0
1531238813.275672503,0,0
1531238813.379697319,0,0
1531238813.484387026,0,0
1531238813.589440863,0,0
1531238813.694503519,0,0
1531238813.799591693,0,0
1531238813.904700271,0,0
1531238814.009751171,0,0
1531238814.114811139,0,0
1531238814.219869409,0,0
1531238814.325000937,0,0
1531238814.430044879,0,0
1531238814.535135855,0,0
1531238814.640210108,0,0
1531238814.745289516,0,0
1531238814.850352008,0,0
1531238814.955409492,0,0
1531238815.060502504,74,1
1531238815.165592080,0,0
1531238815.270660830,0,0
1531238815.375752285,78,1
1531238815.480872465,386,5
1531238815.585937288,266,3
1531238815.691014287,266,3
1531238815.796102915,402,5
1531238815.901200643,156,2
1531238816.006246849,86,1
1531238816.111316677,328,4
1531238816.216432878,164,2
1531238816.321497393,0,0
1531238816.426594269,66,1
1531238816.531668490,0,0
1531238816.636809982,512,6
1531238816.741885852,876,10
1531238816.846986365,308,4
1531238816.952105880,198,3
1531238817.057210928,132,2
1531238817.162259672,308,4
1531238817.267322848,198,3
1531238817.372409550,144,2
1531238817.477509257,180,2
1531238817.582626774,242,3
1531238817.687703247,352,4
1531238817.792823133,390,5
1531238817.897893719,488,6
1531238818.002962967,610,7
1531238818.107525044,0,0
1531238818.212684788,432,6
1531238818.317810752,250,3
1531238818.422880627,274,3
1531238818.527961207,188,2
1531238818.633171509,516,6
1531238818.738226083,422,5
1531238818.843280932,360,4
1531238818.948364490,164,2
1531238819.053419493,246,3
1531238819.158489722,250,3
1531238819.263578059,476,6
1531238819.368670583,66,1
1531238819.473685472,492,6
1531238819.578757555,934,11
1531238819.683821142,554,7
1531238819.788901439,680,8
1531238819.893947681,164,2
1531238819.998980306,78,1
1531238820.104026080,144,2
1531238820.209112286,0,0
1531238820.314141012,156,2
1531238820.419221319,0,0
1531238820.524281628,336,4
1531238820.629357126,642,7
1531238820.734409660,230,3
1531238820.839491761,210,3
1531238820.944549284,222,3
1531238821.049587002,452,6
1531238821.154653579,152,2
1531238821.259720031,242,3
1531238821.364853782,164,2
1531238821.469894401,0,0
1531238821.574970882,0,0
1531238821.680039596,0,0
1531238821.785118090,558,7
1531238821.890163042,180,2
1531238821.995204846,164,2
1531238822.100307203,250,3
1531238822.205379173,634,7
1531238822.310442567,86,1
1531238822.415522844,250,3
1531238822.520673949,144,2
1531238822.625697516,144,2
1531238822.730784586,164,2
1531238822.835838342,250,3
1531238822.940931681,2184,24
1531238823.045978515,1112,12
1531238823.149971644,492,6
1531238823.255047575,78,1
1531238823.360131735,66,1
1531238823.465247158,288,4
1531238823.570332100,180,2
1531238823.675408988,164,2
1531238823.780502279,462,5
1531238823.885555719,308,4
1531238823.990633277,652,8
1531238824.095738681,532,6
1531238824.200848439,752,8
1531238824.305881880,846,9
1531238824.410940432,414,5
1531238824.516030990,328,4
1531238824.621144515,172,2
1531238824.726205739,144,2
1531238824.831415837,266,3
1531238824.936554947,242,3
1531238825.041694695,296,4
1531238825.146774424,144,2
1531238825.251859529,132,2
1531238825.357002651,238,3
1531238825.462047617,0,0
1531238825.567083075,144,2
1531238825.672185834,66,1
1531238825.777304711,156,2
1531238825.882413427,524,6
1531238825.987519108,0,0
1531238826.092647010,222,3
1531238826.197706597,230,3
1531238826.302779599,78,1
1531238826.407859379,336,4
1531238826.512981085,258,3
1531238826.618058970,250,3
1531238826.723111937,1292,14
1531238826.828197190,222,3
1531238826.933298939,446,5
1531238827.038377643,180,2
1531238827.143476745,234,3
1531238827.248632859,164,2
1531238827.353763254,78,1
1531238827.458816714,650,7
1531238827.563934275,838,9
1531238827.669053153,1496,16
1531238827.774144630,446,5
1531238827.879176443,250,3
