ts, Backlog in Bytes, Backlog in packets
1531201973.921267533,0,0
1531201974.026833464,0,0
1531201974.132040797,0,0
1531201974.237256612,0,0
1531201974.342404916,0,0
1531201974.447691751,0,0
1531201974.552797952,0,0
1531201974.657889519,0,0
1531201974.762993298,0,0
1531201974.868112340,0,0
1531201974.973230510,0,0
1531201975.078347113,0,0
1531201975.183482649,0,0
1531201975.288612828,0,0
1531201975.393727204,0,0
1531201975.498818829,0,0
1531201975.603907456,0,0
1531201975.709032187,0,0
1531201975.814084100,0,0
1531201975.919177688,0,0
1531201976.024280795,0,0
1531201976.129427164,0,0
1531201976.234527237,0,0
1531201976.339623030,0,0
1531201976.444765065,0,0
1531201976.549862688,386,5
1531201976.654960134,242,3
1531201976.760080390,300,4
1531201976.865252848,1002,11
1531201976.970409950,132,2
1531201977.075550089,222,3
1531201977.180691490,78,1
1531201977.285759951,66,1
1531201977.390888361,132,2
1531201977.495984965,78,1
1531201977.601122527,144,2
1531201977.706216611,132,2
1531201977.811318694,0,0
1531201977.916434891,210,3
1531201978.021528781,234,3
1531201978.126621582,66,1
1531201978.231736624,300,4
1531201978.336889303,156,2
1531201978.441966713,144,2
1531201978.547103381,198,3
1531201978.652264088,210,3
1531201978.757347449,66,1
1531201978.862433333,78,1
1531201978.967536822,276,4
1531201979.072691279,276,4
1531201979.177748868,78,1
1531201979.282832777,164,2
1531201979.387925962,78,1
1531201979.493046063,66,1
1531201979.598101690,222,3
1531201979.703193233,222,3
1531201979.808294725,144,2
1531201979.913458012,0,0
1531201980.018544734,144,2
1531201980.123638621,132,2
1531201980.228803829,132,2
1531201980.333906269,288,4
1531201980.439044099,144,2
1531201980.544154431,78,1
1531201980.649259606,144,2
1531201980.754357051,66,1
1531201980.859459873,156,2
1531201980.964571723,144,2
1531201981.069647573,144,2
1531201981.174751366,132,2
1531201981.279877821,144,2
1531201981.384989273,132,2
1531201981.490067213,66,1
1531201981.595180246,272,4
1531201981.700319849,78,1
1531201981.805493854,132,2
1531201981.910660900,78,1
1531201982.015774642,132,2
1531201982.120888373,78,1
1531201982.225953899,144,2
1531201982.331109720,210,3
1531201982.436217999,0,0
1531201982.541349470,66,1
1531201982.646442989,210,3
1531201982.751564573,210,3
1531201982.856735780,144,2
1531201982.961807734,210,3
1531201983.066900268,144,2
1531201983.172001865,156,2
1531201983.277119857,210,3
1531201983.382224235,144,2
1531201983.487333450,132,2
1531201983.592452763,78,1
1531201983.697562399,78,1
1531201983.802630877,222,3
1531201983.907723999,210,3
1531201984.012846307,156,2
1531201984.117896349,144,2
1531201984.223030421,144,2
1531201984.328137151,0,0
1531201984.433253112,210,3
1531201984.538362061,144,2
1531201984.643463867,132,2
1531201984.748615394,66,1
1531201984.853746650,288,4
1531201984.958841433,210,3
1531201985.063938617,132,2
1531201985.169061931,66,1
1531201985.274149556,210,3
1531201985.379291770,132,2
1531201985.484397071,144,2
1531201985.589501583,132,2
1531201985.694607081,164,2
1531201985.799719563,198,3
1531201985.904867870,0,0
1531201986.009900579,66,1
1531201986.114985698,132,2
1531201986.220095821,144,2
1531201986.325221401,210,3
1531201986.430330524,144,2
1531201986.535457507,210,3
1531201986.640622734,78,1
1531201986.745696712,78,1
1531201986.850784243,132,2
1531201986.955852647,222,3
1531201987.060982939,132,2
1531201987.166080989,210,3
1531201987.271164619,210,3
1531201987.376261516,144,2
1531201987.481356241,156,2
1531201987.586441163,78,1
1531201987.691566442,78,1
1531201987.796691170,198,3
1531201987.901773422,144,2
1531201988.006843902,222,3
1531201988.111963214,198,3
1531201988.217081033,288,4
1531201988.322196934,210,3
1531201988.427311770,156,2
1531201988.532409681,156,2
1531201988.637539250,66,1
1531201988.742625010,230,3
1531201988.847729318,222,3
1531201988.952874211,132,2
1531201989.057957977,66,1
1531201989.163109459,406,5
1531201989.268228875,250,3
1531201989.373359737,66,1
1531201989.478478585,222,3
1531201989.583605297,374,5
1531201989.688789262,66,1
1531201989.793866103,342,5
1531201989.898941505,222,3
1531201990.004054552,144,2
1531201990.109209278,210,3
1531201990.214304176,288,4
1531201990.319392222,210,3
1531201990.424503073,66,1
1531201990.529599529,66,1
1531201990.634694326,66,1
1531201990.739818179,144,2
1531201990.844960583,222,3
1531201990.950030051,210,3
1531201991.055148762,210,3
1531201991.160233740,300,4
1531201991.265373116,78,1
1531201991.370496571,222,3
1531201991.475599916,132,2
1531201991.580745494,144,2
1531201991.685833630,242,3
1531201991.790917844,144,2
1531201991.896013336,66,1
1531201992.001138149,210,3
1531201992.106265508,210,3
1531201992.211387890,288,4
1531201992.316521670,66,1
1531201992.421611563,132,2
1531201992.526729910,0,0
1531201992.631861113,144,2
1531201992.737030339,152,2
1531201992.842110546,230,3
1531201992.947238641,78,1
1531201993.052350933,78,1
1531201993.157463507,66,1
1531201993.262562930,0,0
