ts, Backlog in Bytes, Backlog in packets
1531234696.096964926,0,0
1531234696.202457807,0,0
1531234696.307631884,0,0
1531234696.412829463,0,0
1531234696.517987528,0,0
1531234696.623136563,0,0
1531234696.728284642,0,0
1531234696.833465339,0,0
1531234696.938638393,0,0
1531234697.043803505,0,0
1531234697.148993999,0,0
1531234697.254117977,0,0
1531234697.359264608,0,0
1531234697.464434436,0,0
1531234697.569573207,0,0
1531234697.674744478,0,0
1531234697.779875242,0,0
1531234697.885050173,0,0
1531234697.990188036,0,0
1531234698.095346459,0,0
1531234698.200496886,0,0
1531234698.305619594,0,0
1531234698.410782833,328,4
1531234698.515968542,78,1
1531234698.621150708,144,2
1531234698.726349826,0,0
1531234698.831519917,156,2
1531234698.936743075,210,3
1531234699.041876841,66,1
1531234699.147025780,156,2
1531234699.252201498,344,4
1531234699.357389742,144,2
1531234699.462575287,0,0
1531234699.567751877,78,1
1531234699.672942712,132,2
1531234699.778088755,144,2
1531234699.883233622,78,1
1531234699.988450972,164,2
1531234700.093584294,144,2
1531234700.198703117,144,2
1531234700.303862729,156,2
1531234700.409080973,0,0
1531234700.514231537,66,1
1531234700.619434463,66,1
1531234700.724610526,230,3
1531234700.829777443,78,1
1531234700.934927636,0,0
1531234701.040077960,156,2
1531234701.145260914,78,1
1531234701.250427372,156,2
1531234701.355572677,156,2
1531234701.460774876,230,3
1531234701.565879939,156,2
1531234701.671002610,406,5
1531234701.776174692,78,1
1531234701.881300364,78,1
1531234701.986418818,144,2
1531234702.091586086,234,3
1531234702.196787940,66,1
1531234702.301935125,66,1
1531234702.407103565,66,1
1531234702.512274261,144,2
1531234702.617445067,156,2
1531234702.722629596,210,3
1531234702.827792750,222,3
1531234702.932991844,198,3
1531234703.038127499,164,2
1531234703.143279445,282,3
1531234703.248462999,86,1
1531234703.353608704,288,4
1531234703.458731868,0,0
1531234703.563883495,532,6
1531234703.669050649,344,4
1531234703.774183727,222,3
1531234703.879299491,78,1
1531234703.984453428,78,1
1531234704.089597554,144,2
1531234704.194774828,66,1
1531234704.299960551,78,1
1531234704.405155054,0,0
1531234704.510296135,234,3
1531234704.615453766,288,4
1531234704.720628458,198,3
1531234704.825782185,0,0
1531234704.930903837,370,5
1531234705.036075397,274,3
1531234705.141270335,3102,33
1531234705.246443868,282,3
1531234705.351598715,360,4
1531234705.456775579,160,2
1531234705.561881896,300,4
1531234705.667015011,144,2
1531234705.772183272,0,0
1531234705.877356991,144,2
1531234705.982552273,132,2
1531234706.087695839,230,3
1531234706.192878784,300,4
1531234706.298004525,394,5
1531234706.403171056,288,4
1531234706.508343383,242,3
1531234706.613504717,778,9
1531234706.718637097,144,2
1531234706.823783299,132,2
1531234706.928960959,222,3
1531234707.034068598,210,3
1531234707.139188271,66,1
1531234707.244361469,0,0
1531234707.349520586,78,1
1531234707.454658323,210,3
1531234707.559800713,288,4
1531234707.664965416,156,2
1531234707.770093985,66,1
1531234707.875217019,152,2
1531234707.980401985,164,2
1531234708.085529436,66,1
1531234708.190660726,78,1
1531234708.295816085,242,3
1531234708.401006161,132,2
1531234708.506085660,308,4
1531234708.611218009,78,1
1531234708.716382090,432,6
1531234708.821530954,78,1
1531234708.926657749,144,2
1531234709.031793287,0,0
1531234709.136981000,234,3
1531234709.242096576,0,0
1531234709.347252570,78,1
1531234709.452427593,144,2
1531234709.557583593,66,1
1531234709.662707295,66,1
1531234709.767867007,0,0
1531234709.873056984,222,3
1531234709.978169412,250,3
1531234710.083329470,156,2
1531234710.188474450,152,2
1531234710.293623794,0,0
1531234710.398741471,86,1
1531234710.503893478,144,2
1531234710.609076347,132,2
1531234710.714224137,164,2
1531234710.819384989,66,1
1531234710.924565225,66,1
1531234711.029764954,156,2
1531234711.134891684,66,1
1531234711.240036260,66,1
1531234711.345213976,66,1
1531234711.450350342,210,3
1531234711.555531944,234,3
1531234711.660708901,156,2
1531234711.765843910,66,1
1531234711.870979478,152,2
1531234711.976138749,66,1
1531234712.081288801,210,3
1531234712.186477622,144,2
1531234712.291635251,156,2
1531234712.396871820,230,3
1531234712.502018373,164,2
1531234712.607158705,144,2
1531234712.712335326,386,5
1531234712.817485406,144,2
1531234712.922647504,164,2
1531234713.027841435,132,2
1531234713.133031239,132,2
1531234713.238190517,250,3
1531234713.343365163,144,2
1531234713.448516707,144,2
1531234713.553630278,78,1
1531234713.658777681,1222,13
1531234713.763950890,336,4
1531234713.869180057,288,4
1531234713.974361673,132,2
1531234714.079544234,242,3
1531234714.184775719,242,3
1531234714.289932342,144,2
1531234714.395077230,86,1
1531234714.500257120,66,1
1531234714.605426592,78,1
1531234714.710577738,156,2
1531234714.815750655,402,5
1531234714.920938950,78,1
1531234715.026052024,144,2
1531234715.131218773,222,3
1531234715.236389750,0,0
1531234715.341548173,0,0
1531234715.446722153,144,2
1531234715.551890229,78,1
1531234715.657042674,144,2
1531234715.762182652,132,2
1531234715.867360171,144,2
1531234715.972539593,86,1
1531234716.077678760,164,2
1531234716.182793534,0,0
1531234716.287949373,156,2
1531234716.393157459,316,4
1531234716.498334918,0,0
1531234716.603535576,242,3
1531234716.708747670,704,8
1531234716.813883658,164,2
1531234716.919023309,78,1
1531234717.024174420,210,3
1531234717.129330764,78,1
1531234717.234504209,78,1
1531234717.339674134,144,2
1531234717.444876320,144,2
1531234717.550000773,66,1
1531234717.655207941,132,2
1531234717.760365157,86,1
1531234717.865505249,210,3
1531234717.970683861,156,2
1531234718.075846177,66,1
1531234718.181005622,210,3
1531234718.286113025,234,3
1531234718.391260518,78,1
