ts,rto,rtt,rttvar,mss,pmtu,rcvmss,advmss,cwnd,bytes_acked,segs_out,segs_in,data_segs_out,bbr_bw,bbr_min_rtt,bbr_pacing_gain,bbr_cwnd_gain,send,pacing_rate,delivery_rate
1529689753.284126135,224,22.71,0.171,1448,1500,536,1448,372,136511686,94464,10620,94462,98.5e6,20.101,1.25,2,189.8e6,127.5e6,95.6e6,11740ms
1529689753.295858763,224,22.676,0.147,1448,1500,536,1448,372,136649246,94564,10631,94562,98.5e6,20.101,1.25,2,190.0e6,127.5e6,93.1e6,11752ms
1529689753.307262944,224,22.67,0.112,1448,1500,536,1448,372,136794046,94664,10642,94662,98.5e6,20.101,1.25,2,190.1e6,127.5e6,95.9e6,11764ms
1529689753.318468359,224,22.668,0.115,1448,1500,536,1448,372,136924366,94754,10652,94752,98.5e6,20.101,1.25,2,190.1e6,127.5e6,95.7e6,11776ms
1529689753.329730837,224,22.667,0.118,1448,1500,536,1448,372,137054686,94844,10662,94842,98.5e6,20.101,1.25,2,190.1e6,127.5e6,95.8e6,11788ms
1529689753.340685632,224,22.653,0.112,1448,1500,536,1448,372,137185006,94934,10672,94932,98.5e6,20.101,1.25,2,190.2e6,127.5e6,95.7e6,11796ms
1529689753.352289462,224,22.724,0.162,1448,1500,536,1448,372,137329806,95034,10683,95032,98.5e6,20.101,1.25,2,189.6e6,127.5e6,95.5e6,11808ms
1529689753.363672052,224,22.715,0.168,1448,1500,536,1448,372,137460126,95124,10693,95122,98.5e6,20.101,1.25,2,189.7e6,127.5e6,95.6e6,11820ms
1529689753.374982783,224,22.683,0.167,1448,1500,536,1448,372,137604926,95214,10704,95212,98.5e6,20.101,1.25,2,190.0e6,127.5e6,93.8e6,11832ms
1529689753.386199789,224,22.702,0.156,1448,1500,536,1448,372,137735246,95314,10715,95312,98.5e6,20.101,1.25,2,189.8e6,127.5e6,93.8e6,11844ms
1529689753.397472672,224,22.703,0.155,1448,1500,536,1448,372,137865566,95404,10725,95402,98.5e6,20.101,1.25,2,189.8e6,127.5e6,93.9e6,11856ms
1529689753.408578197,224,22.692,0.169,1448,1500,536,1448,372,137995886,95494,10735,95492,98.5e6,20.101,1.25,2,189.9e6,127.5e6,93.9e6,11864ms
1529689753.420028225,224,22.657,0.123,1448,1500,536,1448,372,138140686,95589,10747,95587,98.5e6,20.101,1.25,2,190.2e6,127.5e6,95.5e6,11876ms
1529689753.431336155,224,22.695,0.135,1448,1500,536,1448,372,138271006,95689,10757,95687,98.5e6,20.101,1.25,2,189.9e6,127.5e6,94.9e6,11888ms
1529689753.442752305,224,22.671,0.159,1448,1500,536,1448,372,138408566,95779,10768,95777,98.5e6,20.101,1.25,2,190.1e6,127.5e6,93.2e6,11900ms
1529689753.454079215,224,22.649,0.113,1448,1500,536,1448,372,138553366,95879,10780,95877,98.5e6,20.101,1.25,2,190.3e6,127.5e6,96.2e6,11912ms
1529689753.465369713,224,22.663,0.112,1448,1500,536,1448,372,138683686,95969,10790,95967,98.5e6,20.101,1.25,2,190.1e6,127.5e6,95.4e6,11924ms
1529689753.476757914,224,22.679,0.095,1448,1500,536,1448,372,138814006,96059,10800,96057,98.2e6,20.101,1.25,2,190.0e6,127.2e6,95.8e6,11932ms
1529689753.488231686,224,22.713,0.169,1448,1500,536,1448,372,138958806,96149,10811,96147,98.2e6,20.101,1.25,2,189.7e6,127.2e6,98.0e6,11944ms
1529689753.499631897,224,22.695,0.167,1448,1500,536,1448,372,139089126,96249,10821,96247,98.2e6,20.101,1.25,2,189.9e6,127.2e6,95.9e6,11956ms
1529689753.510767456,224,22.752,0.245,1448,1500,536,1448,372,139219446,96339,10831,96337,98.2e6,20.101,1.25,2,189.4e6,127.2e6,95.7e6,11968ms
1529689753.522055408,224,22.7,0.16,1448,1500,536,1448,372,139364246,96429,10842,96427,98.2e6,20.101,1.25,2,189.8e6,127.2e6,93.9e6,11980ms
1529689753.533446877,224,22.698,0.185,1448,1500,536,1448,372,139494566,96529,10852,96527,98.2e6,20.101,1.25,2,189.9e6,127.2e6,93.9e6,11992ms
1529689753.544420020,224,22.707,0.118,1448,1500,536,1448,372,139624886,96619,10862,96617,98.2e6,20.101,1.25,2,189.8e6,127.2e6,93.9e6,12000ms
1529689753.555642988,224,22.689,0.16,1448,1500,536,1448,372,139755206,96709,10872,96707,98.2e6,20.101,1.25,2,189.9e6,127.2e6,93.8e6,12012ms
1529689753.567000321,224,22.682,0.147,1448,1500,536,1448,372,139900006,96799,10883,96797,98.4e6,20.101,1.25,2,190.0e6,127.4e6,95.7e6,12024ms
1529689753.578205745,224,22.683,0.141,1448,1500,536,1448,372,140030326,96894,10893,96892,98.4e6,20.101,1.25,2,190.0e6,127.4e6,95.7e6,12036ms
1529689753.589633898,224,22.662,0.129,1448,1500,536,1448,372,140167886,96994,10904,96992,98.4e6,20.101,1.25,2,190.2e6,127.4e6,93.1e6,12048ms
1529689753.600883213,224,22.645,0.111,1448,1500,536,1448,372,140298206,97084,10915,97082,98.4e6,20.101,1.25,2,190.3e6,127.4e6,93.1e6,12056ms
1529689753.612223610,224,22.659,0.11,1448,1500,536,1448,372,140443006,97184,10927,97182,98.4e6,20.101,1.25,2,190.2e6,127.5e6,95.6e6,12068ms
1529689753.624262343,224,22.675,0.089,1448,1500,536,1448,372,140573326,97274,10937,97272,98.4e6,20.101,1.25,2,190.0e6,127.5e6,95.9e6,12080ms
1529689753.636147899,224,22.716,0.16,1448,1500,536,1448,372,140718126,97374,10948,97372,98.4e6,20.101,1.25,2,189.7e6,127.5e6,97.9e6,12092ms
1529689753.648230717,224,22.679,0.163,1448,1500,536,1448,372,140862926,97474,10959,97472,98.5e6,20.101,1.25,2,190.0e6,127.5e6,93.9e6,12104ms
1529689753.659947330,224,22.653,0.16,1448,1500,536,1448,372,141007726,97569,10970,97567,98.5e6,20.101,1.25,2,190.2e6,127.5e6,95.7e6,12116ms
1529689753.671424047,224,22.648,0.139,1448,1500,536,1448,372,141145286,97669,10981,97667,98.5e6,20.101,1.25,2,190.3e6,127.5e6,93.1e6,12128ms
1529689753.682856423,224,22.65,0.132,1448,1500,536,1448,372,141275606,97759,10991,97757,98.5e6,20.101,1.25,2,190.3e6,127.5e6,93.1e6,12140ms
1529689753.694581765,224,22.68,0.14,1448,1500,536,1448,372,141420406,97859,11002,97857,98.5e6,20.101,1.25,2,190.0e6,127.5e6,95.7e6,12152ms
1529689753.706164663,224,22.706,0.165,1448,1500,536,1448,372,141565206,97949,11013,97947,98.5e6,20.101,1.25,2,189.8e6,127.5e6,95.9e6,12164ms
1529689753.717937621,224,22.698,0.179,1448,1500,536,1448,372,141695526,98049,11023,98047,98.5e6,20.101,1.25,2,189.9e6,127.5e6,95.7e6,12176ms
1529689753.729331753,224,22.709,0.145,1448,1500,536,1448,372,141840326,98139,11034,98137,98.5e6,20.101,1.25,2,189.8e6,127.5e6,93.8e6,12188ms
1529689753.741151980,224,22.701,0.15,1448,1500,536,1448,372,141970646,98239,11044,98237,98.5e6,20.101,1.25,2,189.8e6,127.5e6,93.9e6,12196ms
1529689753.752459529,224,22.676,0.133,1448,1500,536,1448,372,142115446,98329,11055,98327,98.5e6,20.101,1.25,2,190.0e6,127.5e6,95.7e6,12208ms
1529689753.764056210,224,22.672,0.157,1448,1500,536,1448,372,142245766,98434,11065,98432,98.5e6,20.101,1.25,2,190.1e6,127.5e6,95.6e6,12220ms
1529689753.775808645,224,22.681,0.147,1448,1500,536,1448,372,142383326,98534,11076,98532,98.5e6,20.101,1.25,2,190.0e6,127.5e6,93.2e6,12232ms
1529689753.787543793,224,22.696,0.146,1448,1500,536,1448,372,142528126,98624,11087,98622,98.5e6,20.101,1.25,2,189.9e6,127.5e6,95.5e6,12244ms
1529689753.799427692,224,22.713,0.165,1448,1500,536,1448,372,142672926,98724,11098,98722,98.5e6,20.101,1.25,2,189.7e6,127.5e6,97.8e6,12256ms
1529689753.810961836,224,22.69,0.197,1448,1500,536,1448,372,142817726,98814,11109,98812,98.5e6,20.101,1.25,2,189.9e6,127.5e6,93.8e6,12268ms
1529689753.822776927,224,22.699,0.202,1448,1500,536,1448,372,142948046,98914,11119,98912,98.5e6,20.101,1.25,2,189.8e6,127.5e6,93.8e6,12280ms
1529689753.834349186,224,22.675,0.139,1448,1500,536,1448,372,143092846,99009,11130,99007,98.5e6,20.101,1.25,2,190.0e6,127.5e6,95.5e6,12292ms
1529689753.846193567,224,22.667,0.154,1448,1500,536,1448,372,143230406,99109,11142,99107,98.5e6,20.101,1.25,2,190.1e6,127.5e6,93.1e6,12304ms
1529689753.857581629,224,22.675,0.141,1448,1500,536,1448,372,143375206,99209,11153,99207,98.5e6,20.101,1.25,2,190.0e6,127.5e6,95.4e6,12316ms
1529689753.869320550,224,22.685,0.112,1448,1500,536,1448,372,143505526,99299,11163,99297,98.5e6,20.101,1.25,2,190.0e6,127.5e6,95.6e6,12328ms
1529689753.880653208,224,22.73,0.165,1448,1500,536,1448,372,143650326,99389,11175,99387,98.5e6,20.101,1.25,2,189.6e6,127.5e6,97.9e6,12336ms
1529689753.892290194,224,22.744,0.191,1448,1500,536,1448,372,143780646,99489,11186,99487,98.5e6,20.101,1.25,2,189.5e6,127.5e6,98.3e6,12348ms
1529689753.904364525,224,22.664,0.179,1448,1500,536,1448,372,143925446,99589,11198,99587,98.5e6,20.101,1.25,2,190.1e6,127.5e6,93.8e6,12360ms
1529689753.916173361,224,22.673,0.143,1448,1500,536,1448,372,144070246,99684,11209,99682,98.3e6,20.101,1.25,2,190.1e6,127.3e6,95.4e6,12372ms
1529689753.928129790,224,22.661,0.122,1448,1500,536,1448,372,144207806,99784,11220,99782,98.3e6,20.101,1.25,2,190.2e6,127.3e6,93.1e6,12384ms
1529689753.940117445,224,22.661,0.13,1448,1500,536,1448,372,144352606,99884,11231,99882,98.3e6,20.101,1.25,2,190.2e6,127.3e6,95.6e6,12396ms
1529689753.951901086,224,22.683,0.16,1448,1500,536,1448,372,144497406,99984,11242,99982,98.4e6,20.101,1.25,2,190.0e6,127.5e6,98.4e6,12408ms
1529689753.963845958,224,22.668,0.161,1448,1500,536,1448,372,144642206,100074,11253,100072,98.4e6,20.101,1.25,2,190.1e6,127.5e6,93.8e6,12420ms
1529689753.975527580,224,22.675,0.17,1448,1500,536,1448,372,144772526,100174,11263,100172,98.4e6,20.101,1.25,2,190.0e6,127.5e6,93.9e6,12432ms
1529689753.986944416,224,22.66,0.152,1448,1500,536,1448,372,144917326,100269,11274,100267,98.4e6,20.101,1.25,2,190.2e6,127.5e6,95.6e6,12444ms
1529689753.998439982,224,22.674,0.146,1448,1500,536,1448,372,145047646,100369,11284,100367,98.4e6,20.101,1.25,2,190.1e6,127.5e6,95.7e6,12456ms
1529689754.010239686,224,22.667,0.134,1448,1500,536,1448,372,145199686,100469,11296,100467,98.4e6,20.101,1.25,2,190.1e6,127.5e6,95.8e6,12468ms
1529689754.021959992,224,22.666,0.126,1448,1500,536,1448,372,145330006,100559,11306,100557,98.4e6,20.101,1.25,2,190.1e6,127.5e6,95.4e6,12480ms
1529689754.033582574,224,22.715,0.158,1448,1500,536,1448,372,145474806,100659,11318,100657,98.4e6,20.101,1.25,2,189.7e6,127.5e6,95.8e6,12492ms
1529689754.045079020,224,22.724,0.166,1448,1500,536,1448,372,145605126,100749,11328,100747,98.4e6,20.101,1.25,2,189.6e6,127.5e6,96.0e6,12500ms
1529689754.056890719,224,22.701,0.142,1448,1500,536,1448,372,145749926,100849,11339,100847,98.4e6,20.101,1.25,2,189.8e6,127.5e6,93.9e6,12512ms
1529689754.068566461,224,22.676,0.144,1448,1500,536,1448,372,145894726,100939,11350,100937,98.4e6,20.101,1.25,2,190.0e6,127.5e6,95.5e6,12524ms
1529689754.080383158,224,22.692,0.133,1448,1500,536,1448,372,146025046,101044,11360,101042,98.4e6,20.101,1.25,2,189.9e6,127.5e6,95.4e6,12536ms
1529689754.091968240,224,22.696,0.122,1448,1500,536,1448,372,146177086,101144,11372,101142,98.4e6,20.101,1.25,2,189.9e6,127.5e6,95.6e6,12548ms
1529689754.103715551,224,22.706,0.127,1448,1500,536,1448,372,146307406,101234,11382,101232,98.4e6,20.101,1.25,2,189.8e6,127.5e6,96.0e6,12560ms
1529689754.115547339,224,22.729,0.184,1448,1500,536,1448,372,146452206,101334,11393,101332,98.4e6,20.101,1.25,2,189.6e6,127.5e6,98.0e6,12572ms
1529689754.127287214,224,22.72,0.164,1448,1500,536,1448,372,146597006,101424,11404,101422,98.4e6,20.101,1.25,2,189.7e6,127.5e6,93.8e6,12584ms
1529689754.139348960,224,22.689,0.154,1448,1500,536,1448,372,146741806,101524,11415,101522,98.4e6,20.101,1.25,2,189.9e6,127.5e6,95.4e6,12596ms
1529689754.150836111,224,22.691,0.125,1448,1500,536,1448,372,146872126,101629,11425,101627,98.4e6,20.101,1.25,2,189.9e6,127.5e6,95.6e6,12608ms
1529689754.162546864,224,22.691,0.118,1448,1500,536,1448,372,147009686,101719,11436,101717,98.4e6,20.101,1.25,2,189.9e6,127.5e6,93.1e6,12620ms
1529689754.174214565,224,22.703,0.12,1448,1500,536,1448,372,147154486,101819,11447,101817,98.4e6,20.101,1.25,2,189.8e6,127.5e6,95.7e6,12632ms
1529689754.185766424,224,22.737,0.187,1448,1500,536,1448,372,147299286,101909,11458,101907,98.4e6,20.101,1.25,2,189.5e6,127.4e6,98.0e6,12644ms
1529689754.197342159,224,22.717,0.182,1448,1500,536,1448,372,147429606,102009,11468,102007,98.4e6,20.101,1.25,2,189.7e6,127.4e6,98.0e6,12656ms
1529689754.208578923,224,22.707,0.166,1448,1500,536,1448,372,147559926,102099,11478,102097,98.4e6,20.101,1.25,2,189.8e6,127.4e6,98.3e6,12664ms
1529689754.220672716,224,22.715,0.147,1448,1500,536,1448,372,147704726,102199,11489,102197,98.4e6,20.101,1.25,2,189.7e6,127.4e6,93.9e6,12676ms
1529689754.232475859,224,22.705,0.126,1448,1500,536,1448,372,147849526,102294,11500,102292,98.4e6,20.101,1.25,2,189.8e6,127.4e6,95.1e6,12688ms
1529689754.244502539,224,22.654,0.08,1448,1500,536,1448,372,147987086,102394,11511,102392,98.4e6,20.101,1.25,2,190.2e6,127.4e6,93.1e6,12700ms
1529689754.256480102,224,22.685,0.112,1448,1500,536,1448,372,148131886,102494,11522,102492,98.4e6,20.101,1.25,2,190.0e6,127.4e6,96.0e6,12712ms
1529689754.268243761,224,22.73,0.177,1448,1500,536,1448,372,148276686,102594,11533,102592,98.4e6,20.101,1.25,2,189.6e6,127.4e6,97.7e6,12724ms
1529689754.280064931,224,22.704,0.174,1448,1500,536,1448,372,148421486,102684,11544,102682,98.4e6,20.101,1.25,2,189.8e6,127.4e6,93.8e6,12736ms
1529689754.291882115,224,22.696,0.148,1448,1500,536,1448,372,148566286,102784,11555,102782,98.4e6,20.101,1.25,2,189.9e6,127.4e6,95.6e6,12748ms
1529689754.303847563,224,22.691,0.135,1448,1500,536,1448,372,148696606,102889,11565,102887,98.4e6,20.101,1.25,2,189.9e6,127.4e6,95.2e6,12760ms
1529689754.315789437,224,22.71,0.11,1448,1500,536,1448,372,148848646,102989,11577,102987,98.4e6,20.101,1.25,2,189.8e6,127.4e6,95.4e6,12772ms
1529689754.327661826,224,22.736,0.176,1448,1500,536,1448,372,148993446,103079,11588,103077,98.4e6,20.101,1.25,2,189.5e6,127.4e6,98.1e6,12784ms
1529689754.339874496,224,22.7,0.155,1448,1500,536,1448,372,149138246,103179,11599,103177,98.4e6,20.101,1.25,2,189.8e6,127.4e6,93.9e6,12796ms
1529689754.351942178,224,22.699,0.145,1448,1500,536,1448,372,149283046,103279,11610,103277,98.4e6,20.101,1.25,2,189.8e6,127.4e6,95.3e6,12808ms
1529689754.363644133,224,22.686,0.155,1448,1500,536,1448,372,149413366,103384,11620,103382,98.4e6,20.101,1.25,2,190.0e6,127.4e6,95.6e6,12820ms
1529689754.375303040,224,22.682,0.132,1448,1500,536,1448,372,149565406,103484,11632,103482,98.4e6,20.101,1.25,2,190.0e6,127.4e6,95.7e6,12832ms
1529689754.386931280,224,22.681,0.132,1448,1500,536,1448,372,149695726,103574,11642,103572,98.4e6,20.101,1.25,2,190.0e6,127.4e6,95.5e6,12844ms
1529689754.398481097,224,22.72,0.188,1448,1500,536,1448,372,149840526,103664,11653,103662,98.3e6,20.101,1.25,2,189.7e6,127.3e6,97.9e6,12856ms
1529689754.410045318,224,22.737,0.159,1448,1500,536,1448,372,149970846,103764,11663,103762,98.3e6,20.101,1.25,2,189.5e6,127.3e6,98.0e6,12868ms
1529689754.421365852,224,22.714,0.159,1448,1500,536,1448,372,150115646,103854,11674,103852,98.3e6,20.101,1.25,2,189.7e6,127.3e6,93.8e6,12880ms
1529689754.432630478,224,22.704,0.142,1448,1500,536,1448,372,150245966,103954,11684,103952,98.3e6,20.101,1.25,2,189.8e6,127.3e6,93.8e6,12888ms
1529689754.444588886,224,22.691,0.147,1448,1500,536,1448,372,150390766,104044,11695,104042,98.3e6,20.101,1.25,2,189.9e6,127.3e6,95.6e6,12900ms
1529689754.456453726,224,22.688,0.125,1448,1500,536,1448,372,150528326,104149,11706,104147,98.3e6,20.101,1.25,2,189.9e6,127.3e6,93.1e6,12912ms
1529689754.467998934,224,22.68,0.121,1448,1500,536,1448,372,150673126,104249,11717,104247,98.3e6,20.101,1.25,2,190.0e6,127.3e6,95.7e6,12924ms
1529689754.480006040,224,22.693,0.127,1448,1500,536,1448,372,150803446,104339,11727,104337,98.4e6,20.101,1.25,2,189.9e6,127.4e6,96.0e6,12936ms
1529689754.491976919,224,22.77,0.159,1448,1500,536,1448,372,150948246,104439,11739,104437,98.4e6,20.101,1.25,2,189.3e6,127.4e6,95.5e6,12948ms
1529689754.503935964,224,22.705,0.169,1448,1500,536,1448,372,151093046,104539,11751,104537,98.4e6,20.101,1.25,2,189.8e6,127.4e6,93.8e6,12960ms
1529689754.515737667,224,22.699,0.157,1448,1500,536,1448,372,151237846,104634,11762,104632,98.4e6,20.101,1.25,2,189.8e6,127.4e6,95.6e6,12972ms
1529689754.527292489,224,22.67,0.15,1448,1500,536,1448,372,151375406,104734,11773,104732,98.4e6,20.101,1.25,2,190.1e6,127.4e6,93.1e6,12984ms
1529689754.538978689,224,22.693,0.107,1448,1500,536,1448,372,151520206,104834,11784,104832,98.4e6,20.101,1.25,2,189.9e6,127.4e6,95.3e6,12996ms
1529689754.550530456,224,22.685,0.105,1448,1500,536,1448,372,151650526,104924,11794,104922,98.4e6,20.101,1.25,2,190.0e6,127.4e6,95.7e6,13008ms
1529689754.562482048,224,22.711,0.185,1448,1500,536,1448,372,151795326,105024,11805,105022,98.4e6,20.101,1.25,2,189.7e6,127.4e6,98.3e6,13020ms
1529689754.574174240,224,22.695,0.18,1448,1500,536,1448,372,151940126,105114,11816,105112,98.4e6,20.101,1.25,2,189.9e6,127.4e6,93.8e6,13032ms
1529689754.585927987,224,22.66,0.154,1448,1500,536,1448,372,152084926,105214,11827,105212,98.4e6,20.101,1.25,2,190.2e6,127.4e6,95.7e6,13044ms
1529689754.597683791,224,22.65,0.146,1448,1500,536,1448,372,152215246,105309,11837,105307,98.4e6,20.101,1.25,2,190.3e6,127.4e6,95.7e6,13056ms
1529689754.609268527,224,22.653,0.145,1448,1500,536,1448,372,152352806,105409,11848,105407,98.4e6,20.101,1.25,2,190.2e6,127.4e6,93.1e6,13068ms
1529689754.620909000,224,22.665,0.099,1448,1500,536,1448,372,152497606,105509,11859,105507,98.4e6,20.101,1.25,2,190.1e6,127.4e6,95.6e6,13076ms
1529689754.632393156,224,22.659,0.118,1448,1500,536,1448,372,152627926,105599,11869,105597,98.4e6,20.101,1.25,2,190.2e6,127.4e6,95.6e6,13088ms
1529689754.644195157,224,22.692,0.197,1448,1500,536,1448,372,152772726,105699,11880,105697,98.4e6,20.101,1.25,2,189.9e6,127.4e6,95.6e6,13100ms
1529689754.656127828,224,22.78,0.282,1448,1500,536,1448,372,152917526,105799,11891,105797,98.4e6,20.101,1.25,2,189.2e6,127.4e6,93.9e6,13112ms
1529689754.668072935,224,22.688,0.159,1448,1500,536,1448,372,153062326,105889,11902,105887,98.4e6,20.101,1.25,2,189.9e6,127.4e6,95.4e6,13124ms
1529689754.679989914,224,22.647,0.118,1448,1500,536,1448,372,153199886,105994,11914,105992,98.4e6,20.101,1.25,2,190.3e6,127.4e6,93.1e6,13136ms
1529689754.692039343,224,22.668,0.112,1448,1500,536,1448,372,153344686,106094,11925,106092,98.4e6,20.101,1.25,2,190.1e6,127.4e6,95.8e6,13148ms
1529689754.703613995,224,22.8,0.278,1448,1500,536,1448,372,153489486,106184,11936,106182,98.4e6,20.101,1.25,2,189.0e6,127.4e6,98.2e6,13160ms
1529689754.715487996,224,22.755,0.197,1448,1500,536,1448,372,153619806,106284,11948,106282,98.4e6,20.101,1.25,2,189.4e6,127.4e6,95.7e6,13172ms
1529689754.726980797,224,22.7,0.166,1448,1500,536,1448,372,153764606,106384,11959,106382,98.4e6,20.101,1.25,2,189.8e6,127.4e6,93.8e6,13184ms
1529689754.738761093,224,22.667,0.146,1448,1500,536,1448,372,153909406,106474,11971,106472,98.4e6,20.101,1.25,2,190.1e6,127.4e6,95.5e6,13196ms
1529689754.750349280,224,22.656,0.156,1448,1500,536,1448,372,154039726,106579,11981,106577,98.4e6,20.101,1.25,2,190.2e6,127.4e6,95.7e6,13208ms
1529689754.761936824,224,22.692,0.187,1448,1500,536,1448,372,154177286,106669,11992,106667,98.4e6,20.101,1.25,2,189.9e6,127.4e6,93.1e6,13220ms
1529689754.773979681,224,22.665,0.127,1448,1500,536,1448,372,154322086,106769,12003,106767,98.4e6,20.101,1.25,2,190.1e6,127.4e6,95.6e6,13232ms
1529689754.785286353,224,22.694,0.16,1448,1500,536,1448,372,154465438,106859,12014,106857,98.4e6,20.101,1.25,2,189.9e6,127.4e6,97.9e6,13244ms
1529689754.797219934,224,22.773,0.201,1448,1500,536,1448,372,154597206,106959,12024,106957,98.4e6,20.101,1.25,2,189.2e6,127.4e6,95.6e6,13252ms
1529689754.809106635,224,22.703,0.149,1448,1500,536,1448,372,154742006,107059,12035,107057,98.4e6,20.101,1.25,2,189.8e6,127.4e6,94.3e6,13264ms
1529689754.820683731,224,22.723,0.182,1448,1500,536,1448,372,154886806,107149,12046,107147,98.4e6,20.101,1.25,2,189.6e6,127.4e6,95.2e6,13276ms
1529689754.832344919,224,22.687,0.157,1448,1500,536,1448,372,155017126,107254,12056,107252,98.4e6,20.101,1.25,2,189.9e6,127.4e6,95.6e6,13288ms
1529689754.843875339,224,22.645,0.141,1448,1500,536,1448,372,155154686,107344,12068,107342,98.4e6,20.101,1.25,2,190.3e6,127.4e6,93.1e6,13300ms
1529689754.855577254,224,22.649,0.131,1448,1500,536,1448,372,155299486,107444,12079,107442,98.4e6,20.101,1.25,2,190.3e6,127.4e6,95.8e6,13312ms
1529689754.867275562,224,22.697,0.164,1448,1500,536,1448,372,155444286,107534,12091,107532,98.4e6,20.101,1.25,2,189.9e6,127.4e6,98.1e6,13324ms
1529689754.878730271,224,22.76,0.213,1448,1500,536,1448,372,155574606,107634,12101,107632,98.4e6,20.101,1.25,2,189.3e6,127.4e6,95.6e6,13336ms
1529689754.890495994,224,22.69,0.179,1448,1500,536,1448,372,155719406,107734,12112,107732,98.2e6,20.101,1.25,2,189.9e6,127.2e6,93.8e6,13348ms
1529689754.901956725,224,22.666,0.163,1448,1500,536,1448,372,155864206,107824,12123,107822,98.2e6,20.101,1.25,2,190.1e6,127.2e6,95.7e6,13360ms
1529689754.913260458,224,22.652,0.156,1448,1500,536,1448,372,155994526,107914,12133,107912,98.2e6,20.101,1.25,2,190.2e6,127.2e6,95.6e6,13372ms
1529689754.924953984,224,22.647,0.158,1448,1500,536,1448,372,156124846,108019,12143,108017,98.2e6,20.101,1.25,2,190.3e6,127.2e6,95.6e6,13380ms
1529689754.936549591,224,22.645,0.142,1448,1500,536,1448,372,156262406,108109,12154,108107,98.2e6,20.101,1.25,2,190.3e6,127.2e6,93.1e6,13392ms
1529689754.948321224,224,22.804,0.332,1448,1500,536,1448,372,156407206,108209,12165,108207,98.2e6,20.101,1.25,2,189.0e6,127.2e6,95.5e6,13404ms
1529689754.959953664,224,22.748,0.174,1448,1500,536,1448,372,156552006,108299,12176,108297,98.2e6,20.101,1.25,2,189.4e6,127.2e6,97.9e6,13416ms
1529689754.971741345,224,22.682,0.164,1448,1500,536,1448,372,156696806,108399,12187,108397,98.2e6,20.101,1.25,2,190.0e6,127.2e6,93.7e6,13428ms
1529689754.983957480,224,22.676,0.155,1448,1500,536,1448,372,156827126,108499,12197,108497,98.2e6,20.101,1.25,2,190.0e6,127.2e6,93.9e6,13440ms
1529689754.995894199,224,22.717,0.181,1448,1500,536,1448,374,156971926,108604,12208,108602,98.7e6,20.101,1.25,2,190.7e6,127.7e6,95.2e6,13452ms
1529689755.007568952,224,22.656,0.128,1448,1500,536,1448,374,157123966,108704,12220,108702,98.7e6,20.101,1.25,2,191.2e6,127.7e6,96.1e6,13464ms
1529689755.019309900,224,22.675,0.147,1448,1500,536,1448,374,157254286,108794,12231,108792,98.7e6,20.101,1.25,2,191.1e6,127.7e6,95.5e6,13476ms
1529689755.030792182,224,22.728,0.171,1448,1500,536,1448,374,157399086,108884,12242,108882,98.7e6,20.101,1.25,2,190.6e6,127.7e6,95.7e6,13488ms
1529689755.042368791,224,22.712,0.173,1448,1500,536,1448,374,157529406,108984,12252,108982,98.7e6,20.101,1.25,2,190.8e6,127.7e6,98.1e6,13500ms
1529689755.053799283,224,22.701,0.181,1448,1500,536,1448,374,157674206,109074,12264,109072,98.7e6,20.101,1.25,2,190.8e6,127.7e6,93.8e6,13512ms
1529689755.065277768,224,22.714,0.212,1448,1500,536,1448,374,157804526,109174,12275,109172,98.7e6,20.101,1.25,2,190.7e6,127.7e6,93.8e6,13524ms
1529689755.076642538,224,22.66,0.15,1448,1500,536,1448,374,157949326,109264,12286,109262,98.7e6,20.101,1.25,2,191.2e6,127.7e6,95.3e6,13532ms
1529689755.088205177,224,22.737,0.33,1448,1500,536,1448,374,158079646,109359,12296,109357,98.7e6,20.101,1.25,2,190.5e6,127.7e6,95.6e6,13544ms
1529689755.100073618,224,22.667,0.174,1448,1500,536,1448,374,158217206,109459,12307,109457,98.7e6,20.101,1.25,2,191.1e6,127.7e6,93.1e6,13556ms
1529689755.112066890,224,22.656,0.117,1448,1500,536,1448,374,158362006,109559,12318,109557,98.7e6,20.101,1.25,2,191.2e6,127.7e6,95.6e6,13568ms
1529689755.123843067,224,22.715,0.151,1448,1500,536,1448,374,158506806,109659,12329,109657,98.7e6,20.101,1.25,2,190.7e6,127.7e6,95.9e6,13580ms
1529689755.135306196,224,22.684,0.177,1448,1500,536,1448,374,158651606,109749,12340,109747,98.7e6,20.101,1.25,2,191.0e6,127.7e6,93.8e6,13592ms
1529689755.146843003,224,22.684,0.166,1448,1500,536,1448,374,158781926,109849,12350,109847,98.7e6,20.101,1.25,2,191.0e6,127.7e6,93.8e6,13604ms
1529689755.158231076,224,22.673,0.148,1448,1500,536,1448,374,158926726,109939,12361,109937,98.7e6,20.101,1.25,2,191.1e6,127.7e6,95.3e6,13616ms
1529689755.169984633,224,22.669,0.163,1448,1500,536,1448,374,159057046,110044,12371,110042,98.7e6,20.101,1.25,2,191.1e6,127.7e6,95.7e6,13628ms
1529689755.181388258,224,22.65,0.139,1448,1500,536,1448,374,159194606,110134,12382,110132,98.7e6,20.101,1.25,2,191.3e6,127.7e6,93.1e6,13640ms
1529689755.192832642,224,22.753,0.215,1448,1500,536,1448,374,159339406,110234,12393,110232,98.7e6,20.101,1.25,2,190.4e6,127.7e6,95.7e6,13648ms
