ts,backlog in bytes, backlog in packets
1529798304.215677275,594b,9p
1529798304.228283149,594b,9p
1529798304.240767888,594b,9p
1529798304.253377995,660b,10p
1529798304.265900091,594b,9p
1529798304.278520000,594b,9p
1529798304.291020758,660b,10p
1529798304.303666925,594b,9p
1529798304.316140716,726b,11p
1529798304.328648323,594b,9p
1529798304.341028724,594b,9p
1529798304.353589868,594b,9p
1529798304.366055556,594b,9p
1529798304.378710392,660b,10p
1529798304.391424360,528b,8p
1529798304.404052967,594b,9p
1529798304.416723319,660b,10p
1529798304.429282743,660b,10p
1529798304.441766230,594b,9p
1529798304.454283753,594b,9p
1529798304.466878529,660b,10p
1529798304.479423520,594b,9p
1529798304.491985611,594b,9p
1529798304.504380136,594b,9p
1529798304.516846537,528b,8p
1529798304.529411128,594b,9p
1529798304.542041360,726b,11p
1529798304.554448643,594b,9p
1529798304.567133932,594b,9p
1529798304.579610861,594b,9p
1529798304.592085543,594b,9p
1529798304.604554445,594b,9p
1529798304.616901023,594b,9p
1529798304.629373408,660b,10p
1529798304.641834382,594b,9p
1529798304.654278654,594b,9p
1529798304.667030433,594b,9p
1529798304.679617199,594b,9p
1529798304.692233920,726b,11p
1529798304.704730573,594b,9p
1529798304.717490808,660b,10p
1529798304.730334634,726b,11p
1529798304.742969167,594b,9p
1529798304.755595228,594b,9p
1529798304.768166682,594b,9p
1529798304.780621461,660b,10p
1529798304.792997000,594b,9p
1529798304.805646387,594b,9p
1529798304.818261307,594b,9p
1529798304.830901294,660b,10p
1529798304.843707733,594b,9p
1529798304.856104090,594b,9p
1529798304.868594340,594b,9p
1529798304.881222577,660b,10p
1529798304.893808762,660b,10p
1529798304.906478916,660b,10p
1529798304.918992997,594b,9p
1529798304.931586516,594b,9p
1529798304.944097692,660b,10p
1529798304.956523031,594b,9p
1529798304.969028135,594b,9p
1529798304.981585079,594b,9p
1529798304.994122065,594b,9p
1529798305.006711750,594b,9p
1529798305.019302022,660b,10p
1529798305.031825067,594b,9p
1529798305.044287530,660b,10p
1529798305.056822915,594b,9p
1529798305.069398745,660b,10p
1529798305.082022221,594b,9p
1529798305.094498342,528b,8p
1529798305.107020502,594b,9p
1529798305.119623217,660b,10p
1529798305.132113889,594b,9p
1529798305.144706732,594b,9p
1529798305.157318739,594b,9p
1529798305.169684180,594b,9p
1529798305.182269162,594b,9p
1529798305.194913236,660b,10p
1529798305.207669988,594b,9p
1529798305.220147599,594b,9p
1529798305.232751324,594b,9p
1529798305.245292902,660b,10p
1529798305.257852492,594b,9p
1529798305.270390445,594b,9p
1529798305.282884627,594b,9p
1529798305.295506599,660b,10p
1529798305.308027843,660b,10p
1529798305.320668573,594b,9p
1529798305.333241687,594b,9p
1529798305.345673683,594b,9p
1529798305.358233546,660b,10p
1529798305.370832511,594b,9p
1529798305.383395026,528b,8p
1529798305.395889659,594b,9p
1529798305.408278498,594b,9p
1529798305.420835109,594b,9p
1529798305.433461321,660b,10p
1529798305.446117473,594b,9p
1529798305.458821900,660b,10p
1529798305.471495222,660b,10p
1529798305.483950386,594b,9p
1529798305.496468954,594b,9p
1529798305.508902054,528b,8p
1529798305.521421863,594b,9p
1529798305.533969807,660b,10p
1529798305.546411417,594b,9p
1529798305.559003540,594b,9p
1529798305.571659917,594b,9p
1529798305.584158937,660b,10p
1529798305.596673854,594b,9p
1529798305.609245120,660b,10p
1529798305.621792768,594b,9p
1529798305.634244973,594b,9p
1529798305.646938878,594b,9p
1529798305.659594936,594b,9p
1529798305.672165784,660b,10p
1529798305.684610708,594b,9p
1529798305.697188874,594b,9p
1529798305.709754991,594b,9p
1529798305.722380951,660b,10p
1529798305.735009758,594b,9p
1529798305.747499873,594b,9p
1529798305.760021910,594b,9p
1529798305.772412627,660b,10p
1529798305.784809879,768b,12p
1529798305.797279010,660b,10p
1529798305.809873827,594b,9p
1529798305.822605109,594b,9p
1529798305.835181650,594b,9p
1529798305.847701599,660b,10p
1529798305.860244716,660b,10p
1529798305.872810496,594b,9p
1529798305.885268413,594b,9p
1529798305.897913674,660b,10p
1529798305.910393031,594b,9p
1529798305.923022062,528b,8p
1529798305.935708236,594b,9p
1529798305.948338361,660b,10p
1529798305.960861258,594b,9p
1529798305.973446016,660b,10p
1529798305.986136851,660b,10p
1529798305.998847226,594b,9p
1529798306.011445167,594b,9p
1529798306.023889665,594b,9p
1529798306.036361609,594b,9p
1529798306.048876770,660b,10p
1529798306.061373080,660b,10p
1529798306.074002192,594b,9p
1529798306.086506879,528b,8p
1529798306.099049334,594b,9p
1529798306.111624819,660b,10p
1529798306.124130872,594b,9p
1529798306.136654194,660b,10p
1529798306.149055143,594b,9p
1529798306.161740945,660b,10p
1529798306.174345270,594b,9p
1529798306.187002279,594b,9p
1529798306.199656052,594b,9p
1529798306.212121589,594b,9p
1529798306.224609189,594b,9p
1529798306.237128468,660b,10p
1529798306.249590726,594b,9p
1529798306.262269400,594b,9p
1529798306.274788489,594b,9p
1529798306.287403434,660b,10p
1529798306.300164183,726b,11p
1529798306.312717106,594b,9p
1529798306.325284739,594b,9p
1529798306.337974725,594b,9p
1529798306.350505748,594b,9p
1529798306.363078902,726b,11p
1529798306.375696550,594b,9p
1529798306.388277500,660b,10p
1529798306.400861134,594b,9p
1529798306.413468791,528b,8p
1529798306.426120946,594b,9p
1529798306.438755521,660b,10p
1529798306.451227623,594b,9p
1529798306.463775101,594b,9p
1529798306.476192915,594b,9p
1529798306.488686365,594b,9p
1529798306.501331961,594b,9p
1529798306.513800633,660b,10p
1529798306.526456769,594b,9p
1529798306.539005752,528b,8p
1529798306.551568492,660b,10p
1529798306.582546659,528b,8p
1529798306.595006300,660b,10p
1529798306.607574414,660b,10p
1529798306.620030822,594b,9p
1529798306.632645170,594b,9p
1529798306.645271553,594b,9p
1529798306.657725478,660b,10p
1529798306.670327490,594b,9p
1529798306.682978454,594b,9p
1529798306.695730376,594b,9p
1529798306.708198925,594b,9p
1529798306.720693337,594b,9p
1529798306.733334525,594b,9p
1529798306.745929456,594b,9p
1529798306.758624003,594b,9p
1529798306.771429925,660b,10p
1529798306.784070538,594b,9p
1529798306.796500437,594b,9p
1529798306.809219395,660b,10p
1529798306.821857260,594b,9p
1529798306.834335106,594b,9p
1529798306.846852771,594b,9p
1529798306.859577638,660b,10p
1529798306.872276247,726b,11p
1529798306.884783656,594b,9p
1529798306.897323540,594b,9p
1529798306.909927329,660b,10p
1529798306.922678577,660b,10p
1529798306.935397487,594b,9p
1529798306.947988249,594b,9p
1529798306.960508358,594b,9p
1529798306.972943473,726b,11p
1529798306.985581813,594b,9p
1529798306.998193540,594b,9p
1529798307.010922302,660b,10p
1529798307.023538131,594b,9p
1529798307.036113089,594b,9p
1529798307.048584896,594b,9p
1529798307.061075407,594b,9p
1529798307.073660559,594b,9p
1529798307.086189747,660b,10p
1529798307.098856735,594b,9p
1529798307.111499966,594b,9p
1529798307.124076503,594b,9p
1529798307.136683489,594b,9p
1529798307.149281592,528b,8p
1529798307.161864340,594b,9p
1529798307.174523396,726b,11p
1529798307.187221041,594b,9p
1529798307.199831020,594b,9p
1529798307.212208463,594b,9p
1529798307.224888098,594b,9p
1529798307.237763069,594b,9p
1529798307.250341155,660b,10p
1529798307.262883611,660b,10p
1529798307.275667463,660b,10p
1529798307.288127948,660b,10p
1529798307.300682842,594b,9p
1529798307.313278872,594b,9p
1529798307.325789425,660b,10p
1529798307.338424812,594b,9p
1529798307.350998026,528b,8p
1529798307.363589323,594b,9p
1529798307.376038708,594b,9p
1529798307.388470628,594b,9p
1529798307.400864973,660b,10p
1529798307.413353737,726b,11p
1529798307.425812670,594b,9p
1529798307.438565709,594b,9p
1529798307.451238970,660b,10p
1529798307.463766727,594b,9p
1529798307.476286072,594b,9p
1529798307.488828252,594b,9p
1529798307.501462091,660b,10p
1529798307.513919414,660b,10p
1529798307.526564005,594b,9p
1529798307.538994870,594b,9p
1529798307.551444998,594b,9p
1529798307.563863402,594b,9p
1529798307.576204523,594b,9p
1529798307.588717330,726b,11p
1529798307.601102808,594b,9p
1529798307.613495078,594b,9p
1529798307.626067705,594b,9p
1529798307.638524603,594b,9p
1529798307.651090161,594b,9p
1529798307.663660601,594b,9p
1529798307.676220309,660b,10p
1529798307.688609464,594b,9p
1529798307.701098672,594b,9p
1529798307.713725460,594b,9p
1529798307.726258669,660b,10p
