ts, Backlog in Bytes, Backlog in packets
1531202582.582869730,0,0
1531202582.688432064,0,0
1531202582.793654766,0,0
1531202582.898807167,0,0
1531202583.003941128,0,0
1531202583.109131078,0,0
1531202583.214236476,0,0
1531202583.319328842,0,0
1531202583.424451031,0,0
1531202583.529575237,0,0
1531202583.634689155,0,0
1531202583.739820233,0,0
1531202583.844970102,0,0
1531202583.950037932,0,0
1531202584.055181526,0,0
1531202584.160317270,0,0
1531202584.265455145,0,0
1531202584.370576049,0,0
1531202584.475692156,0,0
1531202584.580868164,0,0
1531202584.685918599,0,0
1531202584.791079714,0,0
1531202584.896202726,0,0
1531202585.001358906,0,0
1531202585.106497835,0,0
1531202585.211595544,0,0
1531202585.316744286,0,0
1531202585.421841571,67,1
1531202585.526939143,0,0
1531202585.632064526,414,5
1531202585.737234126,242,3
1531202585.842349287,144,2
1531202585.947505137,144,2
1531202586.052678365,394,5
1531202586.157780480,406,5
1531202586.262910888,0,0
1531202586.368040902,210,3
1531202586.473214168,144,2
1531202586.578346692,406,5
1531202586.683480909,242,3
1531202586.788661188,210,3
1531202586.893778637,242,3
1531202586.998875875,276,4
1531202587.104014671,210,3
1531202587.209205401,66,1
1531202587.314310224,156,2
1531202587.419464033,222,3
1531202587.524642197,144,2
1531202587.629781200,132,2
1531202587.734883881,0,0
1531202587.840023759,132,2
1531202587.945186151,132,2
1531202588.050306996,264,4
1531202588.155434427,198,3
1531202588.260598737,132,2
1531202588.365652350,78,1
1531202588.470768477,66,1
1531202588.575880611,300,4
1531202588.681015879,234,3
1531202588.786121337,66,1
1531202588.891219133,264,4
1531202588.996354897,78,1
1531202589.101488215,66,1
1531202589.206619877,78,1
1531202589.311750226,66,1
1531202589.416925997,144,2
1531202589.521980673,230,3
1531202589.627110226,210,3
1531202589.732254120,66,1
1531202589.837363160,276,4
1531202589.942486300,132,2
1531202590.047605972,66,1
1531202590.152757652,374,5
1531202590.257857015,264,4
1531202590.363026147,78,1
1531202590.468198636,222,3
1531202590.573341726,66,1
1531202590.678427312,66,1
1531202590.783536242,66,1
1531202590.888704102,132,2
1531202590.993785832,198,3
1531202591.098920133,288,4
1531202591.204050164,78,1
1531202591.309202257,0,0
1531202591.414313569,210,3
1531202591.519442695,132,2
1531202591.624546238,210,3
1531202591.729681097,132,2
1531202591.834784971,0,0
1531202591.939885043,78,1
1531202592.045051214,144,2
1531202592.150181583,132,2
1531202592.255304359,66,1
1531202592.360426358,132,2
1531202592.465548226,66,1
1531202592.570691543,144,2
1531202592.675802991,66,1
1531202592.780950000,230,3
1531202592.886066348,152,2
1531202592.991255679,66,1
1531202593.096380910,66,1
1531202593.201517273,144,2
1531202593.306627633,132,2
1531202593.411745732,0,0
1531202593.516890819,132,2
1531202593.621967778,78,1
1531202593.727114492,210,3
1531202593.832249495,222,3
1531202593.937366431,0,0
1531202594.042455425,210,3
1531202594.147598532,0,0
1531202594.252741905,198,3
1531202594.357825189,210,3
1531202594.462929318,144,2
1531202594.568048335,300,4
1531202594.673174530,78,1
1531202594.778313391,132,2
1531202594.883428974,78,1
1531202594.988602333,276,4
1531202595.093706578,66,1
1531202595.198810259,210,3
1531202595.303936019,234,4
1531202595.409099340,0,0
1531202595.514223362,316,4
1531202595.619364997,210,3
1531202595.724488870,132,2
1531202595.829615946,132,2
1531202595.934710418,198,3
1531202596.039834925,198,3
1531202596.145003119,144,2
1531202596.250079156,210,3
1531202596.355202430,132,2
1531202596.460321564,144,2
1531202596.565452390,144,2
1531202596.670548154,222,3
1531202596.775706999,66,1
1531202596.880866067,198,3
1531202596.985956478,222,3
1531202597.091200251,164,2
1531202597.196356053,144,2
1531202597.301471405,234,3
1531202597.406610071,234,3
1531202597.511761295,0,0
1531202597.616913546,156,2
1531202597.722004229,144,2
1531202597.827228410,366,5
1531202597.932383341,210,3
1531202598.037523096,66,1
1531202598.142644468,234,3
1531202598.247797917,210,3
1531202598.352939559,0,0
1531202598.458039864,132,2
1531202598.563179489,144,2
1531202598.668327733,210,3
1531202598.773459201,66,1
1531202598.878604706,156,2
1531202598.983695983,210,3
1531202599.088876543,164,2
1531202599.193940103,132,2
1531202599.299085581,164,2
1531202599.404203239,222,3
1531202599.509443542,132,2
1531202599.614575214,144,2
1531202599.719726836,132,2
1531202599.824917083,132,2
1531202599.930049964,222,3
1531202600.035259858,78,1
1531202600.140399859,66,1
1531202600.245513297,144,2
1531202600.350654528,230,3
1531202600.455795915,132,2
1531202600.560974266,164,2
1531202600.666124089,222,3
1531202600.771317018,144,2
1531202600.876461603,288,4
1531202600.981603269,156,2
1531202601.086755984,242,3
1531202601.191877388,66,1
1531202601.297006282,222,3
1531202601.402103751,132,2
1531202601.507234062,66,1
1531202601.612378287,66,1
1531202601.717512420,222,3
1531202601.822657472,132,2
1531202601.927791150,222,3
1531202602.032929743,132,2
1531202602.138004549,234,3
1531202602.243158414,66,1
1531202602.348302162,144,2
1531202602.453457881,0,0
1531202602.558606647,66,1
1531202602.663766416,132,2
1531202602.768926199,210,3
1531202602.874012605,132,2
1531202602.979167325,230,3
1531202603.084316215,210,3
1531202603.189482176,144,2
1531202603.294625419,0,0
1531202603.399782424,0,0
1531202603.504948172,276,4
1531202603.610036666,78,1
1531202603.715213557,0,0
