ts, Backlog in Bytes, Backlog in packets
1531201408.370481976,0,0
1531201408.476292475,0,0
1531201408.581531612,0,0
1531201408.686727923,0,0
1531201408.791958168,0,0
1531201408.897189616,0,0
1531201409.002279485,0,0
1531201409.107404388,0,0
1531201409.212553608,0,0
1531201409.317675784,0,0
1531201409.422802450,0,0
1531201409.527965387,0,0
1531201409.633121067,0,0
1531201409.738240017,0,0
1531201409.843361058,0,0
1531201409.948476807,0,0
1531201410.053627293,0,0
1531201410.158748016,0,0
1531201410.263867673,0,0
1531201410.369021942,0,0
1531201410.474172158,0,0
1531201410.579303391,0,0
1531201410.684431902,0,0
1531201410.789539926,0,0
1531201410.894662465,0,0
1531201410.999806730,0,0
1531201411.104964498,0,0
1531201411.210073287,0,0
1531201411.315184977,0,0
1531201411.420293456,274,3
1531201411.525465475,532,6
1531201411.630624232,2342,25
1531201411.735790376,6016,64
1531201411.840976111,4590,49
1531201411.946072340,952,12
1531201412.051231275,368,4
1531201412.156362528,492,6
1531201412.261492095,132,2
1531201412.366621415,78,1
1531201412.471756941,132,2
1531201412.576908461,152,2
1531201412.681980844,144,2
1531201412.787160230,78,1
1531201412.892297465,210,3
1531201412.997472488,144,2
1531201413.102600400,144,2
1531201413.207723618,144,2
1531201413.312890808,132,2
1531201413.417938746,66,1
1531201413.523090050,222,3
1531201413.628227665,0,0
1531201413.733368388,210,3
1531201413.838481454,288,4
1531201413.943606653,210,3
1531201414.048755984,354,5
1531201414.153910561,66,1
1531201414.259054295,210,3
1531201414.364182314,144,2
1531201414.469295868,0,0
1531201414.574415942,222,3
1531201414.679578244,132,2
1531201414.784757724,144,2
1531201414.889852767,66,1
1531201414.994976499,156,2
1531201415.100114032,296,4
1531201415.205246989,144,2
1531201415.310359347,222,3
1531201415.415500044,222,3
1531201415.520640927,210,3
1531201415.625739562,78,1
1531201415.730818273,132,2
1531201415.835942870,144,2
1531201415.941107929,78,1
1531201416.046235915,288,4
1531201416.151363473,378,5
1531201416.256513636,0,0
1531201416.361618420,132,2
1531201416.466755494,0,0
1531201416.571871087,288,4
1531201416.677021132,132,2
1531201416.782127670,66,1
1531201416.887327857,156,2
1531201416.992447997,0,0
1531201417.097532517,66,1
1531201417.202638396,210,3
1531201417.307772534,222,3
1531201417.412947681,144,2
1531201417.518051047,66,1
1531201417.623153134,288,4
1531201417.728287121,132,2
1531201417.833438958,66,1
1531201417.938562797,144,2
1531201418.043690844,144,2
1531201418.148858989,78,1
1531201418.253900533,66,1
1531201418.359037995,66,1
1531201418.464173844,276,4
1531201418.569312915,210,3
1531201418.674423165,144,2
1531201418.779548832,300,4
