ts,in_queue(size), in_queue(number)
1530220411.078465601,462,7
1530220411.091103560,330,5
1530220411.103712264,396,6
1530220411.116183061,462,7
1530220411.128697261,330,5
1530220411.141306401,462,7
1530220411.153760781,330,5
1530220411.166450830,396,6
1530220411.179171464,396,6
1530220411.191754876,396,6
1530220411.204075034,330,5
1530220411.216601020,396,6
1530220411.229051857,396,6
1530220411.241495155,396,6
1530220411.253922737,396,6
1530220411.266428828,330,5
1530220411.278975855,330,5
1530220411.291573768,396,6
1530220411.303994522,330,5
1530220411.316471192,396,6
1530220411.328850741,330,5
1530220411.341238133,330,5
1530220411.353674811,330,5
1530220411.366188370,396,6
1530220411.378639752,330,5
1530220411.391148040,396,6
1530220411.403767841,396,6
1530220411.416348009,330,5
1530220411.428719868,330,5
1530220411.441139157,330,5
1530220411.453635054,330,5
1530220411.466275312,330,5
1530220411.478971446,396,6
1530220411.491435624,330,5
1530220411.503930110,396,6
1530220411.516410109,330,5
1530220411.528852569,396,6
1530220411.541283080,264,4
1530220411.553795223,330,5
1530220411.566399891,396,6
1530220411.578911991,330,5
1530220411.591530264,396,6
1530220411.604048556,330,5
1530220411.616653269,396,6
1530220411.629223144,396,6
1530220411.641904154,396,6
1530220411.654379665,396,6
1530220411.666991259,330,5
1530220411.679548188,396,6
1530220411.691929890,396,6
1530220411.704512517,396,6
1530220411.717035699,396,6
1530220411.729648081,330,5
1530220411.742214628,396,6
1530220411.754737698,396,6
1530220411.767264378,396,6
1530220411.779791836,396,6
1530220411.792498623,264,4
1530220411.805044375,396,6
1530220411.817499580,396,6
1530220411.830015714,396,6
1530220411.842574728,396,6
1530220411.855107099,396,6
1530220411.867723230,264,4
1530220411.880184040,396,6
1530220411.892720702,264,4
1530220411.905330925,330,5
1530220411.917855150,330,5
1530220411.930599992,330,5
1530220411.943231848,396,6
1530220411.955922714,396,6
1530220411.968649809,396,6
1530220411.981257441,330,5
1530220411.994005648,330,5
1530220412.006825958,396,6
1530220412.019459759,396,6
1530220412.032019649,396,6
1530220412.044540140,396,6
1530220412.057045851,396,6
1530220412.069766140,330,5
1530220412.082421913,330,5
1530220412.095145431,396,6
1530220412.107714546,264,4
1530220412.120380334,396,6
1530220412.132893956,264,4
1530220412.145481337,330,5
1530220412.158163745,396,6
1530220412.170779362,264,4
1530220412.183518920,396,6
1530220412.195935517,330,5
1530220412.208339956,396,6
1530220412.220921677,330,5
1530220412.233546701,396,6
1530220412.246281487,396,6
1530220412.258790392,264,4
1530220412.271522624,330,5
1530220412.284034784,330,5
1530220412.296483293,396,6
1530220412.309089412,396,6
1530220412.321616116,330,5
1530220412.334135639,396,6
1530220412.346805100,264,4
1530220412.359423574,396,6
1530220412.371850435,330,5
1530220412.384383032,330,5
1530220412.396872505,396,6
1530220412.409554540,396,6
1530220412.422286664,330,5
1530220412.434928727,330,5
1530220412.447710395,330,5
1530220412.460178060,330,5
1530220412.472815105,396,6
1530220412.485372066,330,5
1530220412.497961412,330,5
1530220412.510688349,330,5
1530220412.523484969,330,5
1530220412.535912483,396,6
1530220412.548428847,396,6
1530220412.560947797,396,6
1530220412.573778986,396,6
1530220412.586415772,264,4
1530220412.599028308,396,6
1530220412.611682624,396,6
1530220412.624327900,330,5
1530220412.637127094,396,6
1530220412.649768451,264,4
