ts, Backlog in Bytes, Backlog in packets
1531194048.473262227,0,0
1531194048.578986263,0,0
1531194048.684168396,0,0
1531194048.789364941,0,0
1531194048.894578884,0,0
1531194048.999769428,0,0
1531194049.105017039,0,0
1531194049.210230024,0,0
1531194049.315390446,0,0
1531194049.420557265,0,0
1531194049.525771666,0,0
1531194049.630944690,0,0
1531194049.736140854,0,0
1531194049.841310519,0,0
1531194049.946474548,0,0
1531194050.051621647,0,0
1531194050.156796936,0,0
1531194050.261891013,0,0
1531194050.367059696,0,0
1531194050.472235204,0,0
1531194050.577359064,0,0
1531194050.682507235,0,0
1531194050.787675986,66,1
1531194050.892883075,682,9
1531194050.998062017,4606,49
1531194051.103286065,3166,35
1531194051.208486209,818,11
1531194051.313709272,600,8
1531194051.418867391,722,9
1531194051.524029028,944,12
1531194051.629235721,828,10
1531194051.734381410,480,6
1531194051.839557574,1070,13
1531194051.944766373,738,9
1531194052.049866397,796,10
1531194052.155040168,914,11
1531194052.260211181,922,11
1531194052.365366817,620,8
1531194052.470534234,768,10
1531194052.575681390,796,10
1531194052.680914329,594,7
1531194052.786047141,702,9
1531194052.891210205,808,10
1531194052.996386120,702,9
1531194053.101546941,824,10
1531194053.206714761,1156,14
1531194053.311874379,812,10
1531194053.417042082,970,11
1531194053.522208745,1018,13
1531194053.627365784,938,11
1531194053.732519400,820,10
1531194053.837661844,944,12
1531194053.942768101,788,10
1531194054.047919216,654,9
1531194054.153111141,660,8
1531194054.258236030,924,12
1531194054.363366348,722,9
1531194054.468562521,882,11
1531194054.573753209,796,10
1531194054.678914832,758,9
1531194054.784056885,648,8
1531194054.889269101,1042,13
1531194054.994409821,738,9
1531194055.099572160,772,10
1531194055.204780009,780,10
1531194055.309931635,706,9
1531194055.415057596,584,8
1531194055.520225271,588,8
1531194055.625431546,804,10
1531194055.730577684,714,9
1531194055.835720715,630,9
1531194055.940919291,754,9
1531194056.046040554,828,10
1531194056.151201045,726,9
1531194056.256375744,686,9
1531194056.361521625,722,9
1531194056.466665254,686,9
1531194056.571848140,732,10
1531194056.677009760,558,7
1531194056.782112742,648,8
1531194056.887282893,860,10
1531194056.992412376,804,10
1531194057.097550249,608,8
1531194057.202689266,800,10
1531194057.307844065,722,9
1531194057.413020084,812,10
1531194057.518164670,714,9
1531194057.623296763,710,9
1531194057.728493835,772,10
1531194057.833642468,764,10
1531194057.938792075,742,10
1531194058.043948026,860,10
1531194058.149125083,518,7
1531194058.254287592,674,9
1531194058.359448597,648,8
1531194058.464630759,884,10
1531194058.569792700,790,9
1531194058.674952626,682,9
1531194058.780118029,680,8
1531194058.885301155,670,9
1531194058.990457850,662,9
1531194059.095616479,886,11
1531194059.200780993,648,8
1531194059.305921295,742,9
1531194059.411071478,738,9
1531194059.516231000,908,12
1531194059.621435153,690,9
1531194059.726579650,624,8
1531194059.831762921,566,7
1531194059.936934486,852,10
1531194060.042066892,868,10
1531194060.147201878,632,8
1531194060.252382950,750,9
1531194060.357602293,764,10
1531194060.462746549,886,11
1531194060.567922598,792,10
1531194060.673102957,866,11
1531194060.778255044,960,12
1531194060.883375956,1090,13
1531194060.988560465,852,10
1531194061.093709047,882,11
1531194061.198861298,1088,12
1531194061.304024864,770,9
1531194061.409210472,730,9
1531194061.514353358,686,9
1531194061.619496452,704,8
1531194061.724710869,550,7
1531194061.829822445,538,7
1531194061.934974663,144,2
1531194062.040135863,132,2
1531194062.145317197,730,9
1531194062.250471571,742,9
1531194062.355642385,1K,12
1531194062.460858946,906,11
1531194062.565984387,608,8
1531194062.671140238,702,9
1531194062.776312915,642,9
1531194062.881494070,730,9
1531194062.986649854,722,9
1531194063.091874399,538,7
1531194063.197033317,826,11
1531194063.302214471,728,10
1531194063.407377984,1048,12
1531194063.512554019,818,11
1531194063.617699270,632,8
1531194063.722850605,672,8
1531194063.828045303,594,7
1531194063.933244686,858,11
1531194064.038432650,836,10
1531194064.143593491,682,9
1531194064.248798259,852,12
1531194064.353941142,666,9
1531194064.459097449,604,8
1531194064.564273210,620,8
1531194064.669447962,628,8
1531194064.774611571,676,8
1531194064.879787178,718,9
1531194064.985016669,824,10
1531194065.090164452,714,9
1531194065.195326534,648,8
1531194065.300498605,810,11
1531194065.405628017,674,9
1531194065.510777571,946,11
1531194065.615952023,648,8
1531194065.721163591,694,9
1531194065.826328143,608,8
1531194065.931478731,666,9
1531194066.036661240,808,10
1531194066.141780319,694,9
1531194066.246953805,788,10
1531194066.352134137,522,7
1531194066.457324423,730,9
1531194066.562503529,898,11
1531194066.667665303,878,11
1531194066.772897856,854,11
1531194066.878046314,558,7
1531194066.983205779,714,9
1531194067.088362460,886,11
1531194067.193532104,942,11
1531194067.298739218,1176,14
1531194067.403913220,1196,14
1531194067.509141259,1152,13
1531194067.614322935,960,12
1531194067.719483870,796,10
1531194067.824694640,464,6
1531194067.929905625,616,8
1531194068.035062530,916,12
1531194068.140234074,782,9
1531194068.245409852,742,9
1531194068.350585697,550,7
1531194068.455750208,730,9
1531194068.560976481,780,10
1531194068.666134991,718,9
1531194068.771338540,970,11
1531194068.876498983,776,10
1531194068.981723536,758,9
1531194069.086846006,800,10
1531194069.191976906,746,9
1531194069.297122604,550,7
1531194069.402242233,772,10
1531194069.507372949,930,11
1531194069.612493929,918,11
1531194069.717610406,858,11
1531194069.822792968,1106,13
1531194069.927886291,954,11
1531194070.033032056,840,10
1531194070.138192073,746,9
1531194070.243317657,902,11
1531194070.348633479,858,11
1531194070.453715215,1116,14
1531194070.558850956,820,10
1531194070.664048861,730,9
1531194070.769277878,740,10
1531194070.874443622,744,10
1531194070.979557219,722,9
1531194071.084788238,824,10
1531194071.189936779,648,8
1531194071.295033102,740,10
1531194071.400167006,718,9
1531194071.505435257,894,11
1531194071.610545571,768,10
1531194071.715788455,686,9
1531194071.820943204,812,10
1531194071.926091573,656,8
1531194072.031160439,968,12
1531194072.136359867,132,2
1531194072.241481339,66,1
1531194072.346584192,354,5
1531194072.451763425,1058,13
1531194072.556940516,866,11
1531194072.662043354,730,9
1531194072.767181020,968,12
1531194072.872346355,600,8
1531194072.977485414,656,8
1531194073.082635152,542,7
1531194073.187822452,608,8
1531194073.293022664,698,9
1531194073.398158352,834,11
1531194073.503301942,894,11
1531194073.608527276,1302,15
1531194073.713978720,1008,12
1531194073.819263890,994,13
1531194073.924468591,1K,12
1531194074.029671387,922,11
1531194074.134922139,734,9
1531194074.240166778,882,11
1531194074.345345584,624,8
1531194074.450611783,1102,13
1531194074.555786479,906,11
1531194074.661046925,804,10
1531194074.766225589,796,10
1531194074.871417453,644,8
1531194074.976696561,828,10
1531194075.081928938,858,11
1531194075.187066141,694,9
1531194075.292314744,766,9
1531194075.397511583,694,9
1531194075.502687645,866,11
1531194075.607921871,722,9
1531194075.713141608,834,11
1531194075.818329081,746,9
1531194075.923595879,964,12
1531194076.028807842,800,10
1531194076.133977702,632,8
1531194076.239168301,792,10
1531194076.344377335,616,8
1531194076.449593384,792,10
1531194076.554775216,1048,12
1531194076.659969786,1068,12
1531194076.765241122,1180,14
1531194076.870478175,1150,13
1531194076.975699389,1K,13
1531194077.080897882,722,9
1531194077.186046619,1088,14
1531194077.291185738,1098,13
1531194077.396379680,1012,12
1531194077.501558295,1088,12
1531194077.606738808,808,10
1531194077.711926725,852,10
1531194077.817171768,838,11
1531194077.922340172,820,10
1531194078.027517190,636,8
1531194078.132734853,718,9
1531194078.237950341,702,9
1531194078.343090149,682,9
1531194078.448348145,576,8
1531194078.553488695,644,8
1531194078.658731040,828,10
1531194078.763921855,720,10
1531194078.869117540,612,8
1531194078.974308252,800,10
1531194079.079513408,686,9
1531194079.184752733,788,10
1531194079.289918620,734,9
1531194079.395092557,798,9
1531194079.500298141,558,7
1531194079.605493934,846,11
1531194079.710679516,792,10
1531194079.815947016,644,8
1531194079.921195082,908,12
1531194080.026373209,620,8
1531194080.131562499,648,8
1531194080.236748775,488,6
1531194080.342040978,1174,13
1531194080.447188331,1176,14
1531194080.552524406,1066,13
1531194080.657696182,866,11
1531194080.762874625,902,11
1531194080.868061727,768,10
1531194080.973282493,878,11
1531194081.078450860,796,10
1531194081.183734830,752,10
1531194081.289085113,968,12
1531194081.394283349,770,9
1531194081.499464372,740,10
1531194081.604727592,730,9
1531194081.709896070,694,9
1531194081.815014532,678,9
1531194081.920220160,672,8
1531194082.025416899,696,8
1531194082.130585656,744,10
1531194082.235789568,828,10
1531194082.341022882,816,10
1531194082.446216090,66,1
1531194082.551391725,132,2
1531194082.656631663,842,11
1531194082.761825745,720,10
1531194082.866968794,706,9
1531194082.972229614,750,10
1531194083.077420198,656,8
1531194083.182559812,616,8
1531194083.287824849,620,8
1531194083.393030399,1014,13
1531194083.498262979,640,8
1531194083.603436384,714,9
1531194083.708706003,640,8
1531194083.813844464,738,9
1531194083.919080441,836,10
1531194084.024288657,602,7
1531194084.129466941,758,9
1531194084.234618113,662,9
1531194084.339837023,828,10
1531194084.445003685,652,8
1531194084.550239163,826,11
1531194084.655414284,766,9
1531194084.760660598,694,9
1531194084.865829413,792,10
1531194084.971046103,702,9
1531194085.076341453,918,11
1531194085.181509709,706,9
1531194085.286666201,740,10
1531194085.391837120,616,8
1531194085.497061619,662,9
1531194085.602278342,870,11
1531194085.707471800,714,9
1531194085.812712548,1K,13
1531194085.917881431,706,9
1531194086.023014656,616,8
1531194086.128195636,824,10
1531194086.233401981,1334,17
1531194086.338579804,788,10
1531194086.443798345,808,10
1531194086.549004703,788,10
1531194086.654180506,738,9
1531194086.759435426,788,10
1531194086.864657767,940,12
1531194086.969788990,686,9
1531194087.074947650,616,8
1531194087.180151576,656,8
1531194087.285338093,984,12
1531194087.390506780,728,10
1531194087.495697791,714,9
1531194087.600933160,558,7
1531194087.706099498,804,10
1531194087.811243848,804,10
1531194087.916516496,972,12
1531194088.021723579,992,12
1531194088.126883275,706,9
1531194088.232021539,558,7
1531194088.337233751,538,7
1531194088.442416757,756,10
1531194088.547651590,908,12
1531194088.652865113,714,9
1531194088.758070797,862,11
1531194088.863318573,530,7
1531194088.968519863,788,10
1531194089.073680227,694,9
1531194089.178856205,758,9
1531194089.284019519,768,10
1531194089.389239414,832,10
1531194089.494397228,706,9
1531194089.599683727,848,10
1531194089.704964659,1K,12
1531194089.810070822,1124,14
1531194089.915267547,796,10
1531194090.020496842,644,8
1531194090.125613169,792,10
1531194090.230812073,686,9
1531194090.336014188,860,10
1531194090.441244164,722,9
1531194090.546423673,632,8
1531194090.651618577,746,9
1531194090.756860770,780,10
1531194090.862142126,886,11
1531194090.967315318,672,8
1531194091.072502574,750,9
1531194091.177680996,596,8
1531194091.282841600,690,9
1531194091.388045383,742,9
1531194091.493299490,956,12
1531194091.598478967,860,10
1531194091.703713129,784,10
1531194091.808955642,780,10
1531194091.914174858,862,11
1531194092.019356213,884,12
1531194092.124561218,916,12
1531194092.229789583,848,10
1531194092.334990555,922,11
1531194092.440204752,624,8
1531194092.545425468,754,9
1531194092.650656716,156,2
1531194092.755859881,144,2
1531194092.861106397,1132,14
1531194092.966283699,1050,13
1531194093.071454031,836,10
1531194093.176747884,498,7
1531194093.281964908,616,8
1531194093.387146594,660,8
1531194093.492364547,632,8
1531194093.597540930,1016,12
1531194093.702741608,784,10
1531194093.808022076,686,9
1531194093.913242836,838,11
1531194094.018456503,766,9
1531194094.123643818,530,7
1531194094.228914653,648,10
1531194094.334122504,702,9
1531194094.439321563,1282,15
1531194094.544504892,800,10
1531194094.649671715,628,8
1531194094.754814540,616,8
1531194094.860029628,596,8
1531194094.965225307,754,9
1531194095.070430730,908,12
1531194095.175646057,616,8
1531194095.280907846,698,9
1531194095.386085288,824,10
1531194095.491286097,858,11
1531194095.596520704,894,11
1531194095.701789190,588,8
1531194095.806932537,822,11
1531194095.912154136,784,10
1531194096.017360193,530,7
1531194096.122582779,844,10
1531194096.227751406,1156,14
1531194096.332983922,1010,13
1531194096.438196372,1058,13
1531194096.543433579,1070,13
1531194096.648655360,570,7
1531194096.753836371,538,7
1531194096.858987663,792,10
1531194096.964285169,734,9
1531194097.069525239,674,9
1531194097.174769209,910,11
1531194097.279977895,804,10
