ts, Backlog in Bytes, Backlog in packets
1531235501.338151693,0,0
1531235501.443731799,0,0
1531235501.549044280,0,0
1531235501.654249305,0,0
1531235501.759430749,0,0
1531235501.864636788,0,0
1531235501.969838713,0,0
1531235502.075031455,0,0
1531235502.180172385,0,0
1531235502.285334410,0,0
1531235502.390454719,0,0
1531235502.495641656,0,0
1531235502.600838933,0,0
1531235502.705978043,0,0
1531235502.811113668,0,0
1531235502.916352285,0,0
1531235503.021485250,0,0
1531235503.126640786,0,0
1531235503.231796198,0,0
1531235503.336941245,0,0
1531235503.442041984,0,0
1531235503.547193157,0,0
1531235503.652319137,0,0
1531235503.757481678,0,0
1531235503.862604358,0,0
1531235503.967746838,0,0
1531235504.072943023,0,0
1531235504.178070860,0,0
1531235504.283193888,0,0
1531235504.388339726,0,0
1531235504.493503271,0,0
1531235504.598628629,0,0
1531235504.703830962,0,0
1531235504.809011343,0,0
1531235504.914088483,0,0
1531235505.019218731,0,0
1531235505.124342112,0,0
1531235505.229471235,0,0
1531235505.334600974,0,0
1531235505.439741343,0,0
1531235505.544925315,0,0
1531235505.650046841,0,0
1531235505.755159043,0,0
1531235505.860317036,0,0
1531235505.965447837,0,0
1531235506.070559702,0,0
1531235506.175693373,0,0
1531235506.280879392,74,1
1531235506.385998509,0,0
1531235506.491191395,132,2
1531235506.596308253,554,7
1531235506.701449875,78,1
1531235506.806604408,610,7
1531235506.911758332,0,0
1531235507.016934650,242,3
1531235507.122049728,210,3
1531235507.227180320,144,2
1531235507.332398531,336,4
1531235507.437616236,336,4
1531235507.542767799,422,5
1531235507.647933004,222,3
1531235507.753111122,86,1
1531235507.858252968,78,1
1531235507.963370007,66,1
1531235508.068522872,258,3
1531235508.173684296,0,0
1531235508.278816879,78,1
1531235508.383983075,156,2
1531235508.489119601,0,0
1531235508.594246838,156,2
1531235508.699366801,320,4
1531235508.804528465,222,3
1531235508.909655766,250,3
1531235509.014776348,86,1
1531235509.119905947,0,0
1531235509.225070736,144,2
1531235509.330218162,234,3
1531235509.435337925,222,3
1531235509.540480756,164,2
1531235509.645624019,78,1
1531235509.750727599,78,1
1531235509.855858335,66,1
1531235509.961020450,144,2
1531235510.066151095,460,6
1531235510.171258882,222,3
1531235510.276382247,78,1
1531235510.381488043,132,2
1531235510.486623497,234,3
1531235510.591769907,156,2
1531235510.696933320,0,0
1531235510.802017367,66,1
1531235510.907158326,144,2
1531235511.012337358,210,3
1531235511.117447869,78,1
1531235511.222562536,288,4
1531235511.327671439,78,1
1531235511.432826977,0,0
1531235511.537993126,354,5
1531235511.643146556,156,2
1531235511.748317940,234,3
1531235511.853525775,250,3
1531235511.958658772,288,4
1531235512.063794643,210,3
1531235512.168957942,156,2
1531235512.274065208,78,1
1531235512.379197329,258,3
1531235512.484320833,78,1
1531235512.589441047,78,1
1531235512.694542915,66,1
1531235512.799689979,66,1
1531235512.904847240,0,0
1531235513.009969720,172,2
1531235513.115104528,288,4
1531235513.220295847,78,1
1531235513.325398591,144,2
1531235513.430531318,66,1
1531235513.535664878,156,2
1531235513.640832541,210,3
1531235513.745958103,78,1
1531235513.851098565,66,1
1531235513.956225182,66,1
1531235514.061352763,66,1
1531235514.166469860,234,3
1531235514.271620474,1K,11
1531235514.376822461,156,2
1531235514.481966035,144,2
1531235514.587126372,66,1
1531235514.692274339,940,10
1531235514.797405031,144,2
1531235514.902531824,222,3
1531235515.007657828,210,3
1531235515.112836641,0,0
1531235515.217976943,144,2
1531235515.323142213,222,3
1531235515.428288074,144,2
1531235515.533493912,152,2
1531235515.638628390,210,3
1531235515.743809213,78,1
1531235515.848993906,1260,14
1531235515.954117203,144,2
1531235516.059253215,144,2
1531235516.164387823,324,4
1531235516.269511786,222,3
1531235516.374639839,0,0
1531235516.479778147,144,2
1531235516.584919960,0,0
1531235516.690024726,78,1
1531235516.795137917,336,4
1531235516.900293888,222,3
1531235517.005451912,66,1
1531235517.110565768,78,1
1531235517.215741308,152,2
1531235517.320979852,210,3
1531235517.426094666,86,1
1531235517.531214255,66,1
1531235517.636362951,156,2
1531235517.741504292,144,2
1531235517.846666681,276,4
1531235517.951780376,164,2
1531235518.056999251,78,1
1531235518.162105829,288,4
1531235518.267254986,222,3
1531235518.372403374,156,2
1531235518.477614935,78,1
1531235518.582750700,0,0
1531235518.687949749,66,1
1531235518.793186244,198,3
1531235518.898311805,242,3
1531235519.003539303,320,4
1531235519.108808748,0,0
1531235519.213929373,156,2
1531235519.319089390,210,3
1531235519.424200765,144,2
1531235519.529379875,210,3
1531235519.634494335,250,3
1531235519.739687448,152,2
1531235519.844819096,66,1
1531235519.949952087,222,3
1531235520.055098332,0,0
1531235520.160277715,0,0
1531235520.265489743,0,0
1531235520.370646325,78,1
1531235520.475803391,222,3
1531235520.580983319,66,1
1531235520.686092654,0,0
1531235520.791260536,144,2
1531235520.896416855,210,3
1531235521.001555644,86,1
1531235521.106725684,0,0
1531235521.211886456,66,1
1531235521.317061184,78,1
1531235521.422225350,144,2
1531235521.527380127,0,0
1531235521.632520570,222,3
1531235521.737621116,78,1
1531235521.842378280,0,0
1531235521.947121104,222,3
1531235522.052283490,66,1
1531235522.157397270,144,2
1531235522.262525426,0,0
1531235522.367653769,78,1
1531235522.472871655,336,4
1531235522.577977407,1410,15
1531235522.683116420,462,5
1531235522.788222075,144,2
1531235522.893365839,218,3
1531235522.998474582,0,0
1531235523.103640610,144,2
1531235523.208793422,156,2
1531235523.313890868,164,2
1531235523.418962540,144,2
1531235523.524130152,308,4
1531235523.629278045,144,2
1531235523.734393631,66,2
1531235523.839517537,210,3
1531235523.944662538,66,1
1531235524.049760191,210,3
1531235524.154847221,0,0
1531235524.259956130,222,3
