ts,backlog in bytes, backlog in packets
1530074045.080136406,0b,0p
1530074045.092585636,0b,0p
1530074045.105246511,0b,0p
1530074045.117733836,0b,0p
1530074045.130236609,0b,0p
1530074045.142874235,0b,0p
1530074045.155588449,0b,0p
1530074045.168201445,0b,0p
1530074045.180676402,0b,0p
1530074045.193258024,0b,0p
1530074045.205721184,0b,0p
1530074045.218259866,0b,0p
1530074045.231003377,0b,0p
1530074045.243753113,0b,0p
1530074045.256242013,0b,0p
1530074045.268930687,0b,0p
1530074045.281405260,0b,0p
1530074045.293877205,0b,0p
1530074045.306374521,0b,0p
1530074045.318868452,0b,0p
1530074045.331475775,0b,0p
1530074045.343984598,0b,0p
1530074045.356370704,0b,0p
1530074045.368812340,0b,0p
1530074045.381274246,0b,0p
1530074045.393887466,0b,0p
1530074045.406508400,0b,0p
1530074045.419198650,0b,0p
1530074045.431989370,0b,0p
1530074045.444409591,0b,0p
1530074045.456915540,0b,0p
1530074045.469293737,0b,0p
1530074045.481802153,0b,0p
1530074045.494480410,0b,0p
1530074045.507111047,0b,0p
1530074045.519729391,0b,0p
1530074045.532189403,0b,0p
1530074045.544682972,0b,0p
1530074045.557106436,0b,0p
1530074045.569550968,0b,0p
1530074045.582101747,0b,0p
1530074045.594735660,0b,0p
1530074045.607257452,0b,0p
1530074045.619882417,0b,0p
1530074045.632402054,0b,0p
1530074045.644770892,0b,0p
1530074045.657458018,0b,0p
1530074045.670131448,0b,0p
1530074045.682627108,0b,0p
1530074045.695325778,0b,0p
1530074045.708016909,0b,0p
1530074045.720492443,0b,0p
1530074045.733066590,0b,0p
1530074045.745633118,0b,0p
1530074045.758141944,0b,0p
1530074045.770748538,0b,0p
1530074045.783505309,0b,0p
1530074045.796055319,0b,0p
1530074045.808662489,0b,0p
1530074045.821243300,0b,0p
1530074045.833813127,0b,0p
1530074045.846382016,0b,0p
1530074045.859155457,0b,0p
1530074045.871674249,0b,0p
1530074045.884106879,0b,0p
1530074045.896766452,0b,0p
1530074045.909383617,0b,0p
1530074045.921867034,0b,0p
1530074045.934403277,0b,0p
1530074045.947099765,0b,0p
1530074045.959698131,0b,0p
1530074045.972118565,0b,0p
1530074045.984856125,0b,0p
1530074045.997554163,0b,0p
1530074046.010032920,0b,0p
1530074046.022804220,0b,0p
1530074046.035509676,0b,0p
1530074046.048085866,0b,0p
1530074046.060539668,0b,0p
1530074046.073077537,0b,0p
1530074046.085461781,0b,0p
1530074046.097913476,0b,0p
1530074046.110561614,0b,0p
1530074046.123092889,0b,0p
1530074046.135842871,0b,0p
1530074046.148405384,0b,0p
1530074046.160797047,0b,0p
1530074046.173282460,0b,0p
1530074046.185812406,0b,0p
1530074046.198567646,0b,0p
1530074046.211157244,0b,0p
1530074046.223874412,0b,0p
1530074046.236279474,0b,0p
1530074046.248774627,0b,0p
1530074046.261389950,0b,0p
1530074046.274049916,0b,0p
1530074046.286755837,0b,0p
1530074046.299438969,0b,0p
1530074046.312063425,0b,0p
1530074046.324776572,0b,0p
1530074046.337174435,0b,0p
1530074046.349646144,0b,0p
1530074046.362207262,0b,0p
1530074046.374885562,0b,0p
1530074046.387639239,0b,0p
1530074046.400160589,0b,0p
1530074046.412763524,0b,0p
1530074046.425414524,0b,0p
1530074046.437834797,0b,0p
1530074046.450458680,0b,0p
1530074046.462998934,0b,0p
1530074046.475495588,0b,0p
1530074046.487953564,0b,0p
1530074046.500334589,0b,0p
1530074046.512760649,0b,0p
1530074046.525191689,0b,0p
1530074046.537943439,0b,0p
1530074046.550503522,0b,0p
1530074046.563066961,0b,0p
1530074046.575647917,0b,0p
1530074046.588121456,0b,0p
1530074046.600568008,0b,0p
1530074046.613235380,0b,0p
1530074046.625706206,0b,0p
1530074046.638226971,0b,0p
1530074046.650790346,0b,0p
1530074046.663256456,0b,0p
1530074046.675801756,0b,0p
1530074046.688168825,0b,0p
1530074046.700746903,0b,0p
1530074046.713337871,0b,0p
1530074046.725819141,0b,0p
1530074046.738419839,0b,0p
1530074046.751023394,0b,0p
1530074046.763815302,0b,0p
1530074046.776373178,0b,0p
1530074046.788781137,0b,0p
1530074046.801165995,0b,0p
1530074046.813795836,0b,0p
1530074046.826310563,0b,0p
1530074046.838934863,0b,0p
1530074046.851701298,0b,0p
1530074046.864141205,0b,0p
1530074046.876766863,0b,0p
1530074046.889288137,0b,0p
1530074046.901919361,0b,0p
1530074046.914680751,0b,0p
1530074046.927335675,0b,0p
1530074046.939937601,0b,0p
1530074046.952366301,0b,0p
1530074046.965011586,0b,0p
1530074046.977419446,0b,0p
1530074046.989864535,0b,0p
1530074047.002455827,0b,0p
1530074047.014995359,0b,0p
1530074047.027787085,0b,0p
1530074047.040290057,0b,0p
1530074047.052799235,0b,0p
1530074047.065271199,0b,0p
1530074047.077660798,0b,0p
1530074047.090058500,0b,0p
1530074047.102802352,0b,0p
1530074047.115533724,0b,0p
1530074047.128070578,0b,0p
1530074047.140431147,0b,0p
1530074047.152940345,0b,0p
1530074047.165440837,0b,0p
1530074047.177888979,0b,0p
1530074047.190440713,0b,0p
1530074047.202954090,0b,0p
1530074047.215612510,0b,0p
1530074047.228172712,0b,0p
1530074047.240623855,0b,0p
1530074047.253088260,0b,0p
1530074047.265772933,0b,0p
1530074047.278421188,0b,0p
1530074047.290928593,0b,0p
1530074047.303455462,0b,0p
1530074047.315874199,0b,0p
1530074047.328345503,0b,0p
1530074047.340852677,0b,0p
1530074047.353378685,0b,0p
1530074047.366053840,0b,0p
1530074047.378643802,0b,0p
1530074047.391195164,0b,0p
1530074047.403724926,0b,0p
1530074047.416191797,0b,0p
1530074047.454866591,0b,0p
1530074047.467541137,0b,0p
1530074047.480007773,0b,0p
1530074047.492528622,0b,0p
1530074047.504938472,0b,0p
1530074047.517579909,0b,0p
1530074047.530055355,0b,0p
1530074047.542611968,0b,0p
1530074047.555194427,0b,0p
1530074047.567895613,0b,0p
1530074047.580253830,0b,0p
1530074047.592880006,0b,0p
1530074047.605276943,0b,0p
1530074047.617941964,0b,0p
1530074047.630388663,0b,0p
1530074047.642986093,0b,0p
1530074047.655558460,0b,0p
1530074047.668069917,0b,0p
1530074047.680505845,0b,0p
1530074047.693092263,0b,0p
1530074047.705679398,0b,0p
1530074047.718092229,0b,0p
1530074047.730621498,0b,0p
1530074047.743128095,0b,0p
1530074047.755834010,0b,0p
1530074047.768535045,0b,0p
1530074047.780901724,0b,0p
1530074047.793276512,0b,0p
1530074047.805790088,0b,0p
1530074047.818384076,0b,0p
1530074047.831097415,0b,0p
1530074047.843701967,0b,0p
1530074047.856108064,0b,0p
1530074047.868564990,0b,0p
1530074047.880922153,0b,0p
1530074047.893512427,0b,0p
1530074047.906192229,0b,0p
1530074047.918759673,0b,0p
1530074047.931493401,0b,0p
1530074047.943997259,0b,0p
1530074047.956655428,0b,0p
1530074047.969148496,0b,0p
1530074047.981748018,0b,0p
1530074047.994337212,0b,0p
1530074048.007069452,0b,0p
1530074048.019821866,0b,0p
1530074048.032542414,0b,0p
1530074048.045001210,0b,0p
1530074048.057478471,0b,0p
1530074048.070163473,0b,0p
1530074048.082665453,0b,0p
1530074048.095329931,0b,0p
1530074048.107878524,0b,0p
1530074048.120364873,0b,0p
1530074048.132896038,0b,0p
1530074048.145417812,0b,0p
1530074048.158081882,0b,0p
1530074048.170736053,0b,0p
1530074048.183238302,0b,0p
1530074048.195837252,0b,0p
1530074048.208349536,0b,0p
1530074048.221026649,0b,0p
1530074048.233601256,0b,0p
1530074048.246212897,0b,0p
1530074048.258848041,0b,0p
1530074048.271578845,0b,0p
1530074048.284115037,0b,0p
1530074048.296705491,0b,0p
1530074048.309312983,0b,0p
1530074048.321787816,0b,0p
1530074048.334374104,0b,0p
1530074048.346939247,0b,0p
1530074048.359671147,0b,0p
1530074048.372116096,0b,0p
1530074048.384802952,0b,0p
1530074048.397237540,0b,0p
1530074048.409907839,0b,0p
1530074048.422428832,0b,0p
1530074048.435081928,0b,0p
1530074048.447576039,0b,0p
1530074048.460072096,0b,0p
1530074048.472654406,0b,0p
1530074048.485278854,0b,0p
1530074048.497667704,0b,0p
1530074048.510274794,0b,0p
1530074048.522999781,0b,0p
1530074048.535563391,0b,0p
1530074048.548176058,0b,0p
1530074048.560715723,0b,0p
1530074048.573089443,0b,0p
1530074048.585573133,0b,0p
1530074048.598207021,0b,0p
1530074048.610723250,0b,0p
1530074048.623242940,0b,0p
1530074048.635765302,0b,0p
1530074048.648221737,0b,0p
1530074048.660700894,0b,0p
1530074048.673260667,0b,0p
1530074048.685689135,0b,0p
1530074048.698091545,0b,0p
1530074048.710799900,0b,0p
1530074048.723439703,0b,0p
1530074048.735996129,0b,0p
1530074048.748429292,0b,0p
1530074048.760833492,0b,0p
1530074048.773330691,0b,0p
1530074048.785962044,0b,0p
1530074048.798594068,0b,0p
1530074048.811338248,0b,0p
1530074048.824102415,0b,0p
1530074048.836678884,0b,0p
1530074048.849259298,0b,0p
1530074048.861871109,0b,0p
1530074048.874300872,0b,0p
1530074048.886981338,0b,0p
1530074048.899558912,0b,0p
1530074048.912013544,0b,0p
1530074048.924516487,0b,0p
1530074048.936964941,0b,0p
1530074048.949605244,0b,0p
1530074048.962384695,0b,0p
1530074048.974939971,0b,0p
1530074048.987519268,0b,0p
1530074049.000162343,0b,0p
1530074049.012642176,0b,0p
1530074049.025193920,0b,0p
1530074049.037874153,0b,0p
1530074049.050523059,0b,0p
1530074049.063070430,0b,0p
1530074049.075755707,0b,0p
1530074049.088201735,0b,0p
1530074049.100690075,0b,0p
1530074049.113163765,0b,0p
1530074049.125795384,0b,0p
1530074049.138294928,0b,0p
1530074049.150823728,0b,0p
1530074049.163437415,0b,0p
1530074049.175907351,0b,0p
1530074049.188448537,0b,0p
1530074049.200888958,0b,0p
1530074049.213273857,0b,0p
1530074049.225954797,0b,0p
1530074049.238545797,0b,0p
1530074049.251069148,0b,0p
1530074049.263725453,0b,0p
1530074049.276230174,0b,0p
1530074049.288649966,0b,0p
1530074049.301078260,0b,0p
1530074049.313709727,0b,0p
1530074049.326305839,0b,0p
1530074049.339012775,0b,0p
1530074049.351629082,0b,0p
1530074049.364182692,0b,0p
1530074049.376735489,0b,0p
1530074049.389205718,0b,0p
1530074049.401857260,0b,0p
1530074049.414375229,0b,0p
1530074049.426946538,0b,0p
1530074049.439521197,0b,0p
1530074049.452034423,0b,0p
1530074049.464707492,0b,0p
1530074049.477112897,0b,0p
1530074049.489743995,0b,0p
1530074049.502396617,0b,0p
1530074049.514912594,0b,0p
1530074049.527482594,0b,0p
1530074049.540296686,0b,0p
1530074049.552800934,0b,0p
1530074049.565317918,0b,0p
1530074049.577739628,0b,0p
1530074049.590347551,0b,0p
1530074049.603099859,0b,0p
1530074049.615632444,0b,0p
1530074049.628275320,0b,0p
1530074049.640930328,0b,0p
1530074049.653376156,0b,0p
1530074049.665882734,0b,0p
1530074049.678608389,0b,0p
1530074049.691103660,0b,0p
1530074049.703657192,0b,0p
1530074049.716129297,0b,0p
1530074049.728543681,0b,0p
1530074049.740990253,0b,0p
1530074049.753360459,0b,0p
1530074049.765830007,0b,0p
1530074049.778351443,0b,0p
1530074049.790985941,0b,0p
1530074049.803690728,0b,0p
1530074049.816124496,0b,0p
1530074049.828729759,0b,0p
1530074049.841101286,0b,0p
1530074049.853508674,0b,0p
1530074049.866211068,0b,0p
1530074049.878904710,0b,0p
1530074049.891473965,0b,0p
1530074049.904066625,0b,0p
1530074049.916687296,0b,0p
1530074049.929227456,0b,0p
1530074049.941920179,0b,0p
1530074049.954620690,0b,0p
1530074049.967392298,0b,0p
1530074049.979900634,0b,0p
1530074049.992379267,0b,0p
1530074050.004915666,0b,0p
1530074050.017595033,0b,0p
1530074050.029993156,0b,0p
1530074050.042463100,0b,0p
1530074050.055157118,0b,0p
1530074050.067884921,0b,0p
1530074050.080480835,0b,0p
1530074050.092881222,0b,0p
1530074050.105564328,0b,0p
1530074050.118000518,0b,0p
1530074050.130556993,0b,0p
1530074050.143149128,0b,0p
1530074050.155842490,0b,0p
1530074050.168315112,0b,0p
1530074050.180918573,0b,0p
1530074050.193480926,0b,0p
1530074050.206010087,0b,0p
1530074050.218600112,0b,0p
1530074050.231106101,0b,0p
1530074050.243792002,0b,0p
1530074050.256164935,0b,0p
1530074050.268753479,0b,0p
1530074050.281230349,0b,0p
1530074050.293746654,0b,0p
1530074050.306264237,0b,0p
1530074050.319029769,0b,0p
1530074050.331842065,0b,0p
1530074050.344241871,0b,0p
1530074050.356662880,0b,0p
1530074050.369240494,0b,0p
1530074050.381808376,0b,0p
1530074050.394274196,0b,0p
1530074050.406904198,0b,0p
1530074050.419612731,0b,0p
1530074050.432161933,0b,0p
1530074050.444692993,0b,0p
1530074050.457124650,0b,0p
1530074050.469725539,0b,0p
1530074050.482261262,0b,0p
1530074050.494678312,0b,0p
1530074050.507176526,0b,0p
1530074050.519699210,0b,0p
1530074050.532246263,0b,0p
1530074050.544913480,0b,0p
1530074050.557530696,0b,0p
1530074050.569930308,0b,0p
1530074050.582532784,0b,0p
1530074050.595053935,0b,0p
1530074050.607746115,0b,0p
1530074050.620077934,0b,0p
1530074050.632651876,0b,0p
1530074050.645241051,0b,0p
1530074050.657696062,0b,0p
1530074050.670286453,0b,0p
1530074050.682859241,0b,0p
1530074050.695518675,0b,0p
1530074050.708166435,0b,0p
1530074050.720723727,0b,0p
1530074050.733231276,0b,0p
1530074050.745716124,0b,0p
1530074050.758172676,0b,0p
1530074050.770894245,0b,0p
1530074050.783442229,0b,0p
1530074050.796132344,0b,0p
1530074050.808712499,0b,0p
1530074050.821141140,0b,0p
1530074050.833574299,0b,0p
1530074050.846239547,0b,0p
1530074050.859106817,0b,0p
1530074050.871934188,0b,0p
1530074050.884354887,0b,0p
1530074050.896862446,0b,0p
1530074050.909655789,0b,0p
1530074050.922156447,0b,0p
1530074050.934791077,0b,0p
1530074050.947301675,0b,0p
1530074050.959902696,0b,0p
1530074050.972398458,0b,0p
1530074050.984809592,0b,0p
1530074050.997304912,0b,0p
1530074051.009804994,0b,0p
1530074051.022342405,0b,0p
1530074051.034873235,0b,0p
1530074051.047334332,0b,0p
1530074051.060073239,0b,0p
1530074051.072693259,0b,0p
1530074051.085268401,0b,0p
1530074051.097806869,0b,0p
1530074051.110493055,0b,0p
1530074051.123089740,0b,0p
1530074051.135633812,0b,0p
1530074051.148218138,0b,0p
1530074051.160740684,0b,0p
1530074051.173122294,0b,0p
1530074051.185629030,0b,0p
1530074051.198220917,0b,0p
1530074051.211001876,0b,0p
1530074051.223925896,0b,0p
1530074051.236370431,0b,0p
1530074051.249119452,0b,0p
1530074051.261631076,0b,0p
1530074051.274347187,0b,0p
1530074051.287029682,0b,0p
1530074051.299854585,0b,0p
1530074051.312479447,0b,0p
1530074051.324871887,0b,0p
1530074051.337465786,0b,0p
1530074051.349887231,0b,0p
1530074051.362648799,0b,0p
1530074051.375199421,0b,0p
1530074051.387716336,0b,0p
1530074051.400238267,0b,0p
1530074051.412778445,0b,0p
1530074051.425245760,0b,0p
1530074051.437736304,0b,0p
1530074051.450325481,0b,0p
1530074051.462809429,0b,0p
1530074051.475512505,0b,0p
1530074051.488112700,0b,0p
1530074051.500663649,0b,0p
1530074051.513057172,0b,0p
1530074051.525752868,0b,0p
1530074051.538314134,0b,0p
1530074051.551027376,0b,0p
1530074051.563698615,0b,0p
1530074051.576169771,0b,0p
1530074051.588639115,0b,0p
1530074051.601126740,0b,0p
1530074051.613526381,0b,0p
1530074051.625927316,0b,0p
1530074051.638438069,0b,0p
1530074051.650950618,0b,0p
1530074051.663712125,0b,0p
1530074051.676145067,0b,0p
1530074051.688875075,0b,0p
1530074051.701284493,0b,0p
1530074051.713760368,0b,0p
1530074051.726455587,0b,0p
1530074051.739043515,0b,0p
1530074051.751600178,0b,0p
1530074051.764167062,0b,0p
1530074051.776819975,0b,0p
1530074051.789300327,0b,0p
1530074051.801962025,0b,0p
1530074051.814593859,0b,0p
1530074051.827291958,0b,0p
1530074051.840025294,0b,0p
1530074051.852423154,0b,0p
1530074051.864895820,0b,0p
1530074051.877371731,0b,0p
1530074051.889919988,0b,0p
1530074051.902502971,0b,0p
1530074051.915254796,0b,0p
1530074051.927954172,0b,0p
1530074051.940548735,0b,0p
1530074051.953259359,0b,0p
1530074051.965817374,0b,0p
1530074051.978368110,0b,0p
1530074051.991030985,0b,0p
1530074052.003755527,0b,0p
1530074052.016226116,0b,0p
1530074052.028704410,0b,0p
1530074052.041197719,0b,0p
1530074052.053791215,0b,0p
1530074052.066329235,0b,0p
1530074052.079003212,0b,0p
1530074052.091658932,0b,0p
1530074052.104100257,0b,0p
1530074052.116598456,0b,0p
1530074052.129016386,0b,0p
1530074052.141622113,0b,0p
1530074052.154215332,0b,0p
1530074052.166837841,0b,0p
1530074052.179555225,0b,0p
1530074052.192160913,0b,0p
1530074052.204690496,0b,0p
1530074052.217049989,0b,0p
1530074052.229518283,0b,0p
1530074052.241968486,0b,0p
1530074052.254719272,0b,0p
1530074052.267426047,0b,0p
1530074052.280016888,0b,0p
1530074052.292584018,0b,0p
1530074052.305135866,0b,0p
1530074052.317896938,0b,0p
1530074052.330475232,0b,0p
1530074052.343155555,0b,0p
1530074052.355872317,0b,0p
1530074052.368462276,0b,0p
1530074052.381131565,0b,0p
1530074052.393588774,0b,0p
1530074052.406043733,0b,0p
1530074052.418623100,0b,0p
1530074052.449067720,0b,0p
1530074052.461736291,0b,0p
1530074052.474370164,0b,0p
1530074052.486847109,0b,0p
1530074052.499475867,0b,0p
1530074052.512170685,0b,0p
1530074052.524682099,0b,0p
1530074052.537068748,0b,0p
1530074052.549534387,0b,0p
1530074052.562004489,0b,0p
1530074052.574507886,0b,0p
1530074052.587041843,0b,0p
1530074052.599758100,0b,0p
1530074052.612120171,0b,0p
1530074052.624734258,0b,0p
1530074052.637221360,0b,0p
1530074052.649776378,0b,0p
1530074052.662254922,0b,0p
1530074052.674804118,0b,0p
1530074052.687398091,0b,0p
1530074052.700051503,0b,0p
1530074052.712609555,0b,0p
1530074052.725265159,0b,0p
1530074052.737876885,0b,0p
1530074052.750390097,0b,0p
1530074052.762963959,0b,0p
1530074052.775642039,0b,0p
1530074052.788139321,0b,0p
1530074052.800722773,0b,0p
1530074052.813296241,0b,0p
1530074052.825839356,0b,0p
1530074052.838433203,0b,0p
1530074052.850979884,0b,0p
1530074052.863579749,0b,0p
1530074052.876055940,0b,0p
1530074052.888484666,0b,0p
1530074052.900943244,0b,0p
1530074052.913440035,0b,0p
1530074052.925912381,0b,0p
1530074052.938388762,0b,0p
1530074052.951037544,0b,0p
1530074052.963708151,0b,0p
1530074052.976149655,0b,0p
1530074052.988755647,0b,0p
1530074053.001301465,0b,0p
1530074053.013702166,0b,0p
1530074053.026173131,0b,0p
1530074053.038837581,0b,0p
1530074053.051401480,0b,0p
1530074053.063991219,0b,0p
1530074053.076553027,0b,0p
1530074053.089127102,0b,0p
1530074053.101625575,0b,0p
1530074053.114094289,0b,0p
1530074053.126859245,0b,0p
1530074053.139539723,0b,0p
1530074053.152209462,0b,0p
1530074053.164727772,0b,0p
1530074053.177254844,0b,0p
1530074053.189660641,0b,0p
1530074053.202253953,0b,0p
1530074053.214814010,0b,0p
1530074053.227525543,0b,0p
1530074053.240133524,0b,0p
1530074053.252819430,0b,0p
1530074053.265354105,0b,0p
1530074053.277777373,0b,0p
1530074053.290298620,0b,0p
1530074053.302990094,0b,0p
1530074053.315435595,0b,0p
1530074053.328033344,0b,0p
1530074053.340462552,0b,0p
1530074053.352943807,0b,0p
1530074053.365453670,0b,0p
1530074053.378033492,0b,0p
1530074053.390567701,0b,0p
1530074053.403058239,0b,0p
1530074053.415692363,0b,0p
1530074053.428159018,0b,0p
1530074053.440729575,0b,0p
1530074053.453369841,0b,0p
1530074053.465912308,0b,0p
1530074053.478404975,0b,0p
1530074053.490936268,0b,0p
1530074053.503717026,0b,0p
1530074053.516147969,0b,0p
1530074053.528666902,0b,0p
1530074053.541106645,0b,0p
1530074053.553570088,0b,0p
1530074053.566074188,0b,0p
1530074053.578583589,0b,0p
1530074053.591197554,0b,0p
1530074053.603720079,0b,0p
1530074053.616282850,0b,0p
1530074053.628827121,0b,0p
1530074053.641244003,0b,0p
1530074053.653657181,0b,0p
1530074053.666258758,0b,0p
1530074053.678765636,0b,0p
1530074053.691245113,0b,0p
1530074053.703833393,0b,0p
1530074053.716223983,0b,0p
1530074053.728769093,0b,0p
1530074053.741213692,0b,0p
1530074053.753693172,0b,0p
1530074053.766246467,0b,0p
1530074053.778913447,0b,0p
1530074053.791503381,0b,0p
1530074053.804082260,0b,0p
1530074053.816553868,0b,0p
1530074053.829181940,0b,0p
1530074053.841772821,0b,0p
1530074053.854495409,0b,0p
1530074053.866963414,0b,0p
1530074053.879735882,0b,0p
1530074053.892219905,0b,0p
1530074053.904750301,0b,0p
1530074053.917394065,0b,0p
1530074053.929978418,0b,0p
