ts,in_queue.size, in_queue.number
1530597560.474039574,0,0
1530597560.486699984,0,0
1530597560.499240765,0,0
1530597560.511791127,0,0
1530597560.524334519,0,0
1530597560.536877625,0,0
1530597560.549466995,0,0
1530597560.562191250,0,0
1530597560.574853920,0,0
1530597560.587531110,0,0
1530597560.600071241,0,0
1530597560.612943463,0,0
1530597560.625486652,0,0
1530597560.638173341,0,0
1530597560.650892884,0,0
1530597560.663416672,0,0
1530597560.676121550,0,0
1530597560.688668130,0,0
1530597560.701207309,0,0
1530597560.713852117,0,0
1530597560.726441292,0,0
1530597560.739197865,0,0
1530597560.751839684,0,0
1530597560.764407223,0,0
1530597560.776890538,0,0
1530597560.789484475,0,0
1530597560.801951024,0,0
1530597560.814551456,0,0
1530597560.827039576,0,0
1530597560.839671217,0,0
1530597560.852330522,0,0
1530597560.864784738,0,0
1530597560.877467111,0,0
1530597560.890206535,0,0
1530597560.903017858,0,0
1530597560.915584092,0,0
1530597560.928048914,0,0
1530597560.940654382,0,0
1530597560.953125581,0,0
1530597560.965843792,0,0
1530597560.978554666,0,0
1530597560.991310459,0,0
1530597561.003961020,0,0
1530597561.016591673,0,0
1530597561.029075669,0,0
1530597561.041597374,0,0
1530597561.054232264,0,0
1530597561.066887793,0,0
1530597561.079575590,0,0
1530597561.092286172,0,0
1530597561.104947277,0,0
1530597561.117513926,0,0
1530597561.130149200,0,0
1530597561.142715532,0,0
1530597561.155418624,0,0
1530597561.168071352,0,0
1530597561.180704210,0,0
1530597561.193312299,0,0
1530597561.206068666,0,0
1530597561.218928994,0,0
1530597561.231676926,0,0
1530597561.244484317,0,0
1530597561.257125193,0,0
1530597561.269858823,0,0
1530597561.282581565,0,0
1530597561.295399860,0,0
1530597561.307937757,0,0
1530597561.320451620,0,0
1530597561.333076046,0,0
1530597561.345754063,0,0
1530597561.358616813,0,0
1530597561.371266515,0,0
1530597561.383925802,0,0
1530597561.396641918,0,0
1530597561.409272182,0,0
1530597561.422039550,0,0
1530597561.434860862,0,0
1530597561.447585958,0,0
1530597561.460399509,0,0
1530597561.473129778,0,0
1530597561.485814891,0,0
1530597561.498538488,0,0
1530597561.511186495,0,0
1530597561.523971538,0,0
1530597561.536742671,0,0
1530597561.549424656,0,0
1530597561.562099800,0,0
1530597561.574774861,0,0
1530597561.587431038,0,0
1530597561.600100068,0,0
1530597561.612805033,0,0
1530597561.625624445,0,0
1530597561.638299573,0,0
1530597561.650976525,0,0
1530597561.663692823,0,0
1530597561.676358448,0,0
1530597561.689129383,0,0
1530597561.701781233,0,0
1530597561.714577060,0,0
1530597561.727210531,0,0
1530597561.739877658,0,0
1530597561.752597134,0,0
1530597561.765246711,0,0
1530597561.777809965,0,0
1530597561.790578692,0,0
1530597561.803375719,0,0
1530597561.816082674,0,0
1530597561.828905216,0,0
1530597561.841574477,0,0
1530597561.854239929,0,0
1530597561.866867659,0,0
1530597561.879638222,0,0
1530597561.892462742,0,0
1530597561.905010629,0,0
1530597561.917665427,0,0
1530597561.930359298,0,0
1530597561.943137741,0,0
1530597561.955822453,0,0
1530597561.968583540,0,0
1530597561.981124236,0,0
1530597561.993691140,0,0
1530597562.006622204,0,0
1530597562.019323613,0,0
1530597562.031910986,0,0
1530597562.044589444,0,0
1530597562.057192067,0,0
1530597562.069765647,0,0
1530597562.082588540,0,0
1530597562.095338931,0,0
1530597562.108003981,0,0
1530597562.120634686,0,0
1530597562.133285797,0,0
1530597562.146151041,0,0
1530597562.159064160,0,0
1530597562.171748101,0,0
1530597562.184577314,0,0
1530597562.197171115,0,0
1530597562.209826832,0,0
1530597562.222550968,0,0
1530597562.235280256,0,0
1530597562.247923486,0,0
1530597562.260575826,0,0
1530597562.273179334,0,0
1530597562.285900170,0,0
1530597562.298778638,0,0
1530597562.311617952,0,0
1530597562.324240790,0,0
1530597562.336904483,0,0
1530597562.349760722,0,0
1530597562.362599776,0,0
1530597562.375521171,0,0
1530597562.388312615,0,0
1530597562.401042948,0,0
1530597562.413654652,0,0
1530597562.426354857,0,0
1530597562.439011258,0,0
1530597562.451717888,0,0
1530597562.464236189,0,0
1530597562.477065464,0,0
1530597562.489733382,0,0
1530597562.502495723,0,0
1530597562.515281503,0,0
1530597562.528006281,0,0
1530597562.540911643,0,0
1530597562.553542180,0,0
1530597562.566320608,0,0
1530597562.579025484,0,0
1530597562.591648533,0,0
1530597562.604186927,0,0
1530597562.616858540,0,0
1530597562.629565311,0,0
1530597562.642356819,0,0
1530597562.655296861,0,0
1530597562.667936204,0,0
1530597562.680546912,0,0
1530597562.693153252,0,0
1530597562.705781619,0,0
1530597562.718594580,0,0
1530597562.731372773,0,0
1530597562.744079653,0,0
1530597562.756832248,0,0
1530597562.769451173,0,0
1530597562.782300854,0,0
1530597562.795036029,0,0
1530597562.807635290,169,2
1530597562.820426321,0,0
1530597562.833028127,0,0
1530597562.845655475,0,0
1530597562.858444656,0,0
1530597562.871110397,66,1
1530597562.883784712,0,0
1530597562.896591785,0,0
1530597562.909436822,0,0
1530597562.922220225,27252,15
1530597562.934891836,42392,27
1530597562.947726755,46934,31
1530597562.960423785,66616,44
1530597562.973084997,83270,55
1530597562.985795620,98410,63
1530597562.998464110,101438,63
1530597563.011303959,99924,59
1530597563.023868745,98410,55
1530597563.036760078,98410,51
1530597563.049542992,96896,46
1530597563.062187465,86298,39
1530597563.075165381,68e3,29
1530597563.087883276,54504,22
1530597563.100593436,39364,15
1530597563.113185680,24224,9
1530597563.125851247,12112,4
1530597563.138669090,6056,2
1530597563.151483577,9084,3
1530597563.164296554,9084,3
1530597563.176996313,6056,2
1530597563.189576426,6056,2
1530597563.202362440,9084,3
1530597563.215232104,9084,3
1530597563.227820250,6056,2
1530597563.240701155,6056,2
1530597563.253312881,6056,2
1530597563.266037881,9084,3
1530597563.278722385,6056,2
1530597563.291538077,6056,2
1530597563.304179730,6056,2
1530597563.317002175,4542,2
1530597563.329840500,3028,1
1530597563.342496989,6056,2
1530597563.355241222,9084,3
1530597563.367731714,9084,3
1530597563.380270367,9084,3
1530597563.393030237,6056,2
1530597563.405862961,6056,2
1530597563.418577443,7570,3
1530597563.431537730,9084,3
1530597563.444425513,9084,3
1530597563.457178153,9084,3
1530597563.469819780,9084,3
1530597563.482645662,9084,3
1530597563.495524111,12112,4
1530597563.508137496,9084,3
1530597563.520854954,12112,4
1530597563.533582784,12112,4
1530597563.546227274,12112,5
1530597563.558957798,7570,3
1530597563.571670869,9084,3
1530597563.584462386,6056,2
1530597563.597244353,6056,2
1530597563.610095486,3028,1
1530597563.622913282,6056,2
1530597563.635710645,6056,2
1530597563.648332176,6056,2
1530597563.660941016,9084,3
1530597563.673857311,12112,4
1530597563.686527100,12112,4
1530597563.699334887,9084,3
1530597563.712049588,9084,3
1530597563.724929473,10598,4
1530597563.737620872,9084,3
1530597563.750492707,12112,4
1530597563.763215715,12112,4
1530597563.776018682,9084,3
1530597563.788801885,12112,4
1530597563.801362024,6056,2
1530597563.814250486,6056,2
1530597563.826965835,6056,2
1530597563.839793517,0,0
1530597563.852527675,9084,3
1530597563.865381735,12112,4
1530597563.878131742,12112,4
1530597563.890944531,12112,4
1530597563.903739182,12112,4
1530597563.916320629,6056,2
1530597563.929164248,3094,3
1530597563.941746073,6056,2
1530597563.954342784,9084,3
1530597563.967204426,10598,4
1530597563.979785802,10598,4
1530597563.992473684,12112,4
1530597564.005255180,9084,3
1530597564.017929262,9084,3
1530597564.030646525,6056,2
1530597564.043379314,6056,2
1530597564.055944351,6056,2
1530597564.068873943,6056,2
1530597564.081662446,6056,2
1530597564.094307951,3028,1
1530597564.107039463,6056,3
1530597564.119755359,6056,2
1530597564.132570868,9084,3
1530597564.145252660,6056,2
1530597564.158114969,6056,2
1530597564.170849921,6056,2
1530597564.183546387,3028,1
1530597564.196331167,9084,3
1530597564.208973534,6056,2
1530597564.221615151,6056,2
1530597564.234546598,6056,2
1530597564.247459568,3028,1
1530597564.260215747,6056,2
1530597564.272920016,6056,2
1530597564.285617531,9084,3
1530597564.298400119,9084,4
1530597564.311061827,9084,3
1530597564.323931106,6056,2
1530597564.336531001,6056,2
1530597564.349122118,6056,2
1530597564.361715521,6056,2
1530597564.374499067,9084,3
1530597564.387278632,6056,2
1530597564.400023014,9084,3
1530597564.412782141,3028,1
1530597564.425483513,6056,2
1530597564.438232802,6056,2
1530597564.451129897,9084,3
1530597564.463863874,6056,2
1530597564.476573141,9084,4
1530597564.489202107,9084,3
1530597564.501891917,9084,3
1530597564.514511821,6056,2
1530597564.527295969,9084,3
1530597564.539955582,9084,3
1530597564.552573804,9084,3
1530597564.565345000,9084,3
1530597564.578169320,9084,3
1530597564.591024132,7570,3
1530597564.603778076,6056,2
1530597564.616589803,3028,1
1530597564.629450204,6056,2
1530597564.642198687,9084,3
1530597564.654973848,3028,1
1530597564.667757843,6056,2
1530597564.680577344,6056,2
1530597564.693154548,9084,3
1530597564.705767561,4542,2
1530597564.718393870,6056,2
1530597564.731202050,6056,2
1530597564.743819736,6056,2
1530597564.756676315,12112,4
1530597564.769463601,10598,4
1530597564.782111106,6056,2
1530597564.794756911,9084,3
1530597564.807646005,9084,3
1530597564.820221915,9084,3
1530597564.833114340,6056,2
1530597564.845921107,3028,1
1530597564.858700387,6056,2
1530597564.871453841,6056,2
1530597564.884253400,6056,3
1530597564.897037189,6056,2
1530597564.909812993,6056,2
1530597564.922512434,6056,2
1530597564.935249308,6056,2
1530597564.947840622,6056,2
1530597564.960494588,9084,3
1530597564.973241063,12112,4
1530597564.985935893,6056,2
1530597564.998668505,9084,3
1530597565.011459944,9084,4
1530597565.024110567,9084,3
1530597565.036968390,10598,4
1530597565.049593938,6056,2
1530597565.062246333,4542,2
1530597565.074953283,9084,3
1530597565.087586576,6056,2
1530597565.100405788,9084,3
1530597565.113109097,9084,3
1530597565.125926537,6056,2
1530597565.138579779,9084,3
1530597565.151346127,12112,4
1530597565.163925791,6056,2
1530597565.176724726,4542,2
1530597565.189572699,6056,2
1530597565.202484777,6056,2
1530597565.215228395,9084,3
1530597565.227930323,6056,2
1530597565.240849834,12112,5
1530597565.253439918,6056,2
1530597565.266095198,9084,3
1530597565.278782653,12112,4
1530597565.291671893,6056,2
1530597565.304483314,6056,2
1530597565.317203373,12112,4
1530597565.329854972,6056,2
1530597565.342744924,9084,3
1530597565.355478600,9084,3
1530597565.368070925,6056,2
1530597565.380852232,6056,2
1530597565.393523844,9084,3
1530597565.406195547,6056,2
1530597565.418942576,6056,2
1530597565.431792555,6056,2
1530597565.444377611,9084,3
1530597565.457101227,6056,2
1530597565.469975431,9084,3
1530597565.482880890,9084,3
1530597565.495538962,9084,3
1530597565.508321654,12112,4
1530597565.521175368,3028,1
1530597565.533976213,7570,3
1530597565.546651149,9084,3
1530597565.559596043,12112,4
1530597565.572208150,6056,2
1530597565.585073783,6056,2
1530597565.597725618,12112,4
1530597565.610427567,12112,4
1530597565.623187447,9084,3
1530597565.635878021,9084,3
1530597565.648488848,12112,4
1530597565.661345539,9084,3
1530597565.673995631,6056,2
1530597565.686773847,6056,2
1530597565.699471727,3028,1
1530597565.712045432,3028,1
1530597565.724906554,6056,2
1530597565.737712418,6056,2
1530597565.750415541,9084,3
1530597565.763225839,7570,3
1530597565.775835297,10598,4
1530597565.788495441,9084,3
1530597565.801147463,9084,3
1530597565.814038706,6056,2
1530597565.826958411,6056,2
1530597565.839748302,6056,2
1530597565.852390126,6056,2
1530597565.865016591,9084,3
1530597565.877811518,7570,3
1530597565.890675536,6056,2
1530597565.903413096,9084,3
1530597565.915960132,6056,2
1530597565.928630190,12112,4
1530597565.941462055,6122,3
1530597565.954141861,9084,3
1530597565.966948101,9084,3
1530597565.979558937,9084,3
1530597565.992380224,7570,3
1530597566.004984485,9084,3
1530597566.017871965,6056,2
1530597566.030650786,6056,2
1530597566.043376010,6056,2
1530597566.056106440,3028,1
1530597566.068932507,6056,2
1530597566.081560823,9084,3
1530597566.094256277,6056,2
1530597566.107096453,9084,3
1530597566.119878967,3028,1
1530597566.132679910,6056,2
1530597566.145481246,12112,4
1530597566.158240402,9084,3
1530597566.171216074,6056,2
1530597566.183920251,9084,3
1530597566.196854712,9084,3
1530597566.209534906,3028,1
1530597566.222250975,9084,3
1530597566.235142424,6056,2
1530597566.247855786,9084,3
1530597566.260656816,12112,4
1530597566.273291514,9084,3
1530597566.286188075,7570,3
1530597566.299020180,6056,2
1530597566.311779220,6056,2
1530597566.324651629,9084,3
1530597566.337498855,9084,3
1530597566.350265672,9084,3
1530597566.363220306,9084,3
1530597566.375822592,12112,4
1530597566.388577827,9084,3
1530597566.401347173,10598,4
1530597566.414231978,4542,2
1530597566.427110378,12112,4
1530597566.439845852,6122,3
1530597566.452581213,9150,4
1530597566.465221031,12112,4
1530597566.477927237,9084,3
1530597566.490755644,12112,4
1530597566.503429301,9084,3
1530597566.516120192,9084,3
1530597566.529014552,9084,3
1530597566.541922810,9084,3
1530597566.554896845,6056,2
1530597566.567742451,6056,2
1530597566.580412796,6056,2
1530597566.593055697,6056,2
1530597566.605700719,6056,2
1530597566.618309214,9084,3
1530597566.631057293,9084,3
1530597566.643861394,9084,3
1530597566.656557854,9084,3
1530597566.669223630,9084,3
1530597566.682058521,9084,3
1530597566.694978526,6056,2
1530597566.707856837,12112,4
1530597566.720923721,9084,3
1530597566.733708140,9084,3
1530597566.746504639,7570,3
1530597566.759400939,6056,2
1530597566.772134186,12112,4
1530597566.785058236,6056,2
1530597566.797953570,9084,3
1530597566.810886315,10598,4
1530597566.823653308,9084,3
1530597566.836537280,9084,3
1530597566.849290811,12112,4
1530597566.862007000,9084,3
1530597566.874818356,12112,4
1530597566.887818283,12112,4
1530597566.900633431,9084,3
1530597566.913540065,6056,2
1530597566.926468190,4542,2
1530597566.939346562,10598,4
1530597566.952113291,6056,2
1530597566.965002290,9084,3
1530597566.977967997,10598,4
1530597566.990951196,9084,3
1530597567.003646261,9084,3
1530597567.016387272,6056,2
1530597567.029265681,6056,2
1530597567.042226818,9084,3
1530597567.054950156,9084,3
1530597567.067677006,9084,3
1530597567.080512509,9084,3
1530597567.093250657,4542,2
1530597567.105994093,6056,2
1530597567.118724100,9084,3
1530597567.131584400,12112,4
1530597567.144443767,7570,3
1530597567.157141008,9084,3
1530597567.169874772,9084,3
1530597567.182712591,9084,3
1530597567.195540150,9084,3
1530597567.208394175,7570,3
1530597567.221074672,9084,4
1530597567.233797410,12112,4
1530597567.246648473,3028,1
1530597567.259498614,6056,2
1530597567.272372962,7570,3
1530597567.285057419,9084,3
1530597567.297834743,3028,1
1530597567.310666829,6056,2
1530597567.323534971,9084,3
1530597567.336353095,9084,3
1530597567.349012644,9084,3
1530597567.362000900,9084,3
1530597567.374847287,6056,2
1530597567.387546737,9084,3
1530597567.400413074,9084,3
1530597567.413082566,9084,3
1530597567.425975613,9084,3
1530597567.438874950,10598,4
1530597567.451726367,6056,2
1530597567.464500894,9084,3
1530597567.477085991,6056,2
1530597567.489709312,6056,2
1530597567.502604016,6056,2
1530597567.515524874,6056,2
1530597567.528188854,6056,2
1530597567.540974417,7570,3
