ts, Backlog in Bytes, Backlog in packets
1531193307.009667830,0,0
1531193307.114847921,0,0
1531193307.219943174,0,0
1531193307.325125348,0,0
1531193307.430279123,0,0
1531193307.535439832,0,0
1531193307.640569090,0,0
1531193307.745762459,0,0
1531193307.850880960,0,0
1531193307.956022421,0,0
1531193308.061191176,0,0
1531193308.166337954,0,0
1531193308.271471952,0,0
1531193308.376666362,0,0
1531193308.481790997,0,0
1531193308.586912207,0,0
1531193308.692063890,0,0
1531193308.797185639,0,0
1531193308.902308066,0,0
1531193309.007421633,0,0
1531193309.112525307,0,0
1531193309.217622060,0,0
1531193309.322768407,74,1
1531193309.427906875,133,2
1531193309.533072579,342,5
1531193309.638195021,366,5
1531193309.743374745,6030,65
1531193309.848560527,1016,12
1531193309.953717510,926,11
1531193310.058854852,604,8
1531193310.164004831,644,8
1531193310.269212473,792,10
1531193310.374356090,844,10
1531193310.479495806,620,8
1531193310.584660204,756,10
1531193310.689799330,518,7
1531193310.794933734,644,8
1531193310.900085511,780,10
1531193311.005224119,964,12
1531193311.110320669,1078,13
1531193311.215486844,808,10
1531193311.320610810,946,11
1531193311.425738562,730,9
1531193311.530838610,870,11
1531193311.635937135,854,11
1531193311.741121533,780,10
1531193311.846220486,902,11
1531193311.951336944,844,10
1531193312.056476530,976,12
1531193312.161574935,878,11
1531193312.266658557,914,11
1531193312.371776776,1050,13
1531193312.476903890,988,12
1531193312.582000693,988,12
1531193312.687103014,874,11
1531193312.792247061,988,12
1531193312.897392483,900,10
1531193313.002500367,714,9
1531193313.107594103,820,10
1531193313.212759379,894,11
1531193313.317844959,648,8
1531193313.422948456,550,7
1531193313.528058993,610,7
1531193313.633200117,862,11
1531193313.738296820,816,10
1531193313.843379072,702,9
1531193313.948474315,636,8
1531193314.053591656,1020,12
1531193314.158691797,784,10
1531193314.263837182,820,10
1531193314.368972973,702,9
1531193314.474073489,784,10
1531193314.579195697,922,11
1531193314.684326500,742,9
1531193314.789426933,620,8
1531193314.894569675,934,11
1531193314.999678825,782,9
1531193315.104858649,636,8
1531193315.209942010,918,11
1531193315.315110467,784,10
1531193315.420204931,714,9
1531193315.525323438,972,12
1531193315.630416209,768,10
1531193315.735565974,870,11
1531193315.840739530,798,9
1531193315.945809152,886,11
1531193316.050899486,904,12
1531193316.156013074,652,8
1531193316.261149513,578,7
1531193316.366281659,792,10
1531193316.471384544,734,9
1531193316.576487089,758,9
1531193316.681622252,846,11
1531193316.786731041,616,8
1531193316.891842503,1022,13
1531193316.996961735,1192,14
1531193317.102043552,1000,12
1531193317.207133045,772,10
1531193317.312233581,1000,12
1531193317.417352198,1192,14
1531193317.522480210,1048,12
1531193317.627598071,926,11
1531193317.732746049,1258,15
1531193317.837846368,808,10
1531193317.942933235,878,11
1531193318.048074219,952,12
1531193318.153197439,1010,13
1531193318.258307509,996,12
1531193318.363414320,1016,12
1531193318.468531242,1102,13
1531193318.573609237,1252,14
1531193318.678721365,1160,14
1531193318.783827858,944,12
1531193318.888973851,652,8
1531193318.994050111,1K,12
1531193319.099176580,722,9
1531193319.204320531,812,10
1531193319.309445503,788,10
1531193319.414576640,866,11
1531193319.519676849,730,9
1531193319.624844875,866,11
1531193319.729988973,664,8
1531193319.835095457,688,8
1531193319.940217020,914,11
1531193320.045350569,988,12
1531193320.150521259,746,9
1531193320.255677416,0,0
1531193320.360842759,0,0
1531193320.465970741,460,6
1531193320.571096595,784,10
1531193320.676256424,596,8
1531193320.781425423,894,11
1531193320.886598597,648,8
1531193320.991698990,682,9
1531193321.096901001,1012,12
1531193321.202027728,628,8
1531193321.307201096,930,11
1531193321.412397742,748,10
1531193321.517533777,766,9
1531193321.622676258,766,9
1531193321.727901235,546,7
1531193321.833106875,816,10
1531193321.938176326,894,11
1531193322.043334224,722,9
1531193322.148492215,726,9
1531193322.253595224,788,10
1531193322.358750937,780,10
1531193322.463936796,876,10
1531193322.569111601,644,8
1531193322.674289251,792,10
1531193322.779398919,624,8
1531193322.884539101,960,12
1531193322.989662235,772,10
1531193323.094800312,858,11
1531193323.199984825,894,11
1531193323.305146361,902,11
1531193323.410256434,750,9
1531193323.515398073,1012,12
1531193323.620556375,768,10
1531193323.725715486,616,8
1531193323.830786978,562,7
1531193323.935946421,648,8
1531193324.041088106,690,9
1531193324.146216259,694,9
1531193324.251347164,698,9
1531193324.356517353,686,9
1531193324.461640737,846,11
1531193324.566772041,706,9
1531193324.671929715,680,8
1531193324.777119551,714,9
1531193324.882249087,576,8
1531193324.987372795,784,10
1531193325.092485540,776,10
1531193325.197624493,678,9
1531193325.302787089,764,10
1531193325.407937322,852,10
1531193325.513129787,952,12
1531193325.618214472,628,8
1531193325.723309989,672,8
1531193325.828424231,440,6
1531193325.933544836,882,11
1531193326.038667950,1178,15
1531193326.143795308,1136,14
1531193326.248960818,746,9
1531193326.354058841,1050,13
1531193326.459195926,752,10
1531193326.564316113,452,6
1531193326.669421627,748,10
1531193326.774545580,652,8
1531193326.879701369,654,9
1531193326.984880342,722,9
1531193327.089964676,610,7
1531193327.195027481,628,8
1531193327.300147213,772,10
1531193327.405309599,644,8
1531193327.510495251,772,10
1531193327.615609216,628,8
1531193327.720808323,730,9
1531193327.825950577,726,9
1531193327.931070760,850,11
1531193328.036217582,824,10
1531193328.141410552,686,9
1531193328.246551786,932,12
1531193328.351696114,550,7
1531193328.456876634,746,9
1531193328.561993152,732,10
1531193328.667134744,798,11
1531193328.772316493,902,11
1531193328.877460404,764,10
1531193328.982620276,666,9
1531193329.087722945,726,9
1531193329.192862107,846,11
1531193329.297951186,608,8
1531193329.403104038,792,10
1531193329.508268185,764,10
1531193329.613431911,624,8
1531193329.718527120,722,9
1531193329.823658705,804,10
1531193329.928833213,594,7
1531193330.033924457,788,10
1531193330.139060612,664,8
1531193330.244228324,718,9
1531193330.349341632,694,9
1531193330.454517506,720,10
1531193330.559671448,750,9
1531193330.664859896,678,9
1531193330.769980989,702,9
1531193330.875118521,508,6
1531193330.980267925,616,8
1531193331.085417163,612,8
1531193331.190540581,722,9
1531193331.295705713,746,9
1531193331.400898231,744,10
1531193331.506008868,816,10
1531193331.611139200,764,10
1531193331.716323859,922,11
1531193331.821448944,844,10
1531193331.926649950,788,10
1531193332.031817348,980,12
1531193332.136991920,828,10
1531193332.242088647,772,10
1531193332.347226690,972,12
1531193332.452319604,1022,13
1531193332.557437743,1010,13
1531193332.662584921,576,8
1531193332.767788353,792,10
1531193332.872922417,604,8
1531193332.978066836,904,12
1531193333.083221019,674,9
1531193333.188328074,608,8
1531193333.293478070,902,11
1531193333.398653931,714,9
1531193333.503781522,766,9
1531193333.608940616,838,11
1531193333.714058558,788,10
1531193333.819251123,608,8
1531193333.924394436,826,11
1531193334.029558616,722,9
1531193334.134718466,914,11
1531193334.239900067,930,11
1531193334.345045696,804,10
1531193334.450174216,648,8
1531193334.555306095,884,10
1531193334.660500060,834,11
1531193334.765636377,654,9
1531193334.870783205,640,8
1531193334.975912847,916,12
1531193335.081137925,758,9
1531193335.186240930,906,11
1531193335.291364448,1188,14
1531193335.396473298,970,11
1531193335.501608925,910,11
1531193335.606707747,558,7
1531193335.711949098,558,7
1531193335.817144750,694,9
1531193335.922287251,718,9
1531193336.027465305,734,9
1531193336.132638827,694,9
1531193336.237743085,132,2
1531193336.342899945,66,1
1531193336.448076157,1K,12
1531193336.553256362,714,9
1531193336.658371410,918,11
1531193336.763558339,790,9
1531193336.868669163,682,9
1531193336.973825541,944,12
1531193337.078974744,550,7
1531193337.184141327,676,8
1531193337.289282367,870,11
1531193337.394442170,914,11
1531193337.499581473,414,5
1531193337.604765160,664,8
1531193337.709845989,934,11
1531193337.814945345,710,9
1531193337.920106354,586,7
1531193338.025325009,588,8
1531193338.130406356,688,8
1531193338.235583022,748,10
1531193338.340749594,818,11
1531193338.445881506,718,9
1531193338.551045055,996,12
1531193338.656233400,914,11
1531193338.761404383,648,8
1531193338.866569900,706,9
1531193338.971729695,804,10
1531193339.076935887,936,12
1531193339.182034318,612,8
1531193339.287182222,760,10
1531193339.392318310,874,11
1531193339.497491542,608,8
1531193339.602627591,550,7
1531193339.707823829,678,9
1531193339.812991163,744,10
1531193339.918098432,800,10
1531193340.023266652,624,8
1531193340.128426264,526,7
1531193340.233597577,796,10
1531193340.338766569,788,10
1531193340.443919786,928,12
1531193340.549141191,666,9
1531193340.654263513,730,9
1531193340.759437092,572,8
1531193340.864649693,656,8
1531193340.969734454,628,8
1531193341.074841719,742,9
1531193341.180009638,730,9
1531193341.285194345,616,8
1531193341.390333898,802,11
1531193341.495492204,712,8
1531193341.600666358,766,9
1531193341.705817062,922,11
1531193341.810960535,746,9
1531193341.916087906,636,8
1531193342.021261021,608,8
1531193342.126449837,578,7
1531193342.231617669,706,9
1531193342.336804758,628,8
1531193342.441938538,792,10
1531193342.547095283,870,11
1531193342.652261525,510,7
1531193342.757368410,772,10
1531193342.862519965,750,9
1531193342.967664528,800,10
1531193343.072858273,898,11
1531193343.177988110,688,8
1531193343.283138603,752,10
1531193343.388291967,710,9
1531193343.493438965,612,8
1531193343.598583428,516,6
1531193343.703736391,788,10
1531193343.808901683,722,9
1531193343.914017887,832,10
1531193344.019111310,838,11
1531193344.124243448,820,10
1531193344.229400672,788,10
1531193344.334540830,620,8
1531193344.439686914,608,8
1531193344.544877243,570,7
1531193344.650004140,714,9
1531193344.755149331,866,11
1531193344.860272785,714,9
1531193344.965430132,760,10
1531193345.070552628,672,8
1531193345.175676804,746,9
1531193345.280842502,978,11
1531193345.385951478,722,9
1531193345.491096147,570,7
1531193345.596234328,862,11
1531193345.701342399,1000,12
1531193345.806478437,844,10
1531193345.911594223,784,10
