ts,rto,rtt,rttvar,s,pmtu,rcvs,advs,cwnd,bytes_acked,segs_out,segs_in,data_segs_out,bbr_bw,bbr_min_rtt,bbr_pacing_gain,bbr_cwnd_gain,send,pacing_rate,delivery_rate,busy
1531182247.088071412,224,21.486,8.182,1448,1500,536,1448,11,38,3,2,1,548.2e3,21.117,2.88672,2.88672,5.9e6,16.1e6,548.6e3,20
1531182247.108599760,224,21.486,8.182,1448,1500,536,1448,11,38,7,2,5,548.2e3,21.117,2.88672,2.88672,5.9e6,16.1e6,548.6e3,24
1531182247.129859331,224,20.989,4.254,1448,1500,536,1448,17,8726,19,5,17,3.1e6,19.348,2.88672,2.88672,9.4e6,16.1e6,3.1e6,44
1531182247.150328903,224,20.792,1.492,1448,1500,536,1448,27,23206,41,11,39,5.8e6,19.348,2.88672,2.88672,15.0e6,17.2e6,5.8e6,68
1531182247.170989153,224,20.252,1.185,1448,1500,536,1448,49,55062,89,22,86,12.7e6,17.697,2.88672,2.88672,28.0e6,38.1e6,11.9e6,88
1531182247.191653062,220,19.938,1.369,1448,1500,536,1448,96,118774,164,42,161,25.4e6,17.172,2.88672,2.88672,55.8e6,76.0e6,25.4e6,108
1531182247.213870519,224,20.66,0.73,1448,1500,536,1448,197,259230,344,66,341,50.3e6,16.534,2.88672,2.88672,110.5e6,150.4e6,50.3e6,128
1531182247.235805797,224,21.45,0.738,1448,1500,536,1448,351,492358,565,88,562,82.7e6,16.534,2.88672,2.88672,189.6e6,247.4e6,82.7e6,152
1531182247.256822140,228,24.286,2.181,1448,1500,536,1448,462,718246,748,101,745,93.6e6,16.534,2.88672,2.88672,220.4e6,280.0e6,92.5e6,172
1531182247.279893204,228,26.455,1.03,1448,1500,536,1448,515,1012190,931,199,928,105.7e6,16.534,2.88672,2.88672,225.5e6,316.0e6,102.4e6,192
1531182247.302334230,228,27.44,1.431,1448,1500,536,1448,515,1245318,1113,274,1110,105.7e6,16.534,2.88672,2.88672,217.4e6,316.0e6,89.7e6,216
1531182247.320161414,228,27.681,1.041,1448,1500,536,1448,515,1537814,1293,365,1290,105.7e6,16.534,2.88672,2.88672,215.5e6,316.0e6,96.0e6,236
1531182247.339997170,228,27.094,0.863,1448,1500,536,1448,515,1760806,1428,400,1425,105.7e6,16.534,2.88672,2.88672,220.2e6,316.0e6,89.1e6,256
1531182247.361700116,228,27.488,1.08,1448,1500,536,1448,515,1993934,1608,461,1605,105.7e6,16.534,2.88672,2.88672,217.0e6,316.0e6,104.2e6,276
1531182247.378653941,228,26.393,0.845,1448,1500,536,1448,330,2189414,1716,522,1713,105.7e6,16.534,1,2,144.8e6,109.5e6,91.8e6,296
1531182247.400283873,228,26.32,1.387,1448,1500,536,1448,330,2463086,1888,604,1885,105.7e6,16.534,1,2,145.2e6,109.5e6,65.9e6,316
1531182247.419246939,224,23.493,1.105,1448,1500,536,1448,330,2686078,2050,626,2047,105.7e6,16.534,1,2,162.7e6,109.5e6,80.7e6,336
1531182247.436931080,224,23.273,0.63,1448,1500,536,1448,330,2894590,2194,642,2191,105.7e6,16.534,1,2,164.3e6,109.5e6,94.3e6,352
1531182247.457550612,224,23.301,0.638,1448,1500,536,1448,330,3142198,2356,660,2353,105.7e6,16.534,1,2,164.1e6,109.5e6,95.6e6,372
1531182247.477292585,224,23.304,0.794,1448,1500,536,1448,336,3376774,2527,678,2524,105.7e6,16.534,1.25,2,167.0e6,136.8e6,90.8e6,392
1531182247.499588644,224,23.357,0.95,1448,1500,536,1448,336,3637414,2706,698,2703,105.7e6,16.534,1.25,2,166.6e6,136.8e6,95.3e6,416
1531182247.520416555,224,23.133,0.637,1448,1500,536,1448,334,3909638,2886,718,2883,105.4e6,16.534,1.25,2,167.3e6,136.5e6,96.5e6,436
1531182247.541080512,224,22.755,0.733,1448,1500,536,1448,334,4154350,3055,738,3052,105.4e6,16.534,1.25,2,170.0e6,136.5e6,92.7e6,456
1531182247.563799596,224,22.69,0.982,1448,1500,536,1448,334,4367206,3224,756,3221,105.4e6,16.534,1.25,2,170.5e6,136.5e6,85.2e6,476
1531182247.584219744,224,22.06,0.52,1448,1500,536,1448,336,4659702,3404,778,3401,106.1e6,16.534,1.25,2,176.4e6,137.4e6,100.9e6,500
1531182247.606472267,224,23.177,0.979,1448,1500,536,1448,336,4887038,3573,795,3570,106.1e6,16.534,1.25,2,167.9e6,137.4e6,87.3e6,520
1531182247.626915423,224,23.37,0.589,1448,1500,536,1448,336,5165054,3764,817,3761,106.1e6,16.534,1.25,2,166.5e6,137.4e6,91.7e6,544
