ts, Backlog in Bytes, Backlog in packets
1531182244.870692945,0,0
1531182244.976194276,0,0
1531182245.081364477,0,0
1531182245.186552332,0,0
1531182245.291672997,0,0
1531182245.396760338,0,0
1531182245.501743880,0,0
1531182245.606783605,0,0
1531182245.711840133,0,0
1531182245.816919702,0,0
1531182245.921938751,0,0
1531182246.026977869,0,0
1531182246.131993246,0,0
1531182246.237049960,0,0
1531182246.342032041,0,0
1531182246.447092538,0,0
1531182246.552122081,0,0
1531182246.657166391,0,0
1531182246.762194946,0,0
1531182246.867203707,0,0
1531182246.972212059,0,0
1531182247.077268360,0,0
1531182247.182306124,0,0
1531182247.287331318,264,4
1531182247.392394096,6K,66
1531182247.497455387,4662,51
1531182247.602451515,630,9
1531182247.707521313,564,8
1531182247.812624483,540,8
1531182247.917615714,728,10
1531182248.022674687,630,9
1531182248.127749501,786,11
1531182248.232811570,642,9
1531182248.337876634,752,10
1531182248.442968245,630,9
1531182248.548010941,630,9
1531182248.653061731,510,7
1531182248.758066268,576,8
1531182248.863080084,552,8
1531182248.968126286,618,9
1531182249.073140356,576,8
1531182249.178166001,642,9
1531182249.283194056,830,11
1531182249.388261064,576,8
1531182249.493295451,762,11
1531182249.598306266,794,11
1531182249.703325435,708,10
1531182249.808396300,684,10
1531182249.913487517,750,11
1531182250.018649478,588,8
1531182250.123821807,708,10
1531182250.228999487,798,11
1531182250.334005712,642,9
1531182250.439038628,630,9
1531182250.544078136,786,11
1531182250.649143256,528,8
1531182250.754152164,552,8
1531182250.859397153,552,8
1531182250.964437989,618,9
1531182251.069497533,740,10
1531182251.174527160,588,8
1531182251.279608072,696,10
1531182251.384640955,864,12
1531182251.489658249,696,10
1531182251.594681108,630,9
1531182251.699709797,684,10
1531182251.804760149,630,9
1531182251.909755244,720,10
1531182252.014769504,654,9
1531182252.119817022,618,9
1531182252.224861112,630,9
1531182252.329856050,716,10
1531182252.434890900,662,9
1531182252.539928929,962,13
1531182252.644970228,708,10
1531182252.749995051,596,8
1531182252.855018341,564,8
1531182252.960085754,642,9
1531182253.065129576,794,11
1531182253.170154356,642,9
1531182253.275168726,822,11
1531182253.380191922,864,12
1531182253.485247390,552,8
1531182253.590249702,630,9
1531182253.695274910,630,9
1531182253.800339171,642,9
1531182253.905362701,732,10
1531182254.010399536,510,7
1531182254.115435971,684,10
1531182254.220484287,708,10
1531182254.325515433,728,10
1531182254.430543544,708,10
1531182254.535586391,762,11
1531182254.640697683,666,9
1531182254.745689516,696,10
1531182254.850696743,708,10
1531182254.955734350,806,11
1531182255.060993537,686,9
1531182255.166148982,576,8
1531182255.271198963,642,9
1531182255.376229861,892,12
1531182255.481316754,708,10
