ts, Backlog in Bytes, Backlog in packets
1531201691.916844425,0,0
1531201692.022671874,0,0
1531201692.127947858,0,0
1531201692.233193978,0,0
1531201692.338356852,0,0
1531201692.443592876,0,0
1531201692.548779172,0,0
1531201692.653876454,0,0
1531201692.758994626,0,0
1531201692.864116421,0,0
1531201692.969296091,0,0
1531201693.074453783,0,0
1531201693.179608004,0,0
1531201693.284819349,0,0
1531201693.389928264,0,0
1531201693.495079834,0,0
1531201693.600207877,0,0
1531201693.705346674,0,0
1531201693.810459875,0,0
1531201693.915601841,0,0
1531201694.020827448,0,0
1531201694.125965923,0,0
1531201694.231070926,0,0
1531201694.336236610,0,0
1531201694.441392312,66,1
1531201694.546555570,222,3
1531201694.651749957,210,3
1531201694.756942745,328,4
1531201694.862042806,328,4
1531201694.967177685,288,4
1531201695.072312410,78,1
1531201695.177452916,222,3
1531201695.282586419,222,3
1531201695.387759584,156,2
1531201695.492966319,144,2
1531201695.598098890,132,2
1531201695.703225736,78,1
1531201695.808350765,132,2
1531201695.913464500,66,1
1531201696.018635157,198,3
1531201696.123802574,288,4
1531201696.229015381,222,3
1531201696.334137337,144,2
1531201696.439308162,402,5
1531201696.544449523,156,2
1531201696.649619400,308,4
1531201696.754747940,242,3
1531201696.859920789,132,2
1531201696.965063699,156,2
1531201697.070135209,144,2
1531201697.175096157,66,1
1531201697.279921151,210,3
1531201697.384861344,0,0
1531201697.489948397,66,1
1531201697.594897811,132,2
1531201697.699823030,308,4
1531201697.804776598,0,0
1531201697.909864466,210,3
1531201698.015003866,132,2
1531201698.119842168,0,0
1531201698.224682673,66,1
1531201698.329634780,222,3
1531201698.434758546,66,1
1531201698.539914526,144,2
1531201698.645086990,264,4
1531201698.750206123,78,1
1531201698.855314265,0,0
1531201698.960503867,198,3
1531201699.065603613,230,3
1531201699.170780638,66,1
1531201699.275915958,156,2
1531201699.381070038,264,4
1531201699.486158245,144,2
1531201699.591303810,66,1
1531201699.696429446,222,3
1531201699.801593580,66,1
1531201699.906749888,234,3
1531201700.011884136,132,2
1531201700.117049863,210,3
1531201700.222167166,198,3
1531201700.327293488,144,2
1531201700.432447700,144,2
1531201700.537584313,144,2
1531201700.642739084,132,2
1531201700.747908777,132,2
1531201700.853083219,242,3
1531201700.958217059,222,3
1531201701.063392055,144,2
1531201701.168518932,276,4
1531201701.273644919,144,2
1531201701.378806736,144,2
1531201701.483951940,66,1
1531201701.589091447,210,3
1531201701.694213116,132,2
1531201701.799369648,132,2
1531201701.904531913,78,1
1531201702.009676045,132,2
1531201702.114761417,288,4
1531201702.219574228,156,2
1531201702.324502174,144,2
1531201702.429492784,276,4
1531201702.534660629,198,3
1531201702.639792858,0,0
1531201702.744949082,66,1
1531201702.850062486,198,3
1531201702.955189769,210,3
1531201703.060334448,78,1
1531201703.165456435,66,1
1531201703.270583489,66,1
1531201703.375742316,78,1
1531201703.480922851,78,1
1531201703.586039289,300,4
1531201703.691179989,222,3
1531201703.796300089,222,3
1531201703.901473565,132,2
1531201704.006606003,264,4
1531201704.111756226,164,2
1531201704.216938951,66,1
1531201704.322036534,198,3
1531201704.427184932,66,1
1531201704.532351756,198,3
1531201704.637518940,222,3
1531201704.742636343,230,3
1531201704.847815783,66,1
1531201704.953015162,66,1
1531201705.058115395,66,1
1531201705.163258974,156,2
1531201705.268395531,144,2
1531201705.373515848,210,3
1531201705.478781543,222,3
1531201705.583955862,210,3
1531201705.689131342,210,3
1531201705.794270070,66,1
1531201705.899475323,210,3
1531201706.004666838,66,1
1531201706.109750340,222,3
1531201706.214908533,308,4
1531201706.320072064,66,1
1531201706.425227426,156,2
1531201706.530367004,144,2
1531201706.635522149,144,2
1531201706.740720106,354,5
1531201706.845802353,328,4
1531201706.950980914,78,1
1531201707.056119336,210,3
1531201707.161218391,242,3
1531201707.266125750,144,2
1531201707.371258598,0,0
1531201707.476426035,198,3
1531201707.581598843,264,4
1531201707.686748237,276,4
1531201707.791943321,66,1
1531201707.897143020,78,1
1531201708.002283392,78,1
