ts, Backlog in Bytes, Backlog in packets
1531237841.447555360,0,0
1531237841.552945339,0,0
1531237841.658185610,0,0
1531237841.763435641,0,0
1531237841.868555773,0,0
1531237841.973636337,0,0
1531237842.078716525,0,0
1531237842.183833747,0,0
1531237842.288964284,0,0
1531237842.394016851,0,0
1531237842.499098856,0,0
1531237842.604204053,0,0
1531237842.709294822,0,0
1531237842.814389060,0,0
1531237842.919483809,0,0
1531237843.024561622,0,0
1531237843.129644954,0,0
1531237843.234743543,0,0
1531237843.339826513,0,0
1531237843.444924362,0,0
1531237843.549973969,66,1
1531237843.655050784,0,0
1531237843.760147193,156,2
1531237843.865265854,336,4
1531237843.970365205,0,0
1531237844.075463618,78,1
1531237844.180565102,1668,18
1531237844.285699146,2350,25
1531237844.390826513,1128,12
1531237844.495927587,940,10
1531237844.601070493,470,6
1531237844.706153790,564,6
1531237844.811234956,300,4
1531237844.916359395,506,7
1531237845.021442875,2168,24
1531237845.126552420,1314,15
1531237845.231620424,398,5
1531237845.336749419,250,3
1531237845.441795691,156,2
1531237845.546874257,574,7
1531237845.651944881,172,2
1531237845.757055755,422,5
1531237845.862085644,164,2
1531237845.967186117,344,4
1531237846.072300814,230,3
1531237846.177366390,288,4
1531237846.282441147,312,4
1531237846.387548898,0,0
1531237846.492692212,288,4
1531237846.597741690,78,1
1531237846.702817980,366,5
1531237846.807893031,0,0
1531237846.913014691,210,3
1531237847.018074923,250,3
1531237847.123125596,66,1
1531237847.228209733,0,0
1531237847.333301159,152,2
1531237847.438374591,164,2
1531237847.543454626,156,2
1531237847.648569650,66,1
1531237847.753682760,144,2
1531237847.858762511,274,3
1531237847.963831551,414,5
1531237848.068951384,312,4
1531237848.173997858,152,2
1531237848.279070268,516,6
1531237848.384330053,540,6
1531237848.489453085,210,3
1531237848.594509140,66,1
1531237848.699605145,234,3
1531237848.804724451,390,5
1531237848.909751723,230,3
1531237849.014801433,0,0
1531237849.119922020,164,2
1531237849.225010875,308,4
1531237849.330056822,66,1
1531237849.435120414,3524,38
1531237849.540224890,406,5
1531237849.645338079,320,4
1531237849.750389233,144,2
1531237849.855487720,132,2
1531237849.960597853,0,0
1531237850.065597488,78,1
1531237850.170687589,250,3
1531237850.275729317,172,2
1531237850.380868411,316,4
1531237850.485975653,354,5
1531237850.591060688,222,3
1531237850.696144199,368,4
1531237850.801251546,0,0
1531237850.906328856,78,1
1531237851.011443991,132,2
1531237851.116522463,78,1
1531237851.221589619,144,2
1531237851.326668783,210,3
1531237851.431781214,532,6
1531237851.536885757,398,5
1531237851.641942611,144,2
1531237851.747006092,328,4
1531237851.852119649,230,3
1531237851.957223657,454,5
1531237852.062282602,172,2
1531237852.167341140,0,0
1531237852.272429570,78,1
1531237852.377497862,66,1
1531237852.482561579,66,1
1531237852.587665654,156,2
1531237852.692797282,446,5
1531237852.797813508,172,2
1531237852.902846652,156,2
1531237853.007920156,156,2
1531237853.113035101,210,3
1531237853.218073326,312,4
1531237853.323139840,66,1
1531237853.428215904,234,3
1531237853.533310415,0,0
1531237853.638382617,144,2
1531237853.743456862,144,2
1531237853.848553346,316,4
1531237853.953597670,360,4
1531237854.058678688,328,4
1531237854.163783325,300,4
1531237854.268891199,368,4
1531237854.373952219,722,9
1531237854.479054787,312,4
1531237854.584159396,386,5
1531237854.689296576,238,3
1531237854.794327554,66,1
1531237854.899444310,0,0
1531237855.004545995,66,1
1531237855.109614331,132,2
1531237855.214706864,0,0
1531237855.319815905,288,4
1531237855.424957459,66,1
1531237855.530002003,210,3
1531237855.635069875,144,2
1531237855.740146500,86,1
1531237855.845254593,222,3
1531237855.950329765,328,4
1531237856.055444064,368,4
1531237856.160557114,336,4
1531237856.265615628,464,6
1531237856.370669739,78,1
1531237856.475744787,144,2
1531237856.580877760,222,3
1531237856.685956149,472,6
1531237856.791050901,0,0
1531237856.896134125,250,3
1531237857.001250990,172,2
1531237857.106328892,78,1
1531237857.211434039,78,1
1531237857.316531414,210,3
1531237857.421594833,144,2
1531237857.526679097,144,2
1531237857.631792805,156,2
1531237857.736917840,288,4
1531237857.842003137,78,1
1531237857.947103011,210,3
1531237858.052201705,540,6
1531237858.157313085,516,6
1531237858.262389633,242,3
1531237858.367486711,266,3
1531237858.472625923,172,2
1531237858.577727990,144,2
1531237858.682796175,222,3
1531237858.787900356,288,4
1531237858.893006205,234,3
1531237858.998058810,222,3
1531237859.103135168,78,1
1531237859.208250106,144,2
1531237859.313340089,144,2
1531237859.418421392,156,2
1531237859.523502945,288,4
1531237859.628665280,144,2
1531237859.733710694,242,3
1531237859.838791900,78,1
1531237859.943894294,234,3
1531237860.049034340,352,4
1531237860.154095000,316,4
1531237860.259164902,242,3
1531237860.364266281,296,4
1531237860.469361217,144,2
1531237860.574425311,234,3
1531237860.679530725,0,0
1531237860.784669390,78,1
1531237860.889718103,198,3
1531237860.994755125,66,1
1531237861.099862215,144,2
1531237861.204972604,406,5
1531237861.310049220,316,4
1531237861.415141245,336,4
1531237861.520232369,762,9
1531237861.625338726,230,3
1531237861.730385161,230,3
1531237861.835477858,336,4
1531237861.940622765,0,0
1531237862.045641267,222,3
1531237862.150734101,78,1
1531237862.255799824,464,6
1531237862.360939441,462,5
1531237862.465997358,276,4
1531237862.571094489,78,1
1531237862.676174342,234,3
1531237862.781289257,222,3
1531237862.886348880,308,4
1531237862.991455003,846,9
1531237863.096543914,1582,17
1531237863.201649796,222,3
1531237863.306746985,152,2
1531237863.411856182,164,2
1531237863.516964060,66,1
1531237863.622035652,78,1
1531237863.727137524,222,3
1531237863.832235083,144,2
1531237863.937329557,66,1
1531237864.042398453,164,2
1531237864.147508816,144,2
1531237864.252633479,156,2
1531237864.357704375,152,2
1531237864.462786219,144,2
1531237864.567882204,288,4
1531237864.673015914,78,1
1531237864.778065363,78,1
1531237864.883144276,66,1
1531237864.988223277,0,0
1531237865.093340401,132,2
1531237865.198397043,86,1
1531237865.303493394,78,1
1531237865.408609600,144,2
1531237865.513653999,414,5
1531237865.618739662,394,5
1531237865.723843372,430,5
1531237865.828945465,328,4
1531237865.934035720,180,2
1531237866.039134526,328,4
1531237866.144252186,344,4
1531237866.249340676,446,5
1531237866.354426664,86,1
1531237866.459505447,312,4
1531237866.564656961,300,4
1531237866.669752030,300,4
1531237866.774841563,320,4
1531237866.879942858,78,1
1531237866.985068822,0,0
1531237867.090110220,78,1
1531237867.195199629,78,1
1531237867.300290138,210,3
1531237867.405363828,144,2
1531237867.510462931,164,2
1531237867.615547832,602,7
1531237867.720682270,664,8
1531237867.825722023,288,4
1531237867.930800412,66,1
1531237868.035879894,78,1
1531237868.141013319,1100,12
1531237868.246122440,516,6
1531237868.351235687,242,3
1531237868.456319015,328,4
1531237868.561409671,430,5
1531237868.666513428,222,3
1531237868.771589989,164,2
1531237868.876730189,336,4
1531237868.981813874,0,0
1531237869.086915654,222,3
1531237869.192023879,78,1
1531237869.297184453,78,1
1531237869.402262779,230,3
1531237869.507360658,86,1
1531237869.612478819,0,0
1531237869.717604861,266,3
1531237869.822699873,188,2
1531237869.927799514,368,4
1531237870.032932623,188,2
1531237870.138028909,242,3
1531237870.243100865,222,3
1531237870.348206701,66,1
1531237870.453327426,300,4
1531237870.558428848,156,2
1531237870.663545017,66,1
1531237870.768692724,250,3
1531237870.873764762,374,5
1531237870.978855478,288,4
1531237871.083959471,452,6
1531237871.189092573,78,1
1531237871.294153700,328,4
1531237871.399242815,188,2
1531237871.504345634,328,4
1531237871.609451469,0,0
1531237871.714559082,66,1
1531237871.819677943,496,6
1531237871.924804909,0,0
1531237872.029882946,78,1
1531237872.134954504,86,1
1531237872.240101670,164,2
1531237872.345219437,156,2
1531237872.450303961,144,2
1531237872.555433774,1K,11
1531237872.660555435,2162,23
1531237872.765646431,658,7
1531237872.870748585,752,8
1531237872.975846006,156,2
1531237873.080973237,132,2
1531237873.186025612,78,1
1531237873.291117579,66,1
1531237873.396293704,378,5
1531237873.501421794,132,2
1531237873.606510407,164,2
1531237873.711635091,78,1
1531237873.816761060,66,1
1531237873.921850242,144,2
1531237874.026989018,132,2
1531237874.132112830,132,2
1531237874.237255822,144,2
1531237874.342365434,86,1
1531237874.447470327,78,1
1531237874.552626086,222,3
1531237874.657693526,172,2
1531237874.762809446,78,1
1531237874.867879127,288,4
1531237874.973036959,276,4
1531237875.078107221,66,1
1531237875.183215891,144,2
1531237875.288343389,860,10
1531237875.393434258,430,5
1531237875.498516734,1394,15
1531237875.603642431,132,2
1531237875.708759040,66,1
1531237875.813861377,300,4
1531237875.918943839,66,1
1531237876.024054136,144,2
1531237876.129184154,156,2
1531237876.234287543,144,2
1531237876.339389570,66,1
1531237876.444497377,66,1
1531237876.549599210,78,1
1531237876.654712129,672,8
1531237876.759797271,78,1
1531237876.864920348,132,2
1531237876.969990973,152,2
1531237877.075082885,132,2
1531237877.180197635,288,4
1531237877.285319621,144,2
1531237877.390400623,132,2
1531237877.495539555,66,1
1531237877.600717053,78,1
1531237877.705822247,66,1
1531237877.810902631,78,1
1531237877.916005730,328,4
1531237878.021142591,78,1
