ts, Backlog in Bytes, Backlog in packets
1531194432.106402306,0,0
1531194432.212158484,0,0
1531194432.317319727,0,0
1531194432.422465537,0,0
1531194432.527622435,0,0
1531194432.632825662,0,0
1531194432.737934399,0,0
1531194432.843088627,0,0
1531194432.948251515,0,0
1531194433.053398512,0,0
1531194433.158527499,0,0
1531194433.263661249,0,0
1531194433.368844806,0,0
1531194433.473977275,0,0
1531194433.579145676,0,0
1531194433.684287305,0,0
1531194433.789445230,0,0
1531194433.894602598,0,0
1531194433.999739012,0,0
1531194434.104899757,0,0
1531194434.210019740,0,0
1531194434.315197008,0,0
1531194434.420325383,0,0
1531194434.525480999,0,0
1531194434.630607300,74,1
1531194434.735758999,366,5
1531194434.840925956,2K,23
1531194434.946069500,1164,14
1531194435.051309948,858,11
1531194435.156478912,612,8
1531194435.261631259,756,9
1531194435.366741683,674,9
1531194435.471940295,882,11
1531194435.577143975,668,8
1531194435.682258321,972,12
1531194435.787411398,738,9
1531194435.892560161,784,10
1531194435.997668777,1144,14
1531194436.102767148,530,7
1531194436.207908720,780,10
1531194436.313082417,816,10
1531194436.418185252,702,9
1531194436.523331976,656,8
1531194436.628492042,858,11
1531194436.733598944,922,11
1531194436.838734596,858,11
1531194436.943867477,880,12
1531194437.049039836,558,7
1531194437.154152702,960,12
1531194437.259247728,608,8
1531194437.364414488,710,9
1531194437.469528868,664,8
1531194437.574623950,1010,13
1531194437.679775677,808,10
1531194437.784971476,1020,12
1531194437.890063071,616,8
1531194437.995168238,824,10
1531194438.100316791,906,11
1531194438.205446334,846,11
1531194438.310587044,768,10
1531194438.415712196,1018,13
1531194438.520891088,844,10
1531194438.626002243,796,10
1531194438.731104607,522,7
1531194438.836226017,764,10
1531194438.941320376,854,11
1531194439.046439681,652,8
1531194439.151552450,596,8
1531194439.256691445,698,9
1531194439.361798320,956,12
1531194439.466960529,706,9
1531194439.572041644,644,8
1531194439.677186006,788,10
1531194439.782332931,624,8
1531194439.887435392,772,10
1531194439.992618839,652,8
1531194440.097747004,682,9
1531194440.202882108,648,8
1531194440.308014591,858,11
1531194440.413156995,616,8
1531194440.518279658,620,8
1531194440.623463196,570,7
1531194440.728603982,666,9
1531194440.833740799,910,11
1531194440.938851002,644,8
1531194441.044006374,616,8
1531194441.149121679,870,11
1531194441.254217300,656,8
1531194441.359301730,886,11
1531194441.464437983,732,10
1531194441.569557502,714,9
1531194441.674642398,616,8
1531194441.779795561,800,10
1531194441.884949212,592,8
1531194441.990041495,756,10
1531194442.095140794,780,10
1531194442.200269194,374,5
1531194442.305407298,852,10
1531194442.410516538,996,12
1531194442.515654726,820,10
1531194442.620823347,730,9
1531194442.725940788,930,11
1531194442.831031122,924,12
1531194442.936154516,652,8
1531194443.041274013,694,9
1531194443.146340907,584,8
1531194443.251466170,860,10
1531194443.356635165,1136,14
1531194443.461794864,624,8
1531194443.566890381,796,10
1531194443.672003425,714,9
1531194443.777228331,628,8
1531194443.882390723,612,8
1531194443.987522715,710,9
1531194444.092659432,750,9
1531194444.197781080,850,11
1531194444.302944073,804,10
1531194444.408049853,460,6
1531194444.513216596,550,7
1531194444.618328249,846,11
1531194444.723471929,624,8
1531194444.828712260,772,10
1531194444.933820882,956,12
1531194445.038905082,578,7
1531194445.144019478,866,11
1531194445.249221138,812,10
1531194445.354309094,632,8
1531194445.459451251,718,9
1531194445.564655124,734,9
1531194445.669780923,874,11
1531194445.774927716,808,10
1531194445.880068625,790,9
1531194445.985206973,964,12
1531194446.090331353,828,10
1531194446.195486559,66,1
1531194446.300639046,0,0
1531194446.405796163,750,9
1531194446.510897223,918,11
1531194446.616010190,702,9
1531194446.721147477,620,8
1531194446.826245263,686,9
1531194446.931327769,662,9
1531194447.036446316,828,10
1531194447.141543962,698,9
1531194447.246646670,800,10
1531194447.351766035,802,11
1531194447.456892578,1008,12
1531194447.562017690,774,9
1531194447.667112929,988,12
1531194447.772286586,456,6
1531194447.877421117,914,11
1531194447.982530618,970,11
1531194448.087672093,938,11
1531194448.192844647,1K,12
1531194448.297929301,816,10
1531194448.403049318,916,12
1531194448.508221213,1164,14
1531194448.613358181,992,12
1531194448.718456979,780,10
1531194448.823581617,1048,12
1531194448.928723894,922,11
1531194449.033861546,988,12
1531194449.138951995,1128,14
1531194449.244082496,928,12
1531194449.349242002,682,9
1531194449.454370669,624,8
1531194449.559510785,500,6
1531194449.664726522,624,8
1531194449.769848430,686,9
1531194449.874964153,726,9
1531194449.980084547,774,9
1531194450.085239051,852,10
1531194450.190390316,742,9
1531194450.295545698,780,10
1531194450.400710526,822,11
1531194450.505828143,808,10
1531194450.610950970,632,8
1531194450.716079346,674,9
1531194450.821292869,792,10
1531194450.926464888,452,6
1531194451.031678795,714,9
1531194451.136842728,774,9
1531194451.242008548,628,8
1531194451.347140848,772,10
1531194451.452308690,772,10
1531194451.557493997,870,11
1531194451.662604073,608,8
1531194451.767805767,810,11
1531194451.872961768,836,10
1531194451.978069147,698,9
1531194452.083197687,726,9
1531194452.188361486,722,9
1531194452.293512879,736,10
1531194452.398625106,808,10
1531194452.503785313,750,9
1531194452.608950596,698,9
1531194452.714079898,812,10
1531194452.819266652,648,8
1531194452.924406423,706,9
1531194453.029539778,730,9
1531194453.134666183,1K,13
1531194453.239832204,752,10
1531194453.344985303,738,9
1531194453.450101201,702,9
1531194453.555259998,522,7
1531194453.660430546,636,8
1531194453.765566651,640,8
1531194453.870691019,702,9
1531194453.975865129,652,8
1531194454.081053502,1006,13
1531194454.186199132,824,10
1531194454.291403847,572,8
1531194454.396536518,774,9
1531194454.501877882,810,11
1531194454.606997404,592,8
1531194454.712143080,690,9
1531194454.817307928,640,8
1531194454.922426044,896,12
1531194455.027525129,772,10
1531194455.132657897,758,9
1531194455.237703537,792,10
1531194455.342774712,816,10
1531194455.447900228,624,8
1531194455.553059012,962,11
1531194455.658274994,750,9
1531194455.763411547,576,8
1531194455.868518034,884,12
1531194455.973638108,840,10
1531194456.078736479,748,10
1531194456.183900441,660,8
1531194456.289058202,628,8
1531194456.394164977,854,11
1531194456.499292197,816,10
1531194456.604423334,566,7
1531194456.709530770,884,12
1531194456.814671680,596,8
1531194456.919797518,698,9
1531194457.024936259,868,10
1531194457.130025097,840,10
1531194457.235047892,824,10
1531194457.340151335,522,7
1531194457.445253582,886,11
1531194457.550340137,1004,12
1531194457.655483748,792,10
1531194457.760558986,722,9
1531194457.865658907,714,9
1531194457.970741219,680,8
1531194458.075869603,522,7
1531194458.181026883,742,9
1531194458.286143321,878,11
1531194458.391226017,812,10
1531194458.496381830,644,8
1531194458.601480595,682,9
1531194458.706619504,652,8
1531194458.811698609,792,10
1531194458.916840999,640,8
1531194459.021946193,750,9
1531194459.126987283,830,11
1531194459.232118195,820,10
1531194459.337227014,816,10
1531194459.442344759,718,9
1531194459.547479207,808,10
1531194459.652624458,702,9
1531194459.757773752,660,8
1531194459.862983325,792,10
1531194459.968128289,788,10
1531194460.073347003,808,10
1531194460.178745727,1054,13
1531194460.284042337,808,10
1531194460.389201401,616,8
1531194460.494240669,694,9
1531194460.599368748,542,7
1531194460.704481992,1K,12
1531194460.809578869,944,12
1531194460.914675122,866,11
1531194461.019818461,844,10
1531194461.125003434,774,9
1531194461.230144839,636,8
1531194461.335374160,788,10
1531194461.440555398,730,9
1531194461.545628842,866,11
1531194461.650772316,796,10
1531194461.755877288,754,9
1531194461.861020374,808,10
1531194461.966158952,706,9
1531194462.071260240,792,10
1531194462.176377961,730,9
1531194462.281513866,1058,13
1531194462.386610580,812,10
1531194462.491707206,726,9
1531194462.596875630,694,9
1531194462.701987393,652,8
1531194462.807060877,672,8
1531194462.912172874,702,9
1531194463.017277106,636,8
1531194463.122405720,878,11
1531194463.227477677,780,10
1531194463.332611707,842,11
1531194463.437699496,824,10
1531194463.542779335,738,9
1531194463.647884803,620,8
1531194463.753044482,844,10
1531194463.858168375,772,10
1531194463.963275935,624,8
1531194464.068389408,838,11
1531194464.173508025,784,10
1531194464.278588600,582,7
1531194464.383708713,882,11
1531194464.488859063,886,11
1531194464.593960110,644,8
1531194464.699034219,642,9
1531194464.804158285,706,9
1531194464.909249442,882,11
1531194465.014369860,764,10
1531194465.119473727,674,9
1531194465.224636517,858,11
1531194465.329692412,850,11
1531194465.434767406,630,9
1531194465.539897133,694,9
1531194465.645033348,798,11
1531194465.750116159,66,1
1531194465.855273135,0,0
1531194465.960374803,558,7
1531194466.065485093,1008,12
1531194466.170606209,890,11
1531194466.275744590,858,11
1531194466.380923740,636,8
1531194466.485994644,854,11
1531194466.591068759,722,9
1531194466.696202977,518,7
1531194466.801320301,660,8
1531194466.906428963,616,8
1531194467.011531214,760,10
1531194467.116680330,596,8
1531194467.221741381,588,8
1531194467.326790129,816,10
1531194467.431891049,640,8
1531194467.537068952,726,9
1531194467.642132432,764,10
1531194467.747224293,952,12
1531194467.852300491,752,10
1531194467.957401932,608,8
1531194468.062495481,746,9
1531194468.167635693,960,12
1531194468.272766984,1016,12
1531194468.377831369,714,9
1531194468.482878079,792,10
1531194468.587998429,750,9
1531194468.693154069,752,10
1531194468.798299647,742,9
1531194468.903392341,546,7
1531194469.008518419,678,9
1531194469.113626155,672,8
1531194469.218722465,660,8
1531194469.323858824,620,8
1531194469.429022596,730,9
1531194469.534118866,628,8
1531194469.639207703,746,9
1531194469.744326240,702,9
1531194469.849429509,812,10
1531194469.954526072,656,8
1531194470.059678123,742,9
1531194470.164885835,768,10
1531194470.270048156,452,6
1531194470.375085965,730,9
1531194470.480210161,844,10
1531194470.585311649,690,9
1531194470.690377334,686,9
1531194470.795477029,746,9
1531194470.900544970,824,10
1531194471.005656255,808,10
1531194471.110763079,972,12
1531194471.215879514,784,10
1531194471.321035207,894,11
1531194471.426115675,608,8
1531194471.531228186,600,8
1531194471.636352169,754,9
1531194471.741438448,898,11
1531194471.846512309,906,11
1531194471.951613266,694,9
1531194472.056707327,616,8
1531194472.161919179,792,10
1531194472.266974789,792,10
1531194472.372077631,742,9
1531194472.477279402,890,11
1531194472.582431192,570,7
1531194472.687589010,956,12
1531194472.792736032,760,10
1531194472.897823146,752,10
1531194473.002930925,694,9
1531194473.108032290,772,10
