ts,backlog_in_bytes, backlog_in_packets
1529941824.268485404,1650,25
1529941824.281411656,1650,25
1529941824.294074263,1320,20
1529941824.306646741,1386,21
1529941824.319186127,1320,20
1529941824.331809420,1452,22
1529941824.344228195,1518,23
1529941824.356767095,1716,26
1529941824.369138783,1716,26
1529941824.381520773,1584,24
1529941824.393777025,1518,23
1529941824.406164682,1716,26
1529941824.418626453,2000,31
1529941824.431112565,2178,33
1529941824.443603213,2244,34
1529941824.456169608,2244,34
1529941824.468503195,2178,33
1529941824.480812933,2178,33
1529941824.493081757,2244,34
1529941824.505611415,2244,34
1529941824.517973790,2310,35
1529941824.530368246,2376,36
1529941824.542907829,2178,33
1529941824.555563248,2178,33
1529941824.568109259,2244,34
1529941824.580377361,2178,33
1529941824.592676684,2178,33
1529941824.605095376,2000,31
1529941824.617422103,1848,28
1529941824.629893332,1980,30
1529941824.642419679,1848,28
1529941824.654924393,1914,29
1529941824.667525621,1914,29
1529941824.679900595,2112,32
1529941824.692327347,2000,31
1529941824.704865762,1980,30
1529941824.717349510,1848,28
1529941824.729676019,1782,27
1529941824.742182465,1782,27
1529941824.754558067,1848,28
1529941824.766939343,1782,27
1529941824.779410259,1848,28
1529941824.791698211,1782,27
1529941824.803992141,1914,29
1529941824.816360959,1914,29
1529941824.828654806,1782,27
1529941824.841081057,1914,29
1529941824.853427998,1914,29
1529941824.865665011,1848,28
1529941824.878055193,1782,27
1529941824.890486112,1914,29
1529941824.902920643,2244,34
1529941824.915325207,2310,35
1529941824.927742818,2000,31
1529941824.940164499,1848,28
1529941824.952419158,1980,30
1529941824.964766004,1980,30
1529941824.977113530,1782,27
1529941824.989473598,1914,29
1529941825.001930680,1848,28
1529941825.014444496,1848,28
1529941825.027261606,1848,28
1529941825.039832730,1914,29
1529941825.052230760,1848,28
1529941825.064575676,1914,29
1529941825.076961614,1914,29
1529941825.089350699,1914,29
1529941825.101685369,1914,29
1529941825.114178338,1914,29
1529941825.126677973,1848,28
1529941825.139104764,1980,30
1529941825.151554718,1980,30
1529941825.163871216,1914,29
1529941825.176220393,1914,29
1529941825.188521211,1914,29
1529941825.201004105,1848,28
1529941825.213248459,1848,28
1529941825.225580620,1782,27
1529941825.237911384,1782,27
1529941825.250350237,2000,31
1529941825.262849355,1980,30
1529941825.275423663,1914,29
1529941825.287742843,1782,27
1529941825.300232615,1848,28
1529941825.312546186,1782,27
1529941825.324854577,1782,27
1529941825.337435956,1848,28
1529941825.349786916,1914,29
1529941825.362234544,1848,28
1529941825.374717403,1914,29
1529941825.387122638,1848,28
1529941825.399658200,1914,29
1529941825.412037540,1914,29
1529941825.424294097,1914,29
1529941825.436638432,2000,31
1529941825.448863757,1980,30
1529941825.461152682,1914,29
1529941825.473385006,1848,28
1529941825.485718731,1914,29
1529941825.498050197,1914,29
1529941825.510696255,1980,30
1529941825.523265990,1914,29
1529941825.535819222,1914,29
1529941825.548086823,1848,28
1529941825.560390838,1914,29
1529941825.572695761,1848,28
1529941825.585005446,1782,27
1529941825.597421258,1782,27
1529941825.609725309,1848,28
1529941825.622150340,1848,28
1529941825.634524888,1782,27
1529941825.647173280,1914,29
1529941825.659602801,1980,30
1529941825.672015114,2000,31
1529941825.684398554,1980,30
1529941825.696918862,1914,29
1529941825.709282817,1914,29
1529941825.721846309,1914,29
1529941825.734446597,1914,29
1529941825.746921115,1848,28
1529941825.759461128,2000,31
1529941825.771912264,2000,31
1529941825.784340224,1980,30
1529941825.796737449,1980,30
1529941825.809168965,1914,29
1529941825.821655353,1980,30
1529941825.833987215,1782,27
1529941825.846462127,1914,29
1529941825.858819604,2244,34
1529941825.871161966,2310,35
1529941825.883681227,2000,31
1529941825.896231133,2000,31
1529941825.908857186,2178,33
1529941825.921375052,1980,30
1529941825.933733855,1782,27
1529941825.946099992,1782,27
1529941825.958420910,1914,29
1529941825.970823524,1914,29
1529941825.983384926,1914,29
1529941825.995738188,1848,28
1529941826.008204291,1914,29
1529941826.020555098,2178,33
1529941826.032863857,2310,35
1529941826.045154887,2112,32
1529941826.057523529,1848,28
1529941826.069978759,1782,27
1529941826.082393180,1848,28
1529941826.094734384,1914,29
1529941826.107322288,2112,32
1529941826.119892047,1980,30
1529941826.132259750,2112,32
1529941826.144633462,1980,30
1529941826.157003893,2000,31
1529941826.169542234,1914,29
1529941826.181859280,1914,29
1529941826.194324625,1848,28
1529941826.206655177,1848,28
1529941826.219127365,1848,28
1529941826.231677065,1980,30
1529941826.244029427,1848,28
1529941826.256350985,1914,29
1529941826.268661793,1848,28
1529941826.280924137,1782,27
1529941826.293334443,1848,28
1529941826.305815702,1782,27
1529941826.318188292,1848,28
1529941826.330606562,1848,28
1529941826.343203301,1782,27
1529941826.355882292,1782,27
1529941826.368262472,1848,28
1529941826.380802173,1782,27
1529941826.393300371,1848,28
1529941826.405653641,1914,29
1529941826.418018228,1848,28
1529941826.430508886,1782,27
1529941826.442996133,1914,29
1529941826.455446154,1980,30
1529941826.467853597,1980,30
1529941826.480372580,1848,28
1529941826.492783280,1848,28
1529941826.505116264,1980,30
1529941826.517699479,1914,29
1529941826.530151971,1914,29
1529941826.542560468,1914,29
1529941826.555011123,1914,29
1529941826.567446303,1980,30
1529941826.579997473,2000,31
1529941826.592405613,1980,30
1529941826.604875670,2000,31
1529941826.617308087,2000,31
1529941826.629795381,1914,29
1529941826.642311605,2112,32
1529941826.654953666,2112,32
1529941826.667448203,1914,29
1529941826.680021207,1848,28
1529941826.692332114,1914,29
1529941826.704649779,1848,28
1529941826.716924844,1848,28
1529941826.729258742,2178,33
1529941826.741786632,2000,31
1529941826.754147610,1914,29
1529941826.766589710,2000,31
1529941826.779034104,2112,32
1529941826.791498502,2000,31
1529941826.804035123,1848,28
1529941826.816506250,1914,29
1529941826.828839556,1848,28
1529941826.841144651,1782,27
1529941826.853654480,1980,30
1529941826.865990212,1914,29
1529941826.878437041,1848,28
1529941826.890844424,2000,31
1529941826.903247677,2244,34
1529941826.915834003,2112,32
1529941826.928175081,1914,29
1529941826.940525641,1848,28
1529941826.953041852,1848,28
1529941826.965349163,1848,28
1529941826.977904912,1914,29
1529941826.990349366,2000,31
1529941827.003017983,1980,30
1529941827.015463617,1782,27
1529941827.028052443,1848,28
1529941827.040425700,1914,29
1529941827.052946942,1980,30
1529941827.065311174,2178,33
1529941827.077908123,2112,32
1529941827.090473310,2112,32
1529941827.102952561,1980,30
1529941827.115436844,1980,30
1529941827.127945189,1848,28
1529941827.140265651,1848,28
1529941827.152871568,1848,28
1529941827.165236054,1914,29
1529941827.177668619,1782,27
1529941827.190081149,1848,28
1529941827.202600712,2112,32
1529941827.215225966,2112,32
1529941827.227867272,2000,31
1529941827.240461860,1914,29
1529941827.253011873,1914,29
1529941827.265367246,1914,29
1529941827.277979364,1980,30
1529941827.290569884,2000,31
1529941827.303187533,1914,29
1529941827.315839328,1914,29
1529941827.328432262,2000,31
1529941827.340920482,2000,31
1529941827.353413764,1914,29
1529941827.365758227,2000,31
1529941827.378162567,1980,30
1529941827.390698167,1914,29
1529941827.403185954,1848,28
1529941827.415892845,1848,28
1529941827.428257529,2000,31
1529941827.440748228,2000,31
1529941827.453302119,2112,32
1529941827.465713954,2000,31
1529941827.478130773,2000,31
1529941827.490789523,1914,29
1529941827.503398976,1980,30
1529941827.516022483,1914,29
1529941827.528486048,1914,29
1529941827.540990623,2178,33
1529941827.553395813,2112,32
1529941827.565841777,1980,30
1529941827.578338075,1980,30
1529941827.591152031,1914,29
1529941827.603656990,2000,31
1529941827.616155944,1980,30
1529941827.628714250,1980,30
1529941827.641112547,1848,28
1529941827.653436986,1914,29
1529941827.665811425,1848,28
1529941827.678432844,1848,28
1529941827.691059561,1914,29
1529941827.703628736,2000,31
1529941827.716213664,1980,30
1529941827.728593015,2112,32
1529941827.741238163,2000,31
1529941827.753677599,1782,27
1529941827.766077904,2000,31
1529941827.778564221,2000,31
1529941827.791247593,2000,31
1529941827.803731362,1848,28
1529941827.816143455,1914,29
1529941827.828599393,2000,31
1529941827.841170055,2310,35
1529941827.853604676,2178,33
1529941827.866070953,1980,30
1529941827.878544415,1914,29
1529941827.891144651,1914,29
1529941827.903783934,1914,29
1529941827.916222062,2178,33
1529941827.928558480,2112,32
1529941827.941046828,1914,29
1529941827.953628535,1848,28
1529941827.966239725,1914,29
1529941827.978760094,2112,32
1529941827.991210544,2000,31
1529941828.003728228,2178,33
1529941828.016112322,2000,31
1529941828.028764138,1914,29
1529941828.041330608,1980,30
1529941828.053693348,2000,31
1529941828.066033371,2112,32
1529941828.078506543,1980,30
1529941828.090998838,1980,30
1529941828.103529271,2000,31
1529941828.116135680,2178,33
1529941828.128687539,2178,33
1529941828.141021163,2244,34
1529941828.153571143,2178,33
1529941828.166076393,2178,33
1529941828.178664945,1848,28
1529941828.191277274,1980,30
1529941828.203825493,2000,31
1529941828.216408532,2178,33
1529941828.228995112,2112,32
1529941828.241504409,1914,29
1529941828.253874197,1980,30
1529941828.266406919,1980,30
1529941828.279188150,2112,32
1529941828.291721878,2178,33
1529941828.304105304,1914,29
1529941828.316643920,1914,29
1529941828.329196962,1914,29
1529941828.341788938,1956,30
1529941828.354386587,1890,29
1529941828.367110824,1824,28
1529941828.379569867,1848,28
1529941828.392012049,1782,27
1529941828.404448972,1782,27
1529941828.416886354,1848,28
1529941828.429497538,1848,28
1529941828.441975802,2112,32
1529941828.454569338,2112,32
1529941828.467196585,2178,33
1529941828.479842839,2000,31
1529941828.492201148,1980,30
1529941828.504749130,1782,27
1529941828.517163302,1848,28
1529941828.529594590,1914,29
1529941828.542115303,2000,31
1529941828.554769391,1980,30
1529941828.567308902,2000,31
1529941828.579805338,2112,32
1529941828.592391255,2310,35
1529941828.604919431,2376,36
1529941828.617342159,2508,38
1529941828.629853801,2310,35
1529941828.642408571,1980,30
1529941828.654949215,1782,27
1529941828.667776447,1848,28
1529941828.680266161,1782,27
1529941828.692735044,1848,28
1529941828.705111351,1848,28
1529941828.717498427,1980,30
1529941828.729894248,1914,29
1529941828.742531904,1848,28
1529941828.755096912,1848,28
1529941828.767816699,1914,29
1529941828.780281622,2112,32
1529941828.792728989,2244,34
1529941828.805191097,2244,34
1529941828.817840882,2244,34
1529941828.830574178,2112,32
1529941828.843318204,1848,28
1529941828.855979312,1782,27
1529941828.868454132,1782,27
1529941828.880856108,1848,28
1529941828.893474923,1848,28
1529941828.906136425,1848,28
1529941828.918823995,2000,31
1529941828.931331363,2000,31
1529941828.943979378,1782,27
1529941828.956361261,1980,30
1529941828.968774642,2000,31
1529941828.981451556,1980,30
1529941828.994027621,2000,31
1529941829.006567009,2376,36
1529941829.019021242,2178,33
1529941829.031547851,2000,31
1529941829.044066789,1980,30
1529941829.056504620,2000,31
1529941829.069103923,1848,28
1529941829.081605408,2000,31
1529941829.094119488,1980,30
1529941829.106720810,2112,32
1529941829.119320456,1980,30
1529941829.131942507,1980,30
1529941829.144406572,1848,28
1529941829.156956533,1980,30
1529941829.169731182,2000,31
1529941829.182203476,1848,28
1529941829.194722954,1782,27
1529941829.207544967,1848,28
1529941829.220066500,1848,28
1529941829.232609508,1782,27
1529941829.245043361,1848,28
1529941829.257533226,1980,30
1529941829.269981199,1980,30
1529941829.294998199,1980,30
1529941829.307787202,1782,27
1529941829.320340380,1848,28
1529941829.333070029,1848,28
1529941829.345620946,1914,29
1529941829.358380487,1980,30
1529941829.371165810,1848,28
1529941829.383755561,2000,31
1529941829.396200874,1980,30
1529941829.408820377,2000,31
1529941829.421470700,1914,29
1529941829.434102397,1914,29
1529941829.446749201,1980,30
1529941829.459391483,1914,29
1529941829.472166303,1980,30
1529941829.484833511,2000,31
1529941829.497402357,1914,29
1529941829.510040142,1914,29
1529941829.522734352,1980,30
1529941829.535283126,2112,32
1529941829.547897498,2112,32
1529941829.560455799,2000,31
1529941829.573086985,1980,30
1529941829.585647085,2178,33
1529941829.598275126,2178,33
1529941829.611072176,2112,32
1529941829.623787530,1848,28
1529941829.636293270,1848,28
1529941829.648962903,1848,28
1529941829.661572350,2000,31
1529941829.674237753,2178,33
1529941829.687030787,2178,33
1529941829.699681412,2112,32
1529941829.712372164,1914,29
1529941829.725058729,1980,30
1529941829.737628992,1914,29
1529941829.750277958,2112,32
1529941829.763147262,2112,32
1529941829.775897434,2244,34
1529941829.788544574,2000,31
1529941829.801173244,1914,29
1529941829.813661625,1980,30
1529941829.826566909,1914,29
1529941829.839285087,1914,29
1529941829.852217134,2112,32
1529941829.864943251,2376,36
1529941829.877529601,2508,38
1529941829.890184477,2310,35
1529941829.902737391,2000,31
1529941829.915522307,1848,28
1529941829.928246045,1848,28
1529941829.940678236,1914,29
1529941829.953134580,1980,30
1529941829.965560379,1980,30
1529941829.977972486,1980,30
1529941829.990486210,2178,33
1529941830.003056611,2244,34
1529941830.015834083,1914,29
1529941830.028376166,1782,27
1529941830.040812299,1848,28
1529941830.053258212,1914,29
1529941830.065880229,1914,29
1529941830.078622685,1980,30
1529941830.091153806,1848,28
1529941830.103975526,2000,31
1529941830.116569492,2112,32
1529941830.129023581,2178,33
1529941830.141474157,2112,32
1529941830.153889964,2112,32
1529941830.166395805,1914,29
1529941830.179170065,1914,29
1529941830.191893093,1980,30
1529941830.204411190,1980,30
1529941830.216955533,1848,28
1529941830.229546453,1848,28
1529941830.242208440,1980,30
1529941830.254943928,1980,30
1529941830.267716086,1980,30
1529941830.280227799,1914,29
1529941830.292741200,1914,29
1529941830.305252609,1782,27
1529941830.317754990,1848,28
1529941830.330477852,1914,29
1529941830.343055054,1914,29
1529941830.355890108,1980,30
1529941830.368564712,1848,28
1529941830.381047226,2000,31
1529941830.393728992,2178,33
1529941830.406403635,2178,33
1529941830.419083904,1980,30
1529941830.431836804,1782,27
1529941830.444382282,2000,31
1529941830.456985499,2112,32
1529941830.469682780,2000,31
1529941830.482493923,1980,30
1529941830.495189841,1848,28
1529941830.507989781,1914,29
1529941830.520392582,1980,30
1529941830.532923814,1914,29
1529941830.545732142,1914,29
1529941830.558385714,1914,29
1529941830.571096566,1980,30
1529941830.583817048,2000,31
1529941830.596404341,1848,28
1529941830.608839190,1848,28
1529941830.621242321,1980,30
1529941830.633833255,2178,33
1529941830.646504707,2244,34
1529941830.658973990,2112,32
1529941830.671743824,1980,30
1529941830.684165951,1914,29
1529941830.696694521,1848,28
1529941830.709341146,1848,28
1529941830.721903343,1848,28
1529941830.734489062,1914,29
1529941830.747063930,2000,31
1529941830.759603893,2310,35
1529941830.772143353,2178,33
1529941830.784657840,1914,29
1529941830.797227236,1914,29
1529941830.809998242,1980,30
1529941830.822602084,1980,30
1529941830.835214500,2000,31
1529941830.848115855,2178,33
1529941830.860730324,2112,32
1529941830.873265155,2112,32
1529941830.885716061,2000,31
1529941830.898192254,2178,33
1529941830.910852724,2112,32
1529941830.923391928,1848,28
1529941830.935899789,1848,28
1529941830.948441205,1782,27
1529941830.961089293,1848,28
1529941830.973535688,1914,29
1529941830.986165472,1848,28
1529941830.998587659,1782,27
1529941831.011291645,1914,29
1529941831.023992564,1914,29
1529941831.036493303,1980,30
1529941831.048962319,2000,31
1529941831.061581817,1980,30
1529941831.074332158,1980,30
1529941831.087067740,1914,29
1529941831.099741443,1914,29
1529941831.112214888,1848,28
1529941831.124967319,2000,31
1529941831.137636715,2000,31
1529941831.150056209,2000,31
1529941831.162621096,1914,29
1529941831.175422197,1980,30
1529941831.187948468,1914,29
1529941831.200458003,2000,31
1529941831.213093921,2000,31
1529941831.225674219,1914,29
1529941831.238218657,1848,28
1529941831.250928163,2000,31
1529941831.263741278,1980,30
1529941831.276243297,1848,28
1529941831.288699624,1848,28
1529941831.301111281,2000,31
1529941831.313659005,1980,30
1529941831.326240642,1848,28
1529941831.338816835,1782,27
1529941831.351595320,1914,29
1529941831.364352895,1914,29
1529941831.376793498,1914,29
1529941831.389468917,2000,31
1529941831.401901300,2112,32
1529941831.414456444,2112,32
1529941831.426934599,1848,28
1529941831.439646370,1848,28
1529941831.452275345,1848,28
1529941831.464894794,1848,28
1529941831.477556417,1782,27
1529941831.489997787,1914,29
1529941831.502613539,1980,30
1529941831.515096020,1914,29
1529941831.527751044,1782,27
1529941831.540292869,1980,30
1529941831.552847610,1980,30
1529941831.565370546,1848,28
1529941831.577855358,1848,28
1529941831.590663440,1782,27
1529941831.603342906,1848,28
1529941831.615875535,2112,32
1529941831.628301376,2000,31
1529941831.641036021,1782,27
1529941831.653747875,1782,27
1529941831.666302312,1980,30
1529941831.679017657,1914,29
1529941831.691721904,1980,30
